CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
146869102,CVNA,CARVANA CO,29.27M,8.4%,21.95M,+300%
032654105,ADI,ANALOG DEVICES INC,40.33M,11.6%,13.11M,+48.1%
023135106,AMZN,AMAZON COM INC,23.78M,6.8%,11.42M,+92.3%
G0896C103,TBBB,BBB FOODS INC,9.34M,2.7%,9.34M,NEW
461202103,INTU,INTUIT,6.14M,1.8%,6.14M,NEW
30303M102,META,META PLATFORMS INC,48.99M,14.1%,4.32M,+9.7%
M7S64H106,MNDY,MONDAY COM LTD,3.65M,1%,3.65M,NEW
98138H101,WDAY,WORKDAY INC,3.5M,1%,3.5M,NEW
22266T109,CPNG,COUPANG INC,29.61M,8.5%,3.29M,+12.5%
49845K101,KVYO,KLAVIYO INC,3.03M,0.87%,3.03M,NEW
04965M106,ATAT,ATOUR LIFESTYLE HOLDINGS LTD,29.77M,8.5%,1.42M,+5%
03831W108,APP,APPLOVIN CORP,25.17M,7.2%,0,NO CHANGE
26142V105,DKNG,DRAFTKINGS INC NEW,2.32M,0.67%,-166.05K,-6.7%
00827B106,AFRM,AFFIRM HLDGS INC,0,0%,-2.44M,CLOSE
38267D109,GSHD,GOOSEHEAD INS INC,26.56M,7.6%,-2.95M,-10%
85209W109,SPT,SPROUT SOCIAL INC,0,0%,-4.61M,CLOSE
58733R102,MELI,MERCADOLIBRE INC,31.21M,9%,-5.85M,-15.8%
722304102,PDD,PDD HOLDINGS INC,35.51M,10.2%,-14.79M,-29.4%
11135F101,AVGO,BROADCOM INC,0,0%,-16.23M,CLOSE
90353T100,UBER,UBER TECHNOLOGIES INC,0,0%,-16.59M,CLOSE
090043100,BILL,BILL HOLDINGS INC,0,0%,-26.26M,CLOSE
Total,,,348.18M,100%,-525.62K,-0.2%
