CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G6683N103,NU,NU HLDGS LTD,955280,955280,9.78M,9.78M,NEW,8.9%
G85158106,STNE,STONECO LTD,746580,746580,7.82M,7.82M,NEW,7.1%
N3167Y103,RACE,FERRARI N V,10668,10668,4.56M,4.56M,NEW,4.1%
594918104,MSFT,MICROSOFT CORP,11776,11776,4.42M,4.42M,NEW,4%
G98239109,XP,XP INC,811519,153537,11.16M,2.11M,+23.3%,10.1%
68389X105,ORCL,ORACLE CORP,15089,15089,2.11M,2.11M,NEW,1.9%
550021109,LULU,LULULEMON ATHLETICA INC,7083,7083,2M,2M,NEW,1.8%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,1458,1283,2.09M,1.84M,+733.1%,1.9%
67066G104,NVDA,NVIDIA CORPORATION,13869,13869,1.5M,1.5M,NEW,1.4%
023135106,AMZN,AMAZON COM INC,41727,6373,7.94M,1.21M,+18%,7.2%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,23507,23507,1.18M,1.18M,NEW,1.1%
81141R100,SE,SEA LTD,19991,8125,2.61M,1.06M,+68.5%,2.4%
74967X103,RH,RH,4214,4214,987.8K,987.8K,NEW,0.9%
437076102,HD,HOME DEPOT INC,2436,2436,892.77K,892.77K,NEW,0.81%
855244109,SBUX,STARBUCKS CORP,29947,8909,2.94M,873.88K,+42.3%,2.7%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,22975,3167,3.81M,525.72K,+16%,3.5%
824348106,SHW,SHERWIN WILLIAMS CO,8960,936,3.13M,326.84K,+11.7%,2.8%
92826C839,V,VISA INC,7575,857,2.65M,300.34K,+12.8%,2.4%
25754A201,DPZ,DOMINOS PIZZA INC,2642,584,1.21M,268.32K,+28.4%,1.1%
548661107,LOW,LOWES COS INC,579,577,135.04K,134.57K,+28850%,0.12%
57636Q104,MA,MASTERCARD INCORPORATED,3640,233,2M,127.71K,+6.8%,1.8%
30303M102,META,META PLATFORMS INC,3699,122,2.13M,70.32K,+3.4%,1.9%
303250104,FICO,FAIR ISAAC CORP,22,22,40.57K,40.57K,NEW,0.04%
02079K305,GOOGL,ALPHABET INC,18960,130,2.93M,20.1K,+0.7%,2.7%
46090E103,QQQ,INVESCO QQQ TR,16,16,7.5K,7.5K,NEW,<.01%
030325010,FICO,FAIR ISAAC CORP,0,-22,0,-43.8K,CLOSE,0%
64110L106,NFLX,NETFLIX INC,2323,-168,2.17M,-156.67K,-6.7%,2%
81762P102,NOW,SERVICENOW INC,1359,-355,1.08M,-282.63K,-20.7%,0.98%
78409V104,SPGI,S&P GLOBAL INC,2975,-1165,1.51M,-591.94K,-28.1%,1.4%
043707610,HD,HOME DEPOT INC,0,-1620,0,-630.16K,CLOSE,0%
79466L302,CRM,SALESFORCE INC,0,-2886,0,-964.88K,CLOSE,0%
074967X10,RH,RH,0,-2908,0,-1.14M,CLOSE,0%
055002110,LULU,LULULEMON ATHLETICA INC,0,-3618,0,-1.38M,CLOSE,0%
068389X10,ORCL,ORACLE CORP,0,-8998,0,-1.5M,CLOSE,0%
0N3167Y10,RACE,FERRARI N V,0,-4014,0,-1.71M,CLOSE,0%
067066G10,NVDA,NVIDIA CORPORATION,0,-14751,0,-1.98M,CLOSE,0%
G9470A102,VTEX,VTEX,0,-674355,0,-3.97M,CLOSE,0%
059491810,MSFT,MICROSOFT CORP,0,-10126,0,-4.27M,CLOSE,0%
58733R102,MELI,MERCADOLIBRE INC,13059,-3199,25.48M,-6.24M,-19.7%,23.1%
Total,,,,,110.29M,19.32M,+22.1%,100%
