CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
679295105,OKTA,OKTA INC,199.92M,1.2%,199.92M,NEW
29364G103,ETR,ENTERGY CORP NEW,194.43M,1.2%,194.43M,NEW
G51502105,JCI,JOHNSON CTLS INTL PLC,112.15M,0.66%,112.15M,NEW
512807306,LRCX,LAM RESEARCH CORP,578.29M,3.4%,108.74M,+23.2%
65473P105,NI,NISOURCE INC,98.68M,0.58%,98.68M,NEW
15101Q207,CLS,CELESTICA INC,96.94M,0.57%,96.94M,NEW
24703L202,DELL,DELL TECHNOLOGIES INC,289.66M,1.7%,84.86M,+41.4%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,77.23M,0.46%,77.23M,NEW
122017106,BURL,BURLINGTON STORES INC,71.5M,0.42%,71.5M,NEW
30212P303,EXPE,EXPEDIA GROUP INC,399.28M,2.4%,67.04M,+20.2%
58733R102,MELI,MERCADOLIBRE INC,430.16M,2.5%,58.26M,+15.7%
68278B107,OS,ONESTREAM INC,53.91M,0.32%,53.91M,NEW
25809K105,DASH,DOORDASH INC,47.52M,0.28%,47.52M,NEW
64110L106,NFLX,NETFLIX INC,46.63M,0.28%,46.63M,NEW
548661107,LOW,LOWES COS INC,151.27M,0.9%,46.53M,+44.4%
47215P106,JD,JD.COM INC,186.02M,1.1%,30.7M,+19.8%
929160109,VMC,VULCAN MATLS CO,312.24M,1.8%,13.15M,+4.4%
781154109,RBRK,RUBRIK INC.,42.69M,0.25%,12.2M,+40%
78409V104,SPGI,S&P GLOBAL INC,96.75M,0.57%,10.6M,+12.3%
032095101,APH,AMPHENOL CORP NEW,167.32M,0.99%,9.9M,+6.3%
09627Y109,BPMC,BLUEPRINT MEDICINES CORP,79.71M,0.47%,8.85M,+12.5%
85423L103,SARO,STANDARDAERO INC,48.48M,0.29%,5.33M,+12.3%
127190304,CACI,CACI INTL INC,25.68M,0.15%,3.67M,+16.7%
023135106,AMZN,AMAZON COM INC,1.43B,8.5%,945.21K,+0.07%
09058V103,BCRX,BIOCRYST PHARMACEUTICALS INC,54.11M,0.32%,901.49K,+1.7%
68622P109,ORIC,ORIC PHARMACEUTICALS INC,22.34M,0.13%,558K,+2.6%
46090E103,QQQ,INVESCO QQQ TR,398.48M,2.4%,0,NO CHANGE
369604301,GE,GE AEROSPACE,140.1M,0.83%,0,NO CHANGE
803607100,SRPT,SAREPTA THERAPEUTICS INC,54.49M,0.32%,0,NO CHANGE
