CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
594918104,MSFT,MICROSOFT CORP,968M,19.5%,257.9M,+36.3%
43300A203,HLT,HILTON WORLDWIDE,62.34M,1.3%,41.56M,+200%
615369105,MCO,MOODYS CORP,442.83M,8.9%,0,NO CHANGE
57636Q104,MA,MASTERCARD INC-CLASS A,321.34M,6.5%,0,NO CHANGE
303250104,FICO,FAIR ISAAC INC,1.24M,0.02%,0,NO CHANGE
16119P108,CHTR,CHARTER COMMUNICATIONS INC-A,0,0%,-2.07M,CLOSE
02079K305,GOOGL,ALPHABET INC-CL A,534.18M,10.7%,-4.09M,-0.8%
92826C839,V,VISA INC-CLASS A SHRS,298.04M,6%,-8.59M,-2.8%
023135106,AMZN,AMAZON.COM INC,989.81M,19.9%,-14.44M,-1.4%
893641100,TDG,TRANSDIGM GROUP INC,1.36B,27.3%,-28.57M,-2.1%
Total,,,4.97B,100%,29.71M,+0.6%
