CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
90353T100,UBER,UBER TECHNOLOGIES INC,3200000,1700000,233.15M,123.86M,+113.3%,4.2%
D18190898,DB,DEUTSCHE BANK A G,3750000,3750000,89.36M,89.36M,NEW,1.6%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,300000,300000,62.79M,62.79M,NEW,1.1%
30303M102,META,META PLATFORMS INC,550000,60000,317M,34.58M,+12.2%,5.7%
629377508,NRG,NRG ENERGY INC,2050000,235000,195.69M,22.43M,+12.9%,3.5%
11135F101,AVGO,BROADCOM INC,130000,130000,21.77M,21.77M,NEW,0.39%
02079K107,GOOG,ALPHABET INC,2010000,128037,314.02M,20M,+6.8%,5.6%
219350105,GLW,CORNING INC,1743629,243629,79.82M,11.15M,+16.2%,1.4%
852234103,XYZ,BLOCK INC,75000,75000,4.07M,4.07M,NEW,0.07%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,270000,20000,44.82M,3.32M,+8%,0.81%
29273V100,ET,ENERGY TRANSFER L P,4957235,42500,92.15M,790.08K,+0.9%,1.7%
91324P102,UNH,UNITEDHEALTH GROUP INC,175000,500,91.66M,261.88K,+0.3%,1.6%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,2200000,0,55M,0,NO CHANGE,0.99%
55336V100,MPLX,MPLX LP,578500,0,30.96M,0,NO CHANGE,0.56%
165167180,EXEEL,EXPAND ENERGY CORPORATION,65398,-84602,6.46M,-8.36M,-56.4%,0.12%
517834107,LVS,LAS VEGAS SANDS CORP,590000,-310000,22.79M,-11.98M,-34.4%,0.41%
482497104,BEKE,KE HLDGS INC,1900000,-674074,38.17M,-13.54M,-26.2%,0.69%
165167172,EXEEZ,EXPAND ENERGY CORPORATION,117321,-132679,12.35M,-13.96M,-53.1%,0.22%
983134107,WYNN,WYNN RESORTS LTD,320000,-180000,26.72M,-15.03M,-36%,0.48%
023135106,AMZN,AMAZON COM INC,2510000,-90000,477.55M,-17.12M,-3.5%,8.6%
458140100,INTC,INTEL CORP,0,-1000000,0,-20.05M,CLOSE,0%
500767306,KWEB,KRANESHARES TRUST,4000000,-575695,139.64M,-20.1M,-12.6%,2.5%
165167735,EXE,EXPAND ENERGY CORPORATION,0,-295000,0,-29.37M,CLOSE,0%
03674X106,AR,ANTERO RESOURCES CORP,0,-840000,0,-29.44M,CLOSE,0%
26884L109,EQT,EQT CORP,0,-800000,0,-36.89M,CLOSE,0%
464287184,FXI,ISHARES TR,5600000,-1037128,200.7M,-37.17M,-15.6%,3.6%
67066G104,NVDA,NVIDIA CORPORATION,300000,-380001,32.51M,-41.18M,-55.9%,0.58%
92840M102,VST,VISTRA CORP,2300000,-400000,270.11M,-46.98M,-14.8%,4.9%
55087P104,LYFT,LYFT INC,9000000,-4500000,106.83M,-53.41M,-33.3%,1.9%
512807306,LRCX,LAM RESEARCH CORP,500000,-750000,36.35M,-54.52M,-60%,0.65%
N07059210,ASML,ASML HOLDING N V,70000,-90000,46.38M,-59.64M,-56.2%,0.83%
747525103,QCOM,QUALCOMM INC,350000,-450000,53.76M,-69.12M,-56.2%,0.97%
056752108,BIDU,BAIDU INC,775000,-752909,71.32M,-69.29M,-49.3%,1.3%
595112103,MU,MICRON TECHNOLOGY INC,400000,-800000,34.76M,-69.51M,-66.7%,0.62%
68389X105,ORCL,ORACLE CORP,700000,-700000,97.87M,-97.87M,-50%,1.8%
31428X106,FDX,FEDEX CORP,0,-350000,0,-98.47M,CLOSE,0%
47215P106,JD,JD.COM INC,8050000,-2415885,331.02M,-99.34M,-23.1%,5.9%
722304102,PDD,PDD HOLDINGS INC,4370000,-986132,517.19M,-116.71M,-18.4%,9.3%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-1200000,0,-144.95M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,510000,-460000,191.45M,-172.68M,-47.4%,3.4%
01609W102,BABA,ALIBABA GROUP HLDG LTD,9230000,-2613158,1.22B,-345.54M,-22.1%,21.9%
Total,,,,,5.57B,-1.4B,-25.1%,100%
