CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
384747101,GRAL,GRAIL INC,1025042,194400,26.18M,4.96M,+23.4%,31.9%
923725105,VET,VERMILION ENERGY INC,216235,216235,1.75M,1.75M,NEW,2.1%
37247D106,GNW,GENWORTH FINANCIAL INC,242000,242000,1.72M,1.72M,NEW,2.1%
89679M104,TFPM,TRIPLE FLAG PRECIOUS MET,54000,54000,1.03M,1.03M,NEW,1.3%
203937107,CWBC,COMMUNITY WEST BANCSHARES,50739,50739,937.66K,937.66K,NEW,1.1%
824596100,SHG,SHINHAN FINANCIAL GROUP-ADR,25600,15000,821.25K,481.2K,+141.5%,1%
46590V100,JBGS,JBG SMITH PROPERTIES,25000,25000,402.75K,402.75K,NEW,0.49%
683797104,OPY,OPPENHEIMER HOLDINGS-CL A,54999,5316,3.28M,316.99K,+10.7%,4%
140475203,SNDA,SONIDA SENIOR LIVING INC,320995,13426,7.48M,312.69K,+4.4%,9.1%
02079K305,GOOGL,ALPHABET INC-CL A,1500,1500,231.96K,231.96K,NEW,0.28%
26873J107,EMX,EMX ROYALTY CORP,102895,102895,209.91K,209.91K,NEW,0.26%
85916J409,STXS,STEREOTAXIS INC,2853856,62788,5.02M,110.51K,+2.2%,6.1%
11777Q209,BTG,B2GOLD CORP,25000,25000,71.25K,71.25K,NEW,0.09%
68828E809,ODV,OSISKO DEVELOPMENT CORP,20000,20000,29.8K,29.8K,NEW,0.04%
397624206,GEFB,GREIF INC-CL B,197033,0,11.68M,0,NO CHANGE,14.2%
21871X109,CRBG,COREBRIDGE FINANCIAL INC,182155,0,5.75M,0,NO CHANGE,7%
G8192H106,SPNT,SIRIUSPOINT LTD,214282,0,3.7M,0,NO CHANGE,4.5%
G9001E128,LILAK,LIBERTY LATIN AMERIC-CL C,359048,0,2.23M,0,NO CHANGE,2.7%
00000NANA,PAGS,PAGSEGURO DIGITAL LTD-CL A,78000,0,2.05M,0,NO CHANGE,2.5%
552848103,MTG,MGIC INVESTMENT CORP,74000,0,1.83M,0,NO CHANGE,2.2%
33631F104,FSEA,FIRST SEACOAST BANCORP INC,90000,0,1.05M,0,NO CHANGE,1.3%
G9001E102,LILA,LIBERTY LATIN AMERIC-CL A,164481,0,1.04M,0,NO CHANGE,1.3%
65342T106,NODK,NI HOLDINGS INC,51392,0,732.85K,0,NO CHANGE,0.89%
526057302,LENB,LENNAR CORP - B SHS,5629,0,613.96K,0,NO CHANGE,0.75%
25179M103,DVN,DEVON ENERGY CORP,13000,0,486.2K,0,NO CHANGE,0.59%
45720N103,INBX,INHIBRX BIOSCIENCES INC,28095,0,393.05K,0,NO CHANGE,0.48%
817070501,SENEA,SENECA FOODS CORP - CL A,4190,0,373.08K,0,NO CHANGE,0.45%
573134103,MRT,MARTI TECHNOLOGIES INC,65952,0,205.11K,0,NO CHANGE,0.25%
18885T306,CLPR,CLIPPER REALTY INC,22618,0,86.85K,0,NO CHANGE,0.11%
879080109,TRC,TEJON RANCH CO,13742,-1000,217.81K,-15.85K,-6.8%,0.27%
817070105,SENEB,SENECA FOODS CORP - CL B,6303,-1097,572.31K,-99.61K,-14.8%,0.7%
226406106,CRESY,CRESUD S.A.-SPONS ADR,0,-10098,0,-127.54K,CLOSE,0%
541098109,LRFC,LOGAN RIDGE FINANCE CORP,0,-50358,0,-1.26M,CLOSE,0%
Total,,,,,82.18M,11.07M,+16.4%,100%
