CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
144285103,CRS,CARPENTER TECHNOLOGY CORP,12954,12954,2.27M,2.27M,NEW,1.4%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,96493,20506,9.49M,2.02M,+27%,5.9%
67066G104,NVDA,NVIDIA CORPORATION,72043,14545,8.08M,1.63M,+25.3%,5%
88579Y101,MMM,3M CO,11677,11677,1.58M,1.58M,NEW,0.97%
30303M102,META,META PLATFORMS INC,2973,2973,1.55M,1.55M,NEW,0.96%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,124468,112410,1.69M,1.53M,+932.2%,1%
11135F101,AVGO,BROADCOM INC,8531,8531,1.53M,1.53M,NEW,0.94%
770700102,HOOD,ROBINHOOD MKTS INC,31753,31753,1.4M,1.4M,NEW,0.86%
594918104,MSFT,MICROSOFT CORP,12844,3029,4.95M,1.17M,+30.9%,3.1%
428291108,HXL,HEXCEL CORP NEW,34420,21965,1.8M,1.15M,+176.4%,1.1%
037833100,AAPL,APPLE INC,20254,5405,4.09M,1.09M,+36.4%,2.5%
097023105,BA,BOEING CO,16295,7003,2.53M,1.09M,+75.4%,1.6%
88160R101,TSLA,TESLA INC,4010,4010,1.02M,1.02M,NEW,0.63%
84265V105,SCCO,SOUTHERN COPPER CORP,21354,11245,1.85M,976.4K,+111.2%,1.1%
023135106,AMZN,AMAZON COM INC,35172,5273,6.32M,946.98K,+17.6%,3.9%
02079K305,GOOGL,ALPHABET INC,27498,5947,4.3M,929.58K,+27.6%,2.7%
001055102,AFL,AFLAC INC,16448,6856,1.78M,740.65K,+71.5%,1.1%
682680103,OKE,ONEOK INC NEW,8352,8352,702.9K,702.9K,NEW,0.43%
00724F101,ADBE,ADOBE INC,4939,1980,1.73M,693.75K,+66.9%,1.1%
030420103,AWK,AMERICAN WTR WKS CO INC NEW,3654,3654,536.7K,536.7K,NEW,0.33%
26441C204,DUK,DUKE ENERGY CORP NEW,13566,3237,1.63M,390.04K,+31.3%,1%
697435105,PANW,PALO ALTO NETWORKS INC,14923,2155,2.59M,374K,+16.9%,1.6%
36168Q104,GFL,GFL ENVIRONMENTAL INC,7165,7165,350.87K,350.87K,NEW,0.22%
74834L100,DGX,QUEST DIAGNOSTICS INC,7307,1617,1.22M,270.41K,+28.4%,0.75%
931142103,WMT,WALMART INC,23373,2652,2.2M,249.21K,+12.8%,1.4%
64110L106,NFLX,NETFLIX INC,218,218,212.83K,212.83K,NEW,0.13%
36162J106,GEO,GEO GROUP INC NEW,7000,7000,211.12K,211.12K,NEW,0.13%
060505104,BAC,BANK AMERICA CORP,40134,4840,1.52M,183.87K,+13.7%,0.94%
451107106,IDA,IDACORP INC,4476,1386,534.93K,165.64K,+44.9%,0.33%
25746U109,D,DOMINION ENERGY INC,50693,2446,2.72M,131.28K,+5.1%,1.7%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,8939,331,3.51M,130.02K,+3.8%,2.2%
22160K105,COST,COSTCO WHSL CORP NEW,5964,126,5.83M,123.09K,+2.2%,3.6%
46625H100,JPM,JPMORGAN CHASE & CO.,22589,427,5.27M,99.55K,+1.9%,3.2%
172967424,C,CITIGROUP INC,35148,1519,2.26M,97.72K,+4.5%,1.4%
872540109,TJX,TJX COS INC NEW,23353,643,3M,82.62K,+2.8%,1.9%
020002101,ALL,ALLSTATE CORP,5593,391,1.09M,76.07K,+7.5%,0.67%
049560105,ATO,ATMOS ENERGY CORP,10296,474,1.61M,74.07K,+4.8%,0.99%
219350105,GLW,CORNING INC,52845,1647,2.21M,68.81K,+3.2%,1.4%
339750101,FND,FLOOR & DECOR HLDGS INC,24897,849,1.79M,61.13K,+3.5%,1.1%
053332102,AZO,AUTOZONE INC,800,15,2.9M,54.47K,+1.9%,1.8%
29670G102,WTRG,ESSENTIAL UTILS INC,13394,1275,534.56K,50.89K,+10.5%,0.33%
237194105,DRI,DARDEN RESTAURANTS INC,17657,219,3.52M,43.7K,+1.3%,2.2%
382550101,GT,GOODYEAR TIRE & RUBR CO,102440,4096,998.79K,39.94K,+4.2%,0.62%
244199105,DE,DEERE & CO,1370,85,631.99K,39.21K,+6.6%,0.39%
536797103,LAD,LITHIA MTRS INC,10521,119,3.06M,34.61K,+1.1%,1.9%
174610105,CFG,CITIZENS FINL GROUP INC,24366,947,879.61K,34.19K,+4%,0.54%
46428Q109,SLV,ISHARES SILVER TR,147455,959,4.34M,28.2K,+0.7%,2.7%
92826C839,V,VISA INC,8467,61,2.84M,20.48K,+0.7%,1.8%
165303108,CPK,CHESAPEAKE UTILS CORP,4124,136,557.19K,18.37K,+3.4%,0.34%
72346Q104,PNFP,PINNACLE FINL PARTNERS INC,21140,192,1.99M,18.12K,+0.9%,1.2%
22052L104,CTVA,CORTEVA INC,30455,264,1.82M,15.76K,+0.9%,1.1%
78464A862,XSD,SPDR SER TR,1982,78,353.91K,13.93K,+4.1%,0.22%
842587107,SO,SOUTHERN CO,4290,126,390.5K,11.47K,+3%,0.24%
580135101,MCD,MCDONALDS CORP,10001,35,3.13M,10.94K,+0.4%,1.9%
25754A201,DPZ,DOMINOS PIZZA INC,5128,21,2.4M,9.84K,+0.4%,1.5%
00287Y109,ABBV,ABBVIE INC,10503,48,1.86M,8.49K,+0.5%,1.1%
026874784,AIG,AMERICAN INTL GROUP INC,29606,95,2.43M,7.79K,+0.3%,1.5%
369604301,GE,GE AEROSPACE,2567,4,476.57K,742.61,+0.2%,0.29%
00206R102,T,AT&T INC,25671,7,705.97K,192.5,+0%,0.44%
742718109,PG,PROCTER AND GAMBLE CO,20201,0,3.4M,0,NO CHANGE,2.1%
7591EP100,RF,REGIONS FINANCIAL CORP NEW,40221,0,781.49K,0,NO CHANGE,0.48%
548661107,LOW,LOWES COS INC,2000,0,441.02K,0,NO CHANGE,0.27%
06417N103,OZK,BANK OZK LITTLE ROCK ARK,10911,0,428.15K,0,NO CHANGE,0.26%
20369C106,CHCT,COMMUNITY HEALTHCARE TR INC,23529,0,368.7K,0,NO CHANGE,0.23%
233331107,DTE,DTE ENERGY CO,2145,0,285.14K,0,NO CHANGE,0.18%
09256A109,CII,BLACKROCK ENHANCED LARGE CAP,11675,0,207K,0,NO CHANGE,0.13%
231021106,CMI,CUMMINS INC,700,0,201.15K,0,NO CHANGE,0.12%
573331105,MMLP,MARTIN MIDSTREAM PRTNRS L P,31000,0,87.73K,0,NO CHANGE,0.05%
58933Y105,MRK,MERCK & CO INC,3203,-80,251.08K,-6.27K,-2.4%,0.15%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,1801,-6,2.52M,-8.39K,-0.3%,1.6%
46090E103,QQQ,INVESCO QQQ TR,3366,-35,1.54M,-16.03K,-1%,0.95%
532457108,LLY,ELI LILLY & CO,289,-49,218.82K,-37.1K,-14.5%,0.13%
46138G649,QQQM,INVESCO EXCH TRADED FD TR II,28357,-923,5.35M,-174.06K,-3.2%,3.3%
693475105,PNC,PNC FINL SVCS GROUP INC,0,-1216,0,-234.51K,CLOSE,0%
892356106,TSCO,TRACTOR SUPPLY CO,42771,-4761,2.18M,-242.81K,-10%,1.3%
464287796,IYE,ISHARES TR,0,-6064,0,-276.34K,CLOSE,0%
16115Q308,GTLS,CHART INDS INC,6492,-2202,815.59K,-276.64K,-25.3%,0.5%
65339F101,NEE,NEXTERA ENERGY INC,30146,-9452,2.04M,-639.52K,-23.9%,1.3%
744320102,PRU,PRUDENTIAL FINL INC,0,-7968,0,-944.45K,CLOSE,0%
369550108,GD,GENERAL DYNAMICS CORP,0,-4786,0,-1.26M,CLOSE,0%
91324P102,UNH,UNITEDHEALTH GROUP INC,3857,-2215,2.25M,-1.29M,-36.5%,1.4%
444859102,HUM,HUMANA INC,0,-5937,0,-1.51M,CLOSE,0%
053611109,AVY,AVERY DENNISON CORP,0,-8695,0,-1.63M,CLOSE,0%
911312106,UPS,UNITED PARCEL SERVICE INC,0,-14268,0,-1.8M,CLOSE,0%
166764100,CVX,CHEVRON CORP NEW,0,-12892,0,-1.87M,CLOSE,0%
01741R102,ATI,ATI INC,0,-38294,0,-2.11M,CLOSE,0%
20825C104,COP,CONOCOPHILLIPS,0,-21973,0,-2.18M,CLOSE,0%
30231G102,XOM,EXXON MOBIL CORP,2500,-21217,257.7K,-2.19M,-89.5%,0.16%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-18580,0,-2.24M,CLOSE,0%
143658300,CCL,CARNIVAL CORP,0,-90095,0,-2.25M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,27652,-16774,3.7M,-2.25M,-37.8%,2.3%
Total,,,,,162.12M,2.94M,+1.8%,100%
