CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594972408,MSTR,MICROSTRATEGY INC,98965,98965,28.53M,28.53M,NEW,34.7%
464287184,FXI,ISHARES TR,418500,418500,15M,15M,NEW,18.2%
46434G822,EWJ,ISHARES INC,200959,200959,13.78M,13.78M,NEW,16.7%
46434G772,EWT,ISHARES INC,200000,200000,9.5M,9.5M,NEW,11.5%
46429B671,MCHI,ISHARES TR,90954,48387,4.95M,2.63M,+113.7%,6%
78464A409,SPYG,SPDR SER TR,30110,30110,2.42M,2.42M,NEW,2.9%
233051879,ASHR,DBX ETF TR,77796,77796,2.07M,2.07M,NEW,2.5%
316092808,FTEC,FIDELITY COVINGTON TRUST,10824,10824,1.75M,1.75M,NEW,2.1%
464288273,SCZ,ISHARES TR,11957,11957,759.63K,759.63K,NEW,0.92%
464287234,EEM,ISHARES TR,10841,10841,473.75K,473.75K,NEW,0.58%
464287804,IJR,ISHARES TR,4418,4418,461.99K,461.99K,NEW,0.56%
464288638,IGIB,ISHARES TR,7786,7786,408.92K,408.92K,NEW,0.5%
808524805,SCHF,SCHWAB STRATEGIC TR,20068,20068,396.94K,396.94K,NEW,0.48%
67066G104,NVDA,NVIDIA CORPORATION,3605,3605,390.71K,390.71K,NEW,0.47%
921909768,VXUS,VANGUARD STAR FDS,5885,5885,365.46K,365.46K,NEW,0.44%
922042742,VT,VANGUARD INTL EQUITY INDEX F,2450,2450,284.08K,284.08K,NEW,0.35%
922908553,VNQ,VANGUARD INDEX FDS,3013,3013,272.8K,272.8K,NEW,0.33%
01609W102,BABA,ALIBABA GROUP HLDG LTD,2009,2009,265.65K,265.65K,NEW,0.32%
464287879,IJS,ISHARES TR,2402,2402,234.15K,234.15K,NEW,0.28%
464287861,IEV,ISHARES TR,0,-4907,0,-255.46K,CLOSE,0%
464286822,EWW,ISHARES INC,0,-6600,0,-309.01K,CLOSE,0%
464286400,EWZ,ISHARES INC,0,-28300,0,-637.03K,CLOSE,0%
81369Y407,XLY,SELECT SECTOR SPDR TR,0,-10000,0,-2.24M,CLOSE,0%
464288240,ACWX,ISHARES TR,0,-46278,0,-2.41M,CLOSE,0%
464287499,IWR,ISHARES TR,0,-28270,0,-2.5M,CLOSE,0%
464287465,EFA,ISHARES TR,0,-65368,0,-4.94M,CLOSE,0%
78463X889,SPDW,SPDR INDEX SHS FDS,0,-180547,0,-6.16M,CLOSE,0%
Total,,,,,82.3M,60.52M,+282%,100%
