CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287200,IVV,ISHARES TR,913424,861401,513.25M,484.02M,+1655.8%,1.3%
57636Q104,MA,MASTERCARD INCORPORATED,754793,742541,413.72M,407M,+6060.6%,1%
808513105,SCHW,SCHWAB CHARLES CORP,5296129,5104063,414.58M,399.55M,+2657.5%,1%
78462F103,SPY,SPDR S&P 500 ETF TR,1141304,513055,638.43M,287M,+81.7%,1.6%
461202103,INTU,INTUIT,571488,460549,350.89M,282.77M,+415.1%,0.88%
46116X101,ITCI,INTRA-CELLULAR THERAPIES INC,2257912,2118252,297.86M,279.44M,+1516.7%,0.75%
053332102,AZO,AUTOZONE INC,66934,66934,255.2M,255.2M,NEW,0.64%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,4286783,3989639,250.86M,233.47M,+1342.7%,0.63%
235851102,DHR,DANAHER CORPORATION,1163248,1135865,238.47M,232.85M,+4148.1%,0.6%
30303M102,META,META PLATFORMS INC,612226,403632,352.86M,232.64M,+193.5%,0.88%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,4811251,4396115,232.91M,212.82M,+1059%,0.58%
G1151C101,ACN,ACCENTURE PLC IRELAND,732075,656341,228.44M,204.8M,+866.6%,0.57%
832696405,SJM,SMUCKER J M CO,1548552,1548552,183.36M,183.36M,NEW,0.46%
29444U700,EQIX,EQUINIX INC,217199,215782,177.09M,175.94M,+15228.1%,0.44%
49271V100,KDP,KEURIG DR PEPPER INC,7017601,4771276,240.14M,163.27M,+212.4%,0.6%
81369Y605,XLF,SELECT SECTOR SPDR TR,3817554,3217585,190.15M,160.27M,+536.3%,0.48%
438516106,HON,HONEYWELL INTL INC,761894,755186,161.33M,159.91M,+11258%,0.4%
303250104,FICO,FAIR ISAAC CORP,84504,84504,155.84M,155.84M,NEW,0.39%
053484101,AVB,AVALONBAY CMNTYS INC,730161,722125,156.71M,154.98M,+8986.1%,0.39%
