CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
78442P106,SLM,SLM CORP,277.7M,6.4%,277.7M,NEW
601137102,MRP,MILLROSE PPTYS INC,210.99M,4.8%,210.99M,NEW
12008R107,BLDR,BUILDERS FIRSTSOURCE INC,155.12M,3.6%,155.12M,NEW
14040H105,COF,CAPITAL ONE FINL CORP,113.24M,2.6%,112.97M,+42003.5%
23331A109,DHI,D R HORTON INC,149.38M,3.4%,50.02M,+50.3%
526057104,LEN,LENNAR CORP,251.32M,5.8%,47.66M,+23.4%
G4705A100,ICLR,ICON PLC,874.95K,0.02%,349.98K,+66.7%
92826C839,V,VISA INC,216.58K,<.01%,216.58K,NEW
78409V104,SPGI,S&P GLOBAL INC,203.75K,<.01%,203.75K,NEW
02079K305,GOOGL,ALPHABET INC,3.38M,0.08%,0,NO CHANGE
46625H100,JPM,JPMORGAN CHASE & CO.,1.38M,0.03%,0,NO CHANGE
20030N101,CMCSA,COMCAST CORP NEW,1.15M,0.03%,0,NO CHANGE
060505104,BAC,BANK AMERICA CORP,606.42K,0.01%,0,NO CHANGE
02079K107,GOOG,ALPHABET INC,592.11K,0.01%,0,NO CHANGE
743315103,PGR,PROGRESSIVE CORP,494.13K,0.01%,0,NO CHANGE
594918104,MSFT,MICROSOFT CORP,478.62K,0.01%,0,NO CHANGE
02005N100,ALLY,ALLY FINL INC,364.7K,<.01%,0,NO CHANGE
571903202,MAR,MARRIOTT INTL INC NEW,284.41K,<.01%,0,NO CHANGE
023135106,AMZN,AMAZON COM INC,266.36K,<.01%,0,NO CHANGE
91324P102,UNH,UNITEDHEALTH GROUP INC,261.35K,<.01%,0,NO CHANGE
57636Q104,MA,MASTERCARD INCORPORATED,231.31K,<.01%,0,NO CHANGE
615369105,MCO,MOODYS CORP,219.34K,<.01%,0,NO CHANGE
03676B102,AM,ANTERO MIDSTREAM CORP,34.53M,0.79%,-257.62K,-0.7%
40412C101,HCA,HCA HEALTHCARE INC,664.49K,0.02%,-501.05K,-43%
55336V100,MPLX,MPLX LP,233.57M,5.3%,-2.89M,-1.2%
30190A104,FG,F&G ANNUITIES & LIFE INC,190.67M,4.4%,-4.01M,-2.1%
68268W103,OMF,ONEMAIN HLDGS INC,358.96M,8.2%,-4.6M,-1.3%
783513203,RYAAY,RYANAIR HOLDINGS PLC,232.06M,5.3%,-5.4M,-2.3%
74164M108,PRI,PRIMERICA INC,237.48M,5.4%,-5.47M,-2.2%
87162W100,SNX,TD SYNNEX CORPORATION,423.79M,9.7%,-7.35M,-1.7%
036752103,ELV,ELEVANCE HEALTH INC,686.18M,15.7%,-22.79M,-3.2%
05329W102,AN,AUTONATION INC,182.98M,4.2%,-53.62M,-22.7%
536797103,LAD,LITHIA MTRS INC,112.1M,2.6%,-67.71M,-37.7%
254709108,DFS,DISCOVER FINL SVCS,274.64M,6.3%,-156.21M,-36.3%
31620R303,FNF,FIDELITY NATIONAL FINANCIAL,229.99M,5.3%,-158.74M,-40.8%
Total,,,4.37B,100%,347M,+8.6%
