CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
02079K305,GOOGL,ALPHABET INC,76.58M,12.3%,76.58M,NEW
19260Q107,COIN,COINBASE GLOBAL INC,75.7M,12.2%,57.94M,+326.2%
11135F101,AVGO,BROADCOM INC,61.37M,9.9%,55.71M,+983.3%
007903107,AMD,ADVANCED MICRO DEVICES INC,61.43M,9.9%,54M,+727.1%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,45.34M,7.3%,38.53M,+566.3%
70450Y103,PYPL,PAYPAL HLDGS INC,35.35M,5.7%,32.09M,+986.6%
64110L106,NFLX,NETFLIX INC,27.54M,4.4%,27.54M,NEW
67066G104,NVDA,NVIDIA CORPORATION,18.99M,3%,18.99M,NEW
833445109,SNOW,SNOWFLAKE INC,16.11M,2.6%,11.85M,+277.8%
254687106,DIS,DISNEY WALT CO,18.55M,3%,9.44M,+103.5%
060505104,BAC,BANK AMERICA CORP,12.39M,2%,9.09M,+275.7%
46625H100,JPM,JPMORGAN CHASE & CO.,7.94M,1.3%,5.13M,+182.4%
82509L107,SHOP,SHOPIFY INC,5M,0.8%,5M,NEW
01609W102,BABA,ALIBABA GROUP HLDG LTD,45.7M,7.3%,4.02M,+9.6%
747525103,QCOM,QUALCOMM INC,3.6M,0.58%,2.98M,+476.4%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,4.16M,0.67%,2.34M,+128.7%
86800U302,SMCI,SUPER MICRO COMPUTER INC,2.22M,0.36%,2.22M,NEW
097023105,BA,BOEING CO,1.79M,0.29%,1.79M,NEW
81369Y506,XLE,SELECT SECTOR SPDR TR,3.3M,0.53%,1.76M,+113.7%
30231G102,XOM,EXXON MOBIL CORP,1.62M,0.26%,1.62M,NEW
87612E106,TGT,TARGET CORP,3.79M,0.61%,418.07K,+12.4%
91680M107,UPST,UPSTART HLDGS INC,1.17M,0.19%,56.62K,+5.1%
722304102,PDD,PDD HOLDINGS INC,269.96K,0.04%,-59.41K,-18%
83304A106,SNAP,SNAP INC,98.11K,0.02%,-120.7K,-55.2%
98422D105,XPEV,XPENG INC,0,0%,-200.84K,CLOSE
654106103,NKE,NIKE INC,0,0%,-204.16K,CLOSE
37045V100,GM,GENERAL MTRS CO,0,0%,-233.59K,CLOSE
345370860,F,FORD MTR CO,0,0%,-251.35K,CLOSE
17275R102,CSCO,CISCO SYS INC,0,0%,-277.88K,CLOSE
00827B106,AFRM,AFFIRM HLDGS INC,0,0%,-330.56K,CLOSE
91324P102,UNH,UNITEDHEALTH GROUP INC,0,0%,-343.48K,CLOSE
459200101,IBM,INTERNATIONAL BUSINESS MACHS,0,0%,-351.29K,CLOSE
674599105,OXY,OCCIDENTAL PETE CORP,0,0%,-357.88K,CLOSE
550021109,LULU,LULULEMON ATHLETICA INC,0,0%,-439.77K,CLOSE
36467W109,GME,GAMESTOP CORP NEW,742.97K,0.12%,-468.36K,-38.7%
336433107,FSLR,FIRST SOLAR INC,937.1K,0.15%,-552.5K,-37.1%
90353T100,UBER,UBER TECHNOLOGIES INC,295.08K,0.05%,-611.88K,-67.5%
36118L106,FUTU,FUTU HLDGS LTD,0,0%,-1.01M,CLOSE
60770K107,MRNA,MODERNA INC,0,0%,-1.01M,CLOSE
458140100,INTC,INTEL CORP,0,0%,-1.06M,CLOSE
855244109,SBUX,STARBUCKS CORP,0,0%,-1.08M,CLOSE
539830109,LMT,LOCKHEED MARTIN CORP,0,0%,-1.39M,CLOSE
58933Y105,MRK,MERCK & CO INC,0,0%,-1.41M,CLOSE
98980L101,ZM,ZOOM COMMUNICATIONS INC,0,0%,-1.55M,CLOSE
78464A698,KRE,SPDR SER TR,0,0%,-1.8M,CLOSE
09260D107,BX,BLACKSTONE INC,0,0%,-1.9M,CLOSE
31428X106,FDX,FEDEX CORP,0,0%,-1.93M,CLOSE
931142103,WMT,WALMART INC,3.08M,0.49%,-2.11M,-40.7%
038222105,AMAT,APPLIED MATLS INC,0,0%,-2.3M,CLOSE
146869102,CVNA,CARVANA CO,0,0%,-2.42M,CLOSE
009066101,ABNB,AIRBNB INC,0,0%,-2.71M,CLOSE
437076102,HD,HOME DEPOT INC,1.55M,0.25%,-2.82M,-64.6%
47215P106,JD,JD.COM INC,802K,0.13%,-2.89M,-78.3%
N07059210,ASML,ASML HOLDING N V,0,0%,-3.22M,CLOSE
532457108,LLY,ELI LILLY & CO,0,0%,-3.29M,CLOSE
717081103,PFE,PFIZER INC,0,0%,-3.65M,CLOSE
949746101,WFC,WELLS FARGO CO NEW,9.2M,1.5%,-3.77M,-29.1%
172967424,C,CITIGROUP INC,0,0%,-4.53M,CLOSE
166764100,CVX,CHEVRON CORP NEW,3.81M,0.61%,-4.81M,-55.8%
92189F676,SMH,VANECK ETF TRUST,0,0%,-5.76M,CLOSE
149123101,CAT,CATERPILLAR INC,0,0%,-6.78M,CLOSE
92826C839,V,VISA INC,0,0%,-6.9M,CLOSE
79466L302,CRM,SALESFORCE INC,0,0%,-6.99M,CLOSE
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,0,0%,-7.8M,CLOSE
22160K105,COST,COSTCO WHSL CORP NEW,12.05M,1.9%,-8.35M,-40.9%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,24.07M,3.9%,-8.37M,-25.8%
81369Y605,XLF,SELECT SECTOR SPDR TR,0,0%,-9.25M,CLOSE
594972408,MSTR,MICROSTRATEGY INC,0,0%,-9.69M,CLOSE
617446448,MS,MORGAN STANLEY,0,0%,-9.99M,CLOSE
57636Q104,MA,MASTERCARD INCORPORATED,0,0%,-11.63M,CLOSE
30303M102,META,META PLATFORMS INC,0,0%,-12.71M,CLOSE
68389X105,ORCL,ORACLE CORP,0,0%,-12.86M,CLOSE
595112103,MU,MICRON TECHNOLOGY INC,0,0%,-13.18M,CLOSE
38141G104,GS,GOLDMAN SACHS GROUP INC,11.18M,1.8%,-13.25M,-54.2%
00724F101,ADBE,ADOBE INC,0,0%,-23.7M,CLOSE
58733R102,MELI,MERCADOLIBRE INC,1.7M,0.27%,-26.4M,-93.9%
