CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
30303M102,META,META PLATFORMS INC,135.55M,1.7%,135.55M,NEW
02079K305,GOOGL,ALPHABET INC,118.5M,1.5%,118.5M,NEW
007903107,AMD,ADVANCED MICRO DEVICES INC,75.67M,0.96%,75.67M,NEW
46625H100,JPM,JPMORGAN CHASE & CO.,121.76M,1.6%,62.4M,+105.1%
713448108,PEP,PEPSICO INC,85.83M,1.1%,59.87M,+230.6%
369604301,GE,GE AEROSPACE,92.02M,1.2%,56.25M,+157.2%
09857L108,BKNG,BOOKING HOLDINGS INC,56.18M,0.72%,56.18M,NEW
30231G102,XOM,EXXON MOBIL CORP,55.62M,0.71%,55.62M,NEW
58933Y105,MRK,MERCK & CO INC,125.39M,1.6%,55M,+78.1%
57636Q104,MA,MASTERCARD INCORPORATED,47.08M,0.6%,47.08M,NEW
09260D107,BX,BLACKSTONE INC,47.07M,0.6%,47.07M,NEW
172967424,C,CITIGROUP INC,121.13M,1.5%,44.82M,+58.7%
79466L302,CRM,SALESFORCE INC,51.16M,0.65%,43.81M,+595.8%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,38.77M,0.49%,35.71M,+1165.8%
91680M107,UPST,UPSTART HLDGS INC,39.32M,0.5%,35.22M,+859.5%
285512109,EA,ELECTRONIC ARTS INC,49.54M,0.63%,34.36M,+226.4%
46090E103,QQQ,INVESCO QQQ TR,33.36M,0.43%,33.36M,NEW
573874104,MRVL,MARVELL TECHNOLOGY INC,33.21M,0.42%,33.21M,NEW
92189F676,SMH,VANECK ETF TRUST,32.77M,0.42%,32.77M,NEW
88339J105,TTD,THE TRADE DESK INC,35.45M,0.45%,31.1M,+715.1%
00724F101,ADBE,ADOBE INC,97.67M,1.2%,27.47M,+39.1%
617446448,MS,MORGAN STANLEY,97.04M,1.2%,27.34M,+39.2%
194162103,CL,COLGATE PALMOLIVE CO,26.19M,0.33%,26.19M,NEW
693475105,PNC,PNC FINL SVCS GROUP INC,29.33M,0.37%,25.86M,+745.9%
842587107,SO,SOUTHERN CO,35.8M,0.46%,25.83M,+259.1%
281020107,EIX,EDISON INTL,30.7M,0.39%,25.78M,+523.7%
679295105,OKTA,OKTA INC,50.12M,0.64%,25.59M,+104.3%
303250104,FICO,FAIR ISAAC CORP,25.22M,0.32%,25.22M,NEW
816851109,SRE,SEMPRA,24.02M,0.31%,24.02M,NEW
026874784,AIG,AMERICAN INTL GROUP INC,61.69M,0.79%,23.69M,+62.3%
29364G103,ETR,ENTERGY CORP NEW,22.97M,0.29%,22.97M,NEW
040413205,ANET,ARISTA NETWORKS INC,33.65M,0.43%,22.93M,+213.9%
75886F107,REGN,REGENERON PHARMACEUTICALS,58.86M,0.75%,22.74M,+63%
29355A107,ENPH,ENPHASE ENERGY INC,39.19M,0.5%,22.4M,+133.3%
718172109,PM,PHILIP MORRIS INTL INC,47M,0.6%,22.35M,+90.7%
81141R100,SE,SEA LTD,22.15M,0.28%,22.15M,NEW
126408103,CSX,CSX CORP,49M,0.62%,22.11M,+82.2%
82509L107,SHOP,SHOPIFY INC,21.56M,0.27%,21.56M,NEW
G3643J108,FLUT,FLUTTER ENTMT PLC,21.52M,0.27%,21.52M,NEW
81762P102,NOW,SERVICENOW INC,53.15M,0.68%,21.27M,+66.7%
150870103,CE,CELANESE CORP DEL,20.12M,0.26%,20.12M,NEW
871607107,SNPS,SYNOPSYS INC,19.61M,0.25%,19.61M,NEW
67066G104,NVDA,NVIDIA CORPORATION,17.98M,0.23%,17.98M,NEW
78464A698,KRE,SPDR SER TR,17.45M,0.22%,17.45M,NEW
20030N101,CMCSA,COMCAST CORP NEW,17.67M,0.23%,16.81M,+1945.3%
15118V207,CELH,CELSIUS HLDGS INC,16.63M,0.21%,16.63M,NEW
243537107,DECK,DECKERS OUTDOOR CORP,36.73M,0.47%,16.32M,+80%
23804L103,DDOG,DATADOG INC,16.23M,0.21%,16.23M,NEW
149123101,CAT,CATERPILLAR INC,15.92M,0.2%,15.92M,NEW
615369105,MCO,MOODYS CORP,26.9M,0.34%,15.89M,+144.2%
38141G104,GS,GOLDMAN SACHS GROUP INC,61.08M,0.78%,15.68M,+34.5%
562750109,MANH,MANHATTAN ASSOCIATES INC,15.12M,0.19%,15.12M,NEW
