CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
29275Y102,ENS,ENERSYS,66295,21250,6.07M,1.95M,+47.2%,2.5%
172967424,C,CITIGROUP INC,173775,20250,12.34M,1.44M,+13.2%,5%
482480100,KLAC,KLA CORP,13273,268,9.02M,182.19K,+2.1%,3.7%
75513E101,RTX,RTX CORPORATION,79196,850,10.49M,112.59K,+1.1%,4.3%
038222105,AMAT,APPLIED MATLS INC,87085,710,12.64M,103.04K,+0.8%,5.1%
97717W422,EPI,WISDOMTREE TR,129005,1300,5.64M,56.82K,+1%,2.3%
27579R104,EWBC,EAST WEST BANCORP INC,121545,500,10.91M,44.88K,+0.4%,4.4%
91913Y100,VLO,VALERO ENERGY CORP,48311,300,6.38M,39.62K,+0.6%,2.6%
N07059210,ASML,ASML HOLDING N V,13993,50,9.27M,33.13K,+0.4%,3.8%
388689101,GPK,GRAPHIC PACKAGING HLDG CO,373875,600,9.71M,15.58K,+0.2%,3.9%
301505707,ROBO,EXCHANGE TRADED CONCEPTS TRU,97965,250,5.05M,12.88K,+0.3%,2%
337738108,FISV,FISERV INC,46610,0,10.29M,0,NO CHANGE,4.2%
75524B104,RBC,RBC BEARINGS INC,19728,0,6.35M,0,NO CHANGE,2.6%
594918104,MSFT,MICROSOFT CORP,2539,0,953.12K,0,NO CHANGE,0.39%
78463V107,GLD,SPDR GOLD TR,1005,0,289.58K,0,NO CHANGE,0.12%
46137V324,RSPN,INVESCO EXCHANGE TRADED FD T,167660,-125,8.2M,-6.12K,-0.1%,3.3%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,58657,-40,11.15M,-7.6K,-0.1%,4.5%
053332102,AZO,AUTOZONE INC,2506,-2,9.55M,-7.63K,-0.1%,3.9%
92189F676,SMH,VANECK ETF TRUST,5062,-50,1.07M,-10.57K,-1%,0.43%
880770102,TER,TERADYNE INC,57159,-175,4.72M,-14.45K,-0.3%,1.9%
92840M102,VST,VISTRA CORP,255299,-140,29.98M,-16.44K,-0.1%,12.2%
46625H100,JPM,JPMORGAN CHASE & CO.,61372,-75,15.05M,-18.4K,-0.1%,6.1%
037833100,AAPL,APPLE INC,55272,-140,12.28M,-31.1K,-0.3%,5%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,24027,-230,12.8M,-122.49K,-0.9%,5.2%
11135F101,AVGO,BROADCOM INC,155730,-11845,26.07M,-1.98M,-7.1%,10.6%
78464A870,XBI,SPDR SER TR,0,-25594,0,-2.3M,CLOSE,0%
Total,,,,,246.28M,-538.67K,-0.2%,100%
