CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
78463V107,GLD,SPDR GOLD TR,374.1K,7.4%,37.18K,+11%
76200L309,RZLT,REZOLUTE INC,3.83M,75.3%,0,NO CHANGE
60255C885,MNMD,MIND MEDICINE MINDMED INC,199.33K,3.9%,0,NO CHANGE
055477103,BCAX,BICARA THERAPEUTICS INC,142.56K,2.8%,0,NO CHANGE
20454B104,CMPX,COMPASS THERAPEUTICS INC,82.58K,1.6%,0,NO CHANGE
52886X107,LXEO,LEXEO THERAPEUTICS INC,61.94K,1.2%,0,NO CHANGE
501976104,KYTX,KYVERNA THERAPEUTICS INC,44.35K,0.87%,0,NO CHANGE
14147L108,CRDF,CARDIFF ONCOLOGY INC,41.72K,0.82%,0,NO CHANGE
45719W205,IKT,INHIBIKASE THERAPEUTICS INC,35.9K,0.71%,0,NO CHANGE
007002108,ACET,ADICET BIO INC,13.2K,0.26%,0,NO CHANGE
21077P108,CNTX,CONTEXT THERAPEUTICS INC,11.26K,0.22%,0,NO CHANGE
38000Q102,GLYC,GLYCOMIMETICS INC,0,0%,-50.9K,CLOSE
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,248.82K,4.9%,-354.84K,-58.8%
78462F103,SPY,SPDR S&P 500 ETF TR,0,0%,-1.65M,CLOSE
98422E103,XERS,XERIS BIOPHARMA HOLDINGS INC,0,0%,-6.83M,CLOSE
Total,,,5.08M,100%,-11.56M,-69.5%
