CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46090E103,QQQ,INVESCO QQQ TR,13745,9531,6.46M,4.48M,+226.2%,9.3%
464287655,IWM,ISHARES TR,21313,18774,4.26M,3.75M,+739.4%,6.1%
88339J105,TTD,THE TRADE DESK INC,45300,45300,2.48M,2.48M,NEW,3.6%
78467Y107,MDY,SPDR S&P MIDCAP 400 ETF TR,4984,4514,2.66M,2.41M,+960.4%,3.8%
G5960L103,MDT,MEDTRONIC PLC,20317,20317,1.83M,1.83M,NEW,2.6%
512807306,LRCX,LAM RESEARCH CORP,20917,20917,1.52M,1.52M,NEW,2.2%
78464A698,KRE,SPDR SER TR,23839,23839,1.36M,1.36M,NEW,1.9%
02079K107,GOOG,ALPHABET INC,7777,7777,1.22M,1.22M,NEW,1.7%
907818108,UNP,UNION PAC CORP,5025,5025,1.19M,1.19M,NEW,1.7%
81369Y803,XLK,SELECT SECTOR SPDR TR,21231,4866,4.39M,1.01M,+29.7%,6.3%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,5596,5596,928.99K,928.99K,NEW,1.3%
81369Y704,XLI,SELECT SECTOR SPDR TR,5926,5926,777.34K,777.34K,NEW,1.1%
172967424,C,CITIGROUP INC,10862,10862,772.02K,772.02K,NEW,1.1%
617446448,MS,MORGAN STANLEY,6554,6554,765.54K,765.54K,NEW,1.1%
92204A702,VGT,VANGUARD WORLD FD,1354,1354,735.33K,735.33K,NEW,1.1%
149123101,CAT,CATERPILLAR INC,2185,2185,721.36K,721.36K,NEW,1%
742718109,PG,PROCTER AND GAMBLE CO,8666,4156,1.48M,708.72K,+92.2%,2.1%
00214Q104,ARKK,ARK ETF TR,19663,14647,935.86K,697.12K,+292%,1.3%
67066G104,NVDA,NVIDIA CORPORATION,6239,6239,679.33K,679.33K,NEW,0.98%
007903107,AMD,ADVANCED MICRO DEVICES INC,6525,6525,670.54K,670.54K,NEW,0.96%
59156R108,MET,METLIFE INC,8035,8035,645.25K,645.25K,NEW,0.93%
911312106,UPS,UNITED PARCEL SERVICE INC,5855,5855,644.02K,644.02K,NEW,0.92%
92189H607,OIH,VANECK ETF TRUST,2374,2374,622.95K,622.95K,NEW,0.89%
89832Q109,TFC,TRUIST FINL CORP,15054,15054,619.55K,619.55K,NEW,0.89%
H42097107,UBS,UBS GROUP AG,19805,19805,607.52K,607.52K,NEW,0.87%
N07059210,ASML,ASML HOLDING N V,914,914,606.02K,606.02K,NEW,0.87%
464287101,OEF,ISHARES TR,2136,2136,579.02K,579.02K,NEW,0.83%
963320106,WHR,WHIRLPOOL CORP,6225,6225,562.3K,562.3K,NEW,0.81%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,2892,2892,501.29K,501.28K,NEW,0.72%
30231G102,XOM,EXXON MOBIL CORP,4124,4124,491.11K,491.11K,NEW,0.7%
464287523,SOXX,ISHARES TR,2523,2523,474.97K,474.97K,NEW,0.68%
594918104,MSFT,MICROSOFT CORP,1237,1237,465K,465K,NEW,0.67%
81369Y506,XLE,SELECT SECTOR SPDR TR,4736,4736,443.12K,443.12K,NEW,0.64%
842587107,SO,SOUTHERN CO,4678,4678,430.31K,430.31K,NEW,0.62%
70450Y103,PYPL,PAYPAL HLDGS INC,6454,6454,421.48K,421.48K,NEW,0.61%
803054204,SAP,SAP SE,1518,1518,408.22K,408.22K,NEW,0.59%
34354P105,FLS,FLOWSERVE CORP,8301,8301,405.71K,405.71K,NEW,0.58%
03076C106,AMP,AMERIPRISE FINL INC,817,817,395.72K,395.72K,NEW,0.57%
032654105,ADI,ANALOG DEVICES INC,1890,1890,381.75K,381.75K,NEW,0.55%
125269100,CF,CF INDS HLDGS INC,4600,4600,359.31K,359.31K,NEW,0.52%
74762E102,PWR,QUANTA SVCS INC,1346,1346,342.75K,342.75K,NEW,0.49%
482480100,KLAC,KLA CORP,503,503,342.22K,342.22K,NEW,0.49%
G491BT108,IVZ,INVESCO LTD,21118,21118,320.47K,320.47K,NEW,0.46%
G0750C108,AXTA,AXALTA COATING SYS LTD,9479,9479,314.65K,314.65K,NEW,0.45%
78468R556,XOP,SPDR SER TR,2361,2361,311.32K,311.32K,NEW,0.45%
020002101,ALL,ALLSTATE CORP,1503,1503,311.31K,311.31K,NEW,0.45%
H1467J104,CB,CHUBB LIMITED,1010,1010,305.22K,305.22K,NEW,0.44%
80105N105,SNY,SANOFI,5456,5456,302.78K,302.78K,NEW,0.43%
14316J108,CG,CARLYLE GROUP INC,6843,6843,298.39K,298.39K,NEW,0.43%
007973100,AEIS,ADVANCED ENERGY INDS,2990,2990,284.81K,284.81K,NEW,0.41%
67077M108,NTR,NUTRIEN LTD,5427,5427,269.37K,269.37K,NEW,0.39%
466313103,JBL,JABIL INC,1902,1902,259.06K,259.06K,NEW,0.37%
046353108,AZN,ASTRAZENECA PLC,3128,3128,230.02K,230.02K,NEW,0.33%
035710839,NLY,ANNALY CAPITAL MANAGEMENT IN,11204,11204,227.5K,227.5K,NEW,0.33%
526057104,LEN,LENNAR CORP,1881,1881,215.95K,215.95K,NEW,0.31%
17275R102,CSCO,CISCO SYS INC,3477,3477,214.93K,214.93K,NEW,0.31%
91347P105,OLED,UNIVERSAL DISPLAY CORP,1474,1474,205.29K,205.29K,NEW,0.29%
032095101,APH,AMPHENOL CORP NEW,5910,2954,387.84K,193.86K,+99.9%,0.56%
55955D100,MGNI,MAGNITE INC,16800,16800,191.6K,191.6K,NEW,0.28%
867224107,SU,SUNCOR ENERGY INC NEW,12000,3076,464.7K,119.12K,+34.5%,0.67%
11135F101,AVGO,BROADCOM INC,2719,655,456.49K,109.97K,+31.7%,0.66%
45256X103,IBRX,IMMUNITYBIO INC,14400,14400,43.42K,43.42K,NEW,0.06%
38141G104,GS,GOLDMAN SACHS GROUP INC,937,50,512.18K,27.33K,+5.6%,0.74%
28852N109,EFC,ELLINGTON FINANCIAL INC,12828,1638,169.91K,21.7K,+14.6%,0.24%
039483102,ADM,ARCHER DANIELS MIDLAND CO,5500,100,264.14K,4.8K,+1.9%,0.38%
02081G201,ATEC,ALPHATEC HLDGS INC,10200,-1600,103.38K,-16.22K,-13.6%,0.15%
037833100,AAPL,APPLE INC,1399,-75,311.73K,-16.71K,-5.1%,0.45%
48138M105,JMIA,JUMIA TECHNOLOGIES AG,0,-10900,0,-41.69K,CLOSE,0%
151190204,CELU,CELULARITY INC,0,-22000,0,-45.98K,CLOSE,0%
701094104,PH,PARKER-HANNIFIN CORP,403,-109,245.16K,-66.31K,-21.3%,0.35%
73044W302,POET,POET TECHNOLOGIES INC,0,-14628,0,-86.67K,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,3958,-1712,243.69K,-105.41K,-30.2%,0.35%
92189F676,SMH,VANECK ETF TRUST,6824,-500,1.44M,-105.82K,-6.8%,2.1%
G29183103,ETN,EATON CORP PLC,1425,-428,387.7K,-116.45K,-23.1%,0.56%
464287739,IYR,ISHARES TR,2703,-1686,258.96K,-161.53K,-38.4%,0.37%
882508104,TXN,TEXAS INSTRS INC,2158,-902,388.32K,-162.31K,-29.5%,0.56%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,0,-2356,0,-203.18K,CLOSE,0%
171779309,CIEN,CIENA CORP,0,-2393,0,-203.21K,CLOSE,0%
09260D107,BX,BLACKSTONE INC,0,-1203,0,-207.13K,CLOSE,0%
655844108,NSC,NORFOLK SOUTHN CORP,0,-883,0,-207.24K,CLOSE,0%
097023105,BA,BOEING CO,0,-1305,0,-231.02K,CLOSE,0%
291011104,EMR,EMERSON ELEC CO,0,-1916,0,-237.37K,CLOSE,0%
957638109,WAL,WESTERN ALLIANCE BANCORP,0,-2981,0,-249.24K,CLOSE,0%
78462F103,SPY,SPDR S&P 500 ETF TR,23261,-457,13.02M,-255.84K,-1.9%,18.7%
437076102,HD,HOME DEPOT INC,0,-696,0,-270.52K,CLOSE,0%
749685103,RPM,RPM INTL INC,0,-2282,0,-280.61K,CLOSE,0%
79466L302,CRM,SALESFORCE INC,0,-854,0,-285.39K,CLOSE,0%
