CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
829933100,SIRI,SIRIUSXM HOLDINGS INC,15.84M,8.6%,15.56M,+5479.5%
N82405106,STLA,STELLANTIS N.V,15.65M,8.5%,10.54M,+206%
01609W102,BABA,ALIBABA GROUP HLDG LTD,5.54M,3%,5.09M,+1132.4%
674599105,OXY,OCCIDENTAL PETE CORP,3.36M,1.8%,3.36M,NEW
399473AH0,GRPN,GROUPON INC,3.12M,1.7%,3.12M,NEW
37045V100,GM,GENERAL MTRS CO,2.45M,1.3%,2.45M,NEW
084670108,BRK.A,BERKSHIRE HATHAWAY INC DEL,68.67M,37.1%,0,NO CHANGE
02079K107,GOOG,ALPHABET INC,12.87M,7%,0,NO CHANGE
87165B103,SYF,SYNCHRONY FINANCIAL,11.42M,6.2%,0,NO CHANGE
037833100,AAPL,APPLE INC,9.77M,5.3%,0,NO CHANGE
02005N100,ALLY,ALLY FINL INC,8.22M,4.4%,0,NO CHANGE
949746101,WFC,WELLS FARGO CO NEW,4.27M,2.3%,0,NO CHANGE
172967424,C,CITIGROUP INC,4.1M,2.2%,0,NO CHANGE
73278L105,POOL,POOL CORP,3.39M,1.8%,0,NO CHANGE
615369105,MCO,MOODYS CORP,2.75M,1.5%,0,NO CHANGE
70450Y103,PYPL,PAYPAL HLDGS INC,2.68M,1.4%,0,NO CHANGE
060505104,BAC,BANK AMERICA CORP,2.09M,1.1%,0,NO CHANGE
59100U108,CASH,PATHWARD FINANCIAL INC,2M,1.1%,0,NO CHANGE
55262C100,MBI,MBIA INC,1.6M,0.86%,0,NO CHANGE
G21082105,CYD,CHINA YUCHAI INTL LTD,1.25M,0.67%,0,NO CHANGE
G0585R106,AGO,ASSURED GUARANTY LTD,968.22K,0.52%,0,NO CHANGE
47233W109,JEF,JEFFERIES FINL GROUP INC,588.57K,0.32%,0,NO CHANGE
546347105,LPX,LOUISIANA PAC CORP,541.39K,0.29%,0,NO CHANGE
453038408,IMO,IMPERIAL OIL LTD,361.18K,0.2%,0,NO CHANGE
521865204,LEA,LEAR CORP,352.88K,0.19%,0,NO CHANGE
559222401,MGA,MAGNA INTL INC,339.9K,0.18%,0,NO CHANGE
783513203,RYAAY,RYANAIR HOLDINGS PLC,251.55K,0.14%,0,NO CHANGE
59151K108,MEOH,METHANEX CORP,140.26K,0.08%,0,NO CHANGE
G61188101,LBTYA,LIBERTY GLOBAL LTD,138.12K,0.07%,0,NO CHANGE
225310101,CACC,CREDIT ACCEP CORP MICH,135.28K,0.07%,0,NO CHANGE
867975104,SNRE,SUNRISE COMMUNICATIONS AG,115.9K,0.06%,0,NO CHANGE
92852X103,VTS,VITESSE ENERGY INC,31.8K,0.02%,0,NO CHANGE
42806J148,HTZWW,HERTZ GLOBAL HLDGS INC,2.26K,<.01%,0,NO CHANGE
674599162,OXYWS,OCCIDENTAL PETE CORP,0,0%,-1.87M,CLOSE
Total,,,184.98M,100%,39.58M,+27.2%
