CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
60471A101,MIR,MIRION TECHNOLOGIES INC,3072003,44.54M,0,NO CHANGE,11.5%
92537N108,VRT,VERTIV HOLDINGS CO,612226,44.2M,0,NO CHANGE,11.4%
518613203,LAUR,LAUREATE EDUCATION INC,1916104,39.18M,0,NO CHANGE,10.1%
380237107,GDDY,GODADDY INC,184703,33.27M,0,NO CHANGE,8.6%
53263P105,LMB,LIMBACH HLDGS INC,312460,23.27M,0,NO CHANGE,6%
78462F103,SPY,SPDR S&P 500 ETF TR,38503,21.54M,0,NO CHANGE,5.5%
20459V105,CMPO,COMPOSECURE INC,1830781,19.9M,0,NO CHANGE,5.1%
00187Y100,APG,API GROUP CORP,503822,18.02M,0,NO CHANGE,4.6%
G0403H108,AON,AON PLC,40452,16.14M,0,NO CHANGE,4.2%
78473E103,SPXC,SPX TECHNOLOGIES INC,107274,13.81M,0,NO CHANGE,3.6%
46090E103,QQQ,INVESCO QQQ TR,25685,12.04M,0,NO CHANGE,3.1%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,20548,10.94M,0,NO CHANGE,2.8%
594918104,MSFT,MICROSOFT CORP,23492,8.82M,0,NO CHANGE,2.3%
02079K107,GOOG,ALPHABET INC,39509,6.11M,0,NO CHANGE,1.6%
76134H101,RHLD,RESOLUTE HLDGS MGMT INC,153505,4.81M,0,NO CHANGE,1.2%
464287648,IWO,ISHARES TR,16968,4.34M,0,NO CHANGE,1.1%
78409V104,SPGI,S&P GLOBAL INC,8344,4.24M,0,NO CHANGE,1.1%
171484108,CHDN,CHURCHILL DOWNS INC,31967,3.55M,0,NO CHANGE,0.91%
929089100,VOYA,VOYA FINANCIAL INC,41481,2.81M,0,NO CHANGE,0.72%
172406308,CNVS,CINEVERSE CORP,858411,2.71M,0,NO CHANGE,0.7%
03769M106,APO,APOLLO GLOBAL MGMT INC,16830,2.3M,0,NO CHANGE,0.59%
69120X206,OWLT,OWLET INC,577429,2.12M,0,NO CHANGE,0.55%
037833100,AAPL,APPLE INC,8986,2M,0,NO CHANGE,0.51%
464287481,IWP,ISHARES TR,16000,1.88M,0,NO CHANGE,0.48%
01626W101,ALIT,ALIGHT INC,262759,1.56M,0,NO CHANGE,0.4%
90041L105,TPB,TURNING PT BRANDS INC,24497,1.46M,0,NO CHANGE,0.37%
088929104,BGC,BGC GROUP INC,137724,1.26M,0,NO CHANGE,0.33%
46266C105,IQV,IQVIA HLDGS INC,7105,1.25M,0,NO CHANGE,0.32%
78463V107,GLD,SPDR GOLD TR,3641,1.05M,0,NO CHANGE,0.27%
73931J109,AIOT,POWERFLEET INC,183793,1.01M,0,NO CHANGE,0.26%
74275G107,PRTH,PRIORITY TECHNOLOGY HLDGS IN,143418,977.39K,0,NO CHANGE,0.25%
73933G202,PSIX,POWER SOLUTIONS INTL INC,36767,929.47K,0,NO CHANGE,0.24%
64110Y108,NLOP,NET LEASE OFFICE PROPERTIES,29314,919.87K,0,NO CHANGE,0.24%
617446448,MS,MORGAN STANLEY,7814,911.66K,0,NO CHANGE,0.23%
48251W104,KKR,KKR & CO INC,7832,905.46K,0,NO CHANGE,0.23%
254709108,DFS,DISCOVER FINL SVCS,4889,834.55K,0,NO CHANGE,0.21%
N00985106,AER,AERCAP HOLDINGS NV,7950,812.25K,0,NO CHANGE,0.21%
44891N208,IAC,IAC INC,17323,795.82K,0,NO CHANGE,0.2%
366505105,GTX,GARRETT MOTION INC,92521,774.4K,0,NO CHANGE,0.2%
03676B102,AM,ANTERO MIDSTREAM CORP,42000,756K,0,NO CHANGE,0.19%
60785L207,MODD,MODULAR MED INC,672029,732.51K,0,NO CHANGE,0.19%
724479100,PBI,PITNEY BOWES INC,80476,728.31K,0,NO CHANGE,0.19%
02074J501,ACOG,ALPHA COGNITION INC,140898,712.94K,0,NO CHANGE,0.18%
N97284108,NBIS,NEBIUS GROUP N.V.,33509,707.38K,0,NO CHANGE,0.18%
637215104,NPK,NATIONAL PRESTO INDS INC,8021,705.13K,0,NO CHANGE,0.18%
65345N106,NN,NEXTNAV INC,57777,703.15K,0,NO CHANGE,0.18%
12653C108,CNX,CNX RES CORP,21927,690.26K,0,NO CHANGE,0.18%
Q4982L109,IREN,IREN LIMITED,112604,685.76K,0,NO CHANGE,0.18%
47012E403,JAKK,JAKKS PAC INC,27526,679.07K,0,NO CHANGE,0.17%
077347300,BELFB,BEL FUSE INC,8932,668.65K,0,NO CHANGE,0.17%
464287606,IJK,ISHARES TR,7833,652.33K,0,NO CHANGE,0.17%
75513E101,RTX,RTX CORPORATION,4898,648.79K,0,NO CHANGE,0.17%
87422Q109,TLN,TALEN ENERGY CORP,3240,646.93K,0,NO CHANGE,0.17%
78467Y107,MDY,SPDR S&P MIDCAP 400 ETF TR,1196,638.04K,0,NO CHANGE,0.16%
285409108,ELMD,ELECTROMED INC,25569,610.08K,0,NO CHANGE,0.16%
G33033104,AACT,ARES ACQUISITION CORP II,51503,574.26K,0,NO CHANGE,0.15%
790148100,JOE,ST JOE CO,12000,563.4K,0,NO CHANGE,0.15%
82452J109,FOUR,SHIFT4 PMTS INC,6559,535.94K,0,NO CHANGE,0.14%
298736109,EEFT,EURONET WORLDWIDE INC,5000,534.25K,0,NO CHANGE,0.14%
683797104,OPY,OPPENHEIMER HLDGS INC,8943,533.27K,0,NO CHANGE,0.14%
G5S37H101,MRX,MAREX GROUP PLC,14932,527.4K,0,NO CHANGE,0.14%
55305B101,MHO,M/I HOMES INC,4597,524.88K,0,NO CHANGE,0.14%
75134P501,METCB,RAMACO RES IN,73495,522.55K,0,NO CHANGE,0.13%
06777U200,BNED,BARNES & NOBLE ED INC,49000,514.5K,0,NO CHANGE,0.13%
Y62267409,NMM,NAVIOS MARITIME PARTNERS L P,12959,508.25K,0,NO CHANGE,0.13%
456237106,ILPT,INDUSTRIAL LOGISTICS PPTYS T,140251,482.46K,0,NO CHANGE,0.12%
G4095J109,GLRE,GREENLIGHT CAPITAL RE LTD,35602,482.41K,0,NO CHANGE,0.12%
33833Q106,FPH,FIVE POINT HOLDINGS LLC,90021,480.71K,0,NO CHANGE,0.12%
G8726T105,TK,TEEKAY CORPORATION LTD,72738,477.89K,0,NO CHANGE,0.12%
344437405,FONR,FONAR CORP,32972,461.94K,0,NO CHANGE,0.12%
632347100,NATH,NATHANS FAMOUS INC NEW,4748,457.59K,0,NO CHANGE,0.12%
55825T103,MSGS,MADISON SQUARE GRDN SPRT COR,2321,451.94K,0,NO CHANGE,0.12%
G1991X109,BANL,CBL INTL LTD,17000,451.86K,0,NO CHANGE,0.12%
754198109,RAVE,RAVE RESTAURANT GROUP INC,163555,449.78K,0,NO CHANGE,0.12%
25787G100,DFIN,DONNELLEY FINL SOLUTIONS INC,9655,422.02K,0,NO CHANGE,0.11%
G25508105,CRH,CRH PLC,4785,420.94K,0,NO CHANGE,0.11%
205684202,CHCI,COMSTOCK HLDG COS INC,48046,414.16K,0,NO CHANGE,0.11%
Y1968P121,DAC,DANAOS CORPORATION,5000,390.15K,0,NO CHANGE,0.1%
