CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
922475108,VEEV,Veeva Sys Inc,23.14M,3.6%,23.14M,NEW
595112103,MU,Micron Technology Inc,37.12M,5.8%,16.03M,+76%
23804L103,DDOG,Datadog Inc,7.63M,1.2%,7.63M,NEW
G8232Y101,PENG,Penguin Solutions Inc,59.83M,9.3%,5.41M,+9.9%
M7S64H106,MNDY,Monday Com Ltd,10.82M,1.7%,4.34M,+67.1%
46571Y107,IIIV,I3 Verticals Inc,30.65M,4.8%,3.97M,+14.9%
09857L108,BKNG,Booking Holdings Inc,15.29M,2.4%,1.64M,+12.1%
94724R108,WEAV,Weave Communications Inc,78.27M,12.2%,0,NO CHANGE
58733R102,MELI,Mercadolibre Inc,53.2M,8.3%,-9.75K,-0%
47074L105,JAMF,Jamf Hldg Corp,14M,2.2%,-591.21K,-4.1%
512807306,LRCX,Lam Research Corp,50.3M,7.8%,-2.4M,-4.6%
30303M102,META,Meta Platforms Inc,37.5M,5.8%,-3.05M,-7.5%
852234103,XYZ,BLOCK INC,0,0%,-6.28M,CLOSE
67059N108,NTNX,Nutanix Inc,70.07M,10.9%,-6.48M,-8.5%
26603R106,DUOL,Duolingo Inc,28.12M,4.4%,-8.23M,-22.6%
25809K105,DASH,Doordash Inc,40.76M,6.3%,-8.59M,-17.4%
697435105,PANW,Palo Alto Networks Inc,23.65M,3.7%,-11.89M,-33.4%
298736109,EEFT,EURONET WORLDWIDE INC,0,0%,-13.34M,CLOSE
03783C100,APPF,APPFOLIO INC - A,0,0%,-15.18M,CLOSE
M2197Q107,CLBT,Cellebrite Di Ltd,43.31M,6.7%,-15.41M,-26.2%
22788C105,CRWD,Crowdstrike Hldgs Inc,19.32M,3%,-15.41M,-44.4%
Total,,,643M,100%,-75.95M,-10.6%
