CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
931142103,WMT,Walmart Inc,404749,35.53M,35.53M,NEW,4.9%
893641100,TDG,TransDigm Group Inc,27799,38.45M,8.4M,+27.9%,5.3%
023135106,AMZN,Amazon.com Inc,512032,97.42M,0,NO CHANGE,13.5%
594918104,MSFT,Microsoft Corp,249049,93.49M,0,NO CHANGE,13%
303250104,FICO,Fair Isaac Corp,38930,71.79M,0,NO CHANGE,10%
78409V104,SPGI,S&P Global Inc,105613,53.66M,0,NO CHANGE,7.5%
30303M102,META,Meta Platforms Inc,90327,52.06M,0,NO CHANGE,7.2%
67066G104,NVDA,NVIDIA Corp,474794,51.46M,0,NO CHANGE,7.2%
57636Q104,MA,Mastercard Inc,93518,51.26M,0,NO CHANGE,7.1%
127387108,CDNS,Cadence Design Systems Inc,178916,45.5M,0,NO CHANGE,6.3%
037833100,AAPL,Apple Inc,148297,32.94M,0,NO CHANGE,4.6%
902252105,TYL,Tyler Technologies Inc,53589,31.16M,0,NO CHANGE,4.3%
11135F101,AVGO,Broadcom Inc,169111,28.31M,0,NO CHANGE,3.9%
169656105,CMG,Chipotle Mexican Grill Inc,490750,24.64M,0,NO CHANGE,3.4%
N07059210,ASML,ASML Holding NV,17371,11.51M,0,NO CHANGE,1.6%
Total,,,,719.2M,-24.28M,-3.3%,100%
