CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
192446102,CTSH,COGNIZANT TECHNOLOGY SOLUTIO,217638,16.65M,5.29M,+46.5%,8.9%
45104G104,IBN,ICICI BANK LIMITED,1176842,37.09M,1.58M,+4.4%,19.9%
L44385109,GLOB,GLOBANT S A,31654,3.73M,1.38M,+58.6%,2%
87652V109,TASK,TASKUS INC,750146,10.22M,952.74K,+10.3%,5.5%
46120E602,ISRG,INTUITIVE SURGICAL INC,2400,1.19M,742.9K,+166.7%,0.64%
266605500,DRRX,DURECT CORP,512312,410.87K,214.38K,+109.1%,0.22%
67066G104,NVDA,NVIDIA CORPORATION,217050,23.52M,0,NO CHANGE,12.6%
40415F101,HDB,HDFC BANK LTD,81700,5.43M,0,NO CHANGE,2.9%
040413205,ANET,ARISTA NETWORKS INC,41200,3.19M,0,NO CHANGE,1.7%
256135203,RDY,DR REDDYS LABS LTD,205900,2.72M,0,NO CHANGE,1.5%
294375209,EPSN,EPSILON ENERGY LTD,250000,1.76M,0,NO CHANGE,0.95%
674215207,CHRD,CHORD ENERGY CORPORATION,13280,1.5M,0,NO CHANGE,0.8%
49177J102,KVUE,KENVUE INC,15000,359.7K,0,NO CHANGE,0.19%
03212B103,AMPY,AMPLIFY ENERGY CORP NEW,89410,334.39K,0,NO CHANGE,0.18%
165167180,EXEEL,EXPAND ENERGY CORPORATION,3302,332.31K,0,NO CHANGE,0.18%
G98196101,WNS,WNS HLDGS LTD,520902,32.03M,-18.45K,-0.1%,17.2%
880890108,TX,TERNIUM SA,23584,734.88K,-127.75K,-14.8%,0.39%
02390A101,AMX,AMERICA MOVIL SAB DE CV,98200,1.4M,-177.75K,-11.3%,0.75%
G3922B107,G,GENPACT LIMITED,297180,14.97M,-191.44K,-1.3%,8%
358054104,FRSH,FRESHWORKS INC,120292,1.7M,-359.8K,-17.5%,0.91%
302081104,EXLS,EXLSERVICE HOLDINGS INC,0,0,-769.33K,CLOSE,0%
16411R208,LNG,CHENIERE ENERGY INC,11942,2.76M,-833.04K,-23.2%,1.5%
682189105,ON,ON SEMICONDUCTOR CORP,0,0,-901.62K,CLOSE,0%
670100205,NVO,NOVO-NORDISK A S,0,0,-972.03K,CLOSE,0%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,248883,24.39M,-1.77M,-6.8%,13.1%
594918104,MSFT,MICROSOFT CORP,0,0,-2.28M,CLOSE,0%
456788108,INFY,INFOSYS LTD,0,0,-4.11M,CLOSE,0%
Total,,,,186.42M,-6.23M,-3.2%,100%
