CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
773122106,RKLB,ROCKET LAB USA INC,1.22M,0.95%,330.78K,+37.2%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,1.64M,1.3%,170.43K,+11.6%
47103U845,JAAA,JANUS DETROIT STR TR,1.26M,0.98%,157.2K,+14.3%
30303M102,META,META PLATFORMS INC,1.06M,0.83%,128.53K,+13.7%
458140100,INTC,INTEL CORP,126.7K,0.1%,126.7K,NEW
464287168,DVY,ISHARES TR,2.27M,1.8%,104.48K,+4.8%
46429B655,FLOT,ISHARES TR,3.8M,2.9%,77.55K,+2.1%
166764100,CVX,CHEVRON CORP NEW,1.42M,1.1%,53.53K,+3.9%
097023105,BA,BOEING CO,699.77K,0.54%,51.68K,+8%
57636Q104,MA,MASTERCARD INCORPORATED,1.55M,1.2%,27.41K,+1.8%
N07059210,ASML,ASML HOLDING N V,1.04M,0.81%,26.51K,+2.6%
36828A101,GEV,GE VERNOVA INC,378.85K,0.29%,25.95K,+7.4%
931142103,WMT,WALMART INC,510.13K,0.4%,24.14K,+5%
22160K105,COST,COSTCO WHSL CORP NEW,650.7K,0.5%,21.75K,+3.5%
539830109,LMT,LOCKHEED MARTIN CORP,311.8K,0.24%,19.21K,+6.6%
595112103,MU,MICRON TECHNOLOGY INC,843.33K,0.65%,16.51K,+2%
464288760,ITA,ISHARES TR,255.03K,0.2%,7.66K,+3.1%
92826C839,V,VISA INC,512.02K,0.4%,7.01K,+1.4%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,814.25K,0.63%,5.71K,+0.7%
G54950103,LIN,LINDE PLC,473.56K,0.37%,5.12K,+1.1%
464287507,IJH,ISHARES TR,1.78M,1.4%,2.39K,+0.1%
375558103,GILD,GILEAD SCIENCES INC,496.73K,0.39%,1.46K,+0.3%
254687106,DIS,DISNEY WALT CO,239.94K,0.19%,1.38K,+0.6%
369604301,GE,GE AEROSPACE,311.04K,0.24%,600,+0.2%
46434V407,SHYG,ISHARES TR,885.18K,0.69%,85,+0%
26923G822,PFFA,ETFIS SER TR I,466.68K,0.36%,42,+0%
46625H100,JPM,JPMORGAN CHASE & CO.,1.2M,0.93%,0,NO CHANGE
00287Y109,ABBV,ABBVIE INC,1.01M,0.78%,0,NO CHANGE
46429B267,GOVT,ISHARES TR,595.98K,0.46%,0,NO CHANGE
91324P102,UNH,UNITEDHEALTH GROUP INC,552.03K,0.43%,0,NO CHANGE
922908637,VV,VANGUARD INDEX FDS,545.16K,0.42%,0,NO CHANGE
580135101,MCD,MCDONALDS CORP,443.56K,0.34%,0,NO CHANGE
191216100,KO,COCA COLA CO,363.9K,0.28%,0,NO CHANGE
46435G516,ESGD,ISHARES TR,345.79K,0.27%,0,NO CHANGE
362397101,GAB,GABELLI EQUITY TR INC,341.62K,0.26%,0,NO CHANGE
78463V107,GLD,SPDR GOLD TR,331.07K,0.26%,0,NO CHANGE
81369Y209,XLV,SELECT SECTOR SPDR TR,324.32K,0.25%,0,NO CHANGE
883556102,TMO,THERMO FISHER SCIENTIFIC INC,318.46K,0.25%,0,NO CHANGE
911363109,URI,UNITED RENTALS INC,282.01K,0.22%,0,NO CHANGE
026874784,AIG,AMERICAN INTL GROUP INC,281.08K,0.22%,0,NO CHANGE
92204A603,VIS,VANGUARD WORLD FD,279.74K,0.22%,0,NO CHANGE
617446448,MS,MORGAN STANLEY,279.54K,0.22%,0,NO CHANGE
68389X105,ORCL,ORACLE CORP,265.64K,0.21%,0,NO CHANGE
30231G102,XOM,EXXON MOBIL CORP,256.29K,0.2%,0,NO CHANGE
872540109,TJX,TJX COS INC NEW,244.21K,0.19%,0,NO CHANGE
03769M106,APO,APOLLO GLOBAL MGMT INC,232.8K,0.18%,0,NO CHANGE
666807102,NOC,NORTHROP GRUMMAN CORP,220.16K,0.17%,0,NO CHANGE
922908629,VO,VANGUARD INDEX FDS,214.14K,0.17%,0,NO CHANGE
46434G103,IEMG,ISHARES INC,1.01M,0.79%,-3.18K,-0.3%
78590A109,SACH,SACHEM CAP CORP,48.72K,0.04%,-3.36K,-6.5%
