CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
852234103,XYZ,BLOCK INC,9.68M,2.1%,6.53M,+207.3%
24703L202,DELL,DELL TECHNOLOGIES INC,9.27M,2%,5.89M,+174.2%
88160R101,TSLA,TESLA INC,3.11M,0.67%,3.11M,NEW
573874104,MRVL,MARVELL TECHNOLOGY INC,5.88M,1.3%,2.46M,+72%
002896207,ANF,ABERCROMBIE & FITCH CO,2.34M,0.5%,2.34M,NEW
69913P105,FNA,PARAGON 28 INC,1.99M,0.43%,1.99M,NEW
G29183103,ETN,EATON CORP PLC,2.75M,0.59%,1.63M,+146.3%
143658300,CCL,CARNIVAL CORP,16.04M,3.4%,1.42M,+9.7%
G66721104,NCLH,NORWEGIAN CRUISE LINE HLDG L,1.29M,0.28%,1.29M,NEW
46625H100,JPM,JPMORGAN CHASE & CO.,1.7M,0.37%,1.23M,+259.7%
247361702,DAL,DELTA AIR LINES INC DEL,1.2M,0.26%,1.2M,NEW
984245100,YPF,YPF SOCIEDAD ANONIMA,1.66M,0.36%,1.19M,+251.9%
02079K305,GOOGL,ALPHABET INC,32.58M,7%,1.13M,+3.6%
172967424,C,CITIGROUP INC,1.07M,0.23%,1.07M,NEW
46429B697,USMV,ISHARES TR,1.01M,0.22%,1.01M,NEW
931142103,WMT,WALMART INC,10.41M,2.2%,986.76K,+10.5%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,4.19M,0.9%,753.15K,+21.9%
682189105,ON,ON SEMICONDUCTOR CORP,4.84M,1%,745.32K,+18.2%
863667101,SYK,STRYKER CORPORATION,740.78K,0.16%,740.78K,NEW
67576A100,OCUL,OCULAR THERAPEUTIX INC,19.91M,4.3%,733K,+3.8%
37954Y871,URA,GLOBAL X FDS,2.08M,0.45%,687.6K,+49.4%
101137107,BSX,BOSTON SCIENTIFIC CORP,655.72K,0.14%,655.72K,NEW
30303M102,META,META PLATFORMS INC,15.27M,3.3%,640.91K,+4.4%
464287515,IGV,ISHARES TR,2.29M,0.49%,640.73K,+38.9%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,6.65M,1.4%,630.8K,+10.5%
38141G104,GS,GOLDMAN SACHS GROUP INC,546.29K,0.12%,546.29K,NEW
G1827K107,CEPO,Cantor Equity Partners I Inc,512.25K,0.11%,512.25K,NEW
G3415K127,FERAU,Fifth Era Acquisition Corp I U,503.5K,0.11%,503.5K,NEW
G6301B101,MLAC,Mountain Lake Acquisition Corp,502.5K,0.11%,502.5K,NEW
G7375C108,RANG,Range Cap Acquisition Corp,502.5K,0.11%,502.5K,NEW
Y2573F102,FLEX,FLEX LTD,5.43M,1.2%,496.2K,+10.1%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,1.95M,0.42%,491.97K,+33.8%
466313103,JBL,JABIL INC,489.85K,0.11%,489.85K,NEW
701094104,PH,PARKER-HANNIFIN CORP,1.6M,0.34%,474.12K,+42.2%
058934100,BBAR,BANCO BBVA ARGENTINA S A,1.54M,0.33%,463.87K,+43.1%
09857L108,BKNG,BOOKING HOLDINGS INC,3.89M,0.84%,460.69K,+13.4%
G3643J108,FLUT,FLUTTER ENTMT PLC,443.1K,0.1%,443.1K,NEW
008064107,AVTE,AEROVATE THERAPEUTICS INC,908.13K,0.2%,420.88K,+86.4%
G4992A110,JACS,Jackson Acquisition Co II Com,402.4K,0.09%,402.4K,NEW
84265V105,SCCO,SOUTHERN COPPER CORP,347.76K,0.07%,347.76K,NEW
453204109,PI,IMPINJ INC,335.59K,0.07%,335.59K,NEW
82706C108,SIMO,SILICON MOTION TECHNOLOGY CO,682.56K,0.15%,300.83K,+78.8%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,261.79K,0.06%,261.79K,NEW
697660207,PAMP,PAMPA ENERGIA S A,231.6K,0.05%,231.6K,NEW
500767306,KWEB,KRANESHARES TRUST,209.46K,0.05%,209.46K,NEW
68404V209,OPTN,OPTINOSE INC,206.32K,0.04%,206.32K,NEW
47215P106,JD,JD.COM INC,205.6K,0.04%,205.6K,NEW
92837L109,VIST,VISTA ENERGY S.A.B. DE C.V.,6.4M,1.4%,181.58K,+2.9%
15234Q207,ELET6,CENTRAIS ELETRICAS BRASILEIR,1.03M,0.22%,177.5K,+20.7%
399909100,GGAL,GRUPO FINANCIERO GALICIA S.A,370.94K,0.08%,142.17K,+62.1%
45104G104,IBN,ICICI BANK LIMITED,1.12M,0.24%,126.08K,+12.7%
92189F817,VNM,VANECK ETF TRUST,1.07M,0.23%,124.8K,+13.2%
89677Q107,TRIP,TRIP COM GROUP LTD,413.27K,0.09%,114.44K,+38.3%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,475.65K,0.1%,113.25K,+31.2%
594918104,MSFT,MICROSOFT CORP,25.84M,5.6%,108.49K,+0.4%
465562106,ITUB4,ITAU UNIBANCO HLDG S A,735.08K,0.16%,99.83K,+15.7%
40415F101,HDB,HDFC BANK LTD,1.77M,0.38%,99.66K,+6%
22266T109,CPNG,COUPANG INC,339.92K,0.07%,87.72K,+34.8%
641255880,NURO,NEUROMETRIX INC,80.98K,0.02%,80.98K,NEW
81684M104,SMLR,SEMLER SCIENTIFIC INC,1.72M,0.37%,72.4K,+4.4%
48241A105,KB,KB FINL GROUP INC,946.92K,0.2%,64.93K,+7.4%
01671P100,ALLK,ALLAKOS INC,58.52K,0.01%,58.52K,NEW
30233G209,EYPT,EYEPOINT PHARMACEUTICALS INC,164.23K,0.04%,54.2K,+49.3%
456788108,INFY,INFOSYS LTD,1.05M,0.23%,45.62K,+4.5%
01609W102,BABA,ALIBABA GROUP HLDG LTD,571.89K,0.12%,33.06K,+6.1%
G38327105,GPRK,GEOPARK LTD,723.16K,0.16%,32.32K,+4.7%
G2519Y108,BAP,CREDICORP LTD,446.78K,0.1%,18.62K,+4.3%
