CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,1000000,166M,91.3M,+122.2%,5.4%
M7S64H106,MNDY,MONDAY COM LTD,375000,91.19M,91.19M,NEW,2.9%
67059N108,NTNX,NUTANIX INC,900000,62.83M,62.83M,NEW,2%
G8068L108,SN,SHARKNINJA INC,850000,70.9M,57.18M,+416.7%,2.3%
03831W108,APP,APPLOVIN CORP,180000,47.69M,47.69M,NEW,1.5%
122017106,BURL,BURLINGTON STORES INC,700000,166.83M,44.09M,+35.9%,5.4%
052769106,ADSK,AUTODESK INC,425000,111.27M,32.73M,+41.7%,3.6%
72703H101,PLNT,PLANET FITNESS INC,2300000,222.2M,28.98M,+15%,7.2%
437076102,HD,HOME DEPOT INC,400000,146.6M,27.49M,+23.1%,4.7%
81141R100,SE,SEA LTD,1500000,195.74M,9.79M,+5.3%,6.3%
11135F101,AVGO,BROADCOM INC,455000,76.18M,9.21M,+13.8%,2.5%
M98068105,WIX,WIX COM LTD,1450000,236.9M,4.08M,+1.8%,7.6%
051774107,AUR,AURORA INNOVATION INC,500000,3.36M,3.36M,NEW,0.11%
00751Y106,AAP,ADVANCE AUTO PARTS INC,600000,23.53M,588.15K,+2.6%,0.76%
531229755,FWONK,LIBERTY MEDIA CORP DEL,1100000,99.01M,0,NO CHANGE,3.2%
268150109,DT,DYNATRACE INC,2150000,101.37M,-4.71M,-4.4%,3.3%
22266T109,CPNG,COUPANG INC,7000000,153.51M,-5.48M,-3.4%,5%
30303M102,META,META PLATFORMS INC,275000,158.5M,-5.76M,-3.5%,5.1%
G3643J108,FLUT,FLUTTER ENTMT PLC,450000,99.7M,-16.62M,-14.3%,3.2%
98954M200,Z,ZILLOW GROUP INC,3050000,209.11M,-20.57M,-9%,6.7%
594918104,MSFT,MICROSOFT CORP,435000,163.29M,-22.52M,-12.1%,5.3%
023135106,AMZN,AMAZON COM INC,1600000,304.42M,-33.3M,-9.9%,9.8%
912008109,USFD,US FOODS HLDG CORP,2875000,188.2M,-40.91M,-17.9%,6.1%
032095101,APH,AMPHENOL CORP NEW,0,0,-90.28M,CLOSE,0%
76131D103,QSR,RESTAURANT BRANDS INTL INC,0,0,-110.81M,CLOSE,0%
443573100,HUBS,HUBSPOT INC,0,0,-111.48M,CLOSE,0%
Total,,,,3.1B,-224.47M,-6.8%,100%
