CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
26142V105,DKNG,DRAFTKINGS INC NEW,171.96M,2.9%,113.71M,+195.2%
060505104,BAC,BANK AMERICA CORP,112.63M,1.9%,112.63M,NEW
45780R101,IBP,INSTALLED BLDG PRODS INC,109.11M,1.8%,109.11M,NEW
29977A105,EVR,EVERCORE INC,106.73M,1.8%,106.73M,NEW
526057104,LEN,LENNAR CORP,181.52M,3%,102.87M,+130.8%
741623102,PRMB,PRIMO BRANDS CORPORATION,249.11M,4.2%,81.09M,+48.3%
98139A105,WK,WORKIVA INC,64.9M,1.1%,64.9M,NEW
007903107,AMD,ADVANCED MICRO DEVICES INC,160.97M,2.7%,55.38M,+52.5%
M6191J100,FROG,JFROG LTD,43.27M,0.7%,43.27M,NEW
04956D107,ATMU,ATMUS FILTRATION TECHNOLOGIE,211.46M,3.5%,42.77M,+25.4%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,146.82M,2.5%,40.93M,+38.7%
G3643J108,FLUT,FLUTTER ENTMT PLC,34.35M,0.6%,34.35M,NEW
268150109,DT,DYNATRACE INC,158.03M,2.6%,32.22M,+25.6%
023135106,AMZN,AMAZON COM INC,208.12M,3.5%,31.02M,+17.5%
546347105,LPX,LOUISIANA PAC CORP,154.15M,2.6%,21.23M,+16%
75700L108,RRR,RED ROCK RESORTS INC,107.48M,1.8%,18.29M,+20.5%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,129.65M,2.2%,16.96M,+15.1%
37637K108,GTLB,GITLAB INC,117.42M,2%,14.06M,+13.6%
40415F101,HDB,HDFC BANK LTD,78.83M,1.3%,12.56M,+18.9%
580589109,MGRC,MCGRATH RENTCORP,93.58M,1.6%,10M,+12%
G0250X107,AMCR,AMCOR PLC,34.15M,0.6%,6.25M,+22.4%
72352L106,PINS,PINTEREST INC,179.29M,3%,4.11M,+2.3%
036752103,ELV,ELEVANCE HEALTH INC,243M,4.1%,1.36M,+0.6%
531229755,FWONK,LIBERTY MEDIA CORP DEL,180.07M,3%,1.23M,+0.7%
743315103,PGR,PROGRESSIVE CORP,32.85M,0.5%,177.45K,+0.5%
358054104,FRSH,FRESHWORKS INC,74.22M,1.2%,-827.57K,-1.1%
00768Y453,MSOS,ADVISORSHARES TR,3.87M,0.1%,-1.53M,-28.3%
125269100,CF,CF INDS HLDGS INC,178.31M,3%,-1.83M,-1%
79466L302,CRM,SALESFORCE INC,98.53M,1.6%,-2.3M,-2.3%
31488V107,FERG,FERGUSON ENTERPRISES INC,117.65M,2%,-7M,-5.6%
679295105,OKTA,OKTA INC,261.4M,4.4%,-8.48M,-3.1%
043436104,ABG,ASBURY AUTOMOTIVE GROUP INC,162.68M,2.7%,-11.3M,-6.5%
50212V100,LPLA,LPL FINL HLDGS INC,171.13M,2.9%,-11.62M,-6.4%
983134107,WYNN,WYNN RESORTS LTD,0,0%,-13.55M,CLOSE
81730H109,S,SENTINELONE INC,102.91M,1.7%,-15.88M,-13.4%
14040H105,COF,CAPITAL ONE FINL CORP,143.75M,2.4%,-16.05M,-10%
238337109,PLAY,DAVE & BUSTERS ENTMT INC,51.05M,0.9%,-16.52M,-24.4%
08579W103,BERY,BERRY GLOBAL GROUP INC,128.25M,2.1%,-19.1M,-13%
83001C108,FUN,SIX FLAGS ENTERTAINMENT CORP,22.95M,0.4%,-25.34M,-52.5%
159864107,CRL,CHARLES RIV LABS INTL INC,65.54M,1.1%,-28.9M,-30.6%
98954M200,Z,ZILLOW GROUP INC,166.75M,2.8%,-33.1M,-16.6%
023586506,UHALB,U HAUL HOLDING COMPANY,0,0%,-35.15M,CLOSE
13462K109,CWH,CAMPING WORLD HLDGS INC,29.92M,0.5%,-36.5M,-55%
71377A103,PFGC,PERFORMANCE FOOD GROUP CO,165.83M,2.8%,-36.99M,-18.2%
585464100,MLCO,MELCO RESORTS AND ENTMNT LTD,0,0%,-44.79M,CLOSE
36262G101,GXO,GXO LOGISTICS INCORPORATED,0,0%,-50.52M,CLOSE
90353T100,UBER,UBER TECHNOLOGIES INC,114.29M,1.9%,-51.04M,-30.9%
01609W102,BABA,ALIBABA GROUP HLDG LTD,166.8M,2.8%,-63.47M,-27.6%
388689101,GPK,GRAPHIC PACKAGING HLDG CO,85.42M,1.4%,-65.79M,-43.5%
133131102,CPT,CAMDEN PPTY TR,32.99M,0.6%,-66.79M,-66.9%
G81276100,SIG,SIGNET JEWELERS LIMITED,0,0%,-67.71M,CLOSE
501889208,LKQ,LKQ CORP,0,0%,-68.94M,CLOSE
552953101,MGM,MGM RESORTS INTERNATIONAL,0,0%,-72.41M,CLOSE
00751Y106,AAP,ADVANCE AUTO PARTS INC,0,0%,-87.21M,CLOSE
G8060N102,ST,SENSATA TECHNOLOGIES HLDG PL,0,0%,-118.33M,CLOSE
22052L104,CTVA,CORTEVA INC,0,0%,-134.71M,CLOSE
81141R100,SE,SEA LTD,330.95M,5.5%,-197.54M,-37.4%
044186104,ASH,ASHLAND INC,0,0%,-204.41M,CLOSE
Total,,,5.98B,100%,-552.6M,-8.5%
