CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
81141R100,SE,Sea Limited Sponsored ADR Class A,337.34M,1.9%,199.43M,+144.6%
87422Q109,TLN,Talen Energy Corp,297.94M,1.7%,107.3M,+56.3%
770700102,HOOD,"Robinhood Markets, Inc. Class A",153.2M,0.87%,95.17M,+164%
03831W108,APP,AppLovin Corp. Class A,750.87M,4.3%,80.3M,+12%
00287Y109,ABBV,"AbbVie, Inc.",88.74M,0.51%,70.8M,+394.5%
92840M102,VST,Vistra Corp.,114.31M,0.65%,57.87M,+102.5%
87256C101,TKO,"TKO Group Holdings, Inc. Class A",46.65M,0.27%,46.65M,NEW
92537N108,VRT,Vertiv Holdings Co. Class A,252.42M,1.4%,41.34M,+19.6%
19247G107,COHR,Coherent Corp.,39.45M,0.22%,39.45M,NEW
595112103,MU,"Micron Technology, Inc.",30.64M,0.17%,30.64M,NEW
14149Y108,CAH,"Cardinal Health, Inc.",36.82M,0.21%,30.38M,+471.7%
629377508,NRG,"NRG Energy, Inc.",107.35M,0.61%,30.17M,+39.1%
G3730V105,FTAI,FTAI Aviation Ltd.,60.71M,0.35%,27.89M,+85%
833445109,SNOW,"Snowflake, Inc. Class A",35.23M,0.2%,26.7M,+312.8%
532457108,LLY,Eli Lilly and Company,167.68M,0.96%,25.42M,+17.9%
64110L106,NFLX,"Netflix, Inc.",451.73M,2.6%,24.97M,+5.9%
294429105,EFX,Equifax Inc.,44.02M,0.25%,24.38M,+124.1%
58155Q103,MCK,McKesson Corporation,25.63M,0.15%,23.55M,+1131.7%
303250104,FICO,Fair Isaac Corporation,30.54M,0.17%,22.18M,+265.3%
73642K106,PTLO,"Portillo's, Inc. Class A",17.49M,0.1%,17.49M,NEW
21874A106,CORZ,Core Scientific Inc,46.87M,0.27%,14.91M,+46.7%
002824100,ABT,Abbott Laboratories,18.5M,0.11%,14.42M,+353.6%
859241101,STRL,"Sterling Infrastructure, Inc.",12.88M,0.07%,12.88M,NEW
40131M109,GH,"Guardant Health, Inc.",19.49M,0.11%,12.87M,+194.3%
918284100,VSEC,VSE Corporation,43.39M,0.25%,12.44M,+40.2%
122017106,BURL,"Burlington Stores, Inc.",40.89M,0.23%,11.22M,+37.8%
04626A103,ALAB,"Astera Labs, Inc.",93.09M,0.53%,10.72M,+13%
72703H101,PLNT,"Planet Fitness, Inc. Class A",52.77M,0.3%,10.44M,+24.7%
00973Y108,AKRO,"Akero Therapeutics, Inc.",20.86M,0.12%,10.2M,+95.7%
573284106,MLM,"Martin Marietta Materials, Inc.",52.84M,0.3%,10.16M,+23.8%
759916109,RGEN,Repligen Corporation,55.61M,0.32%,9.86M,+21.6%
22160K105,COST,Costco Wholesale Corporation,9.58M,0.05%,9.58M,NEW
98139A105,WK,Workiva Inc. Class A,8.49M,0.05%,8.49M,NEW
040413205,ANET,"Arista Networks, Inc.",11.34M,0.06%,8.09M,+248.6%
