CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,34380,34380,7.06M,7.06M,NEW,0.55%
G1890L107,CPRI,CAPRI HOLDINGS LIMITED,343900,343900,6.79M,6.79M,NEW,0.53%
037833100,AAPL,APPLE INC,209293,23646,46.49M,5.25M,+12.7%,3.6%
032095101,APH,AMPHENOL CORP NEW,97828,75125,6.42M,4.93M,+330.9%,0.5%
084670702,BRKB,BERKSHIRE HATHAWAY INC DEL,12840,8793,6.84M,4.68M,+217.3%,0.53%
742718109,PG,PROCTER AND GAMBLE CO,117296,25811,19.99M,4.4M,+28.2%,1.6%
874080104,TAL,TAL EDUCATION GROUP,312000,312000,4.12M,4.12M,NEW,0.32%
594918104,MSFT,MICROSOFT CORP,195364,10717,73.34M,4.02M,+5.8%,5.7%
65339F101,NEE,NEXTERA ENERGY INC,55828,55828,3.96M,3.96M,NEW,0.31%
67066G104,NVDA,NVIDIA CORPORATION,497391,32518,53.91M,3.52M,+7%,4.2%
743315103,PGR,PROGRESSIVE CORP,32349,11720,9.16M,3.32M,+56.8%,0.71%
92826C839,V,VISA INC,92658,8987,32.47M,3.15M,+10.7%,2.5%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,19326,10123,5.9M,3.09M,+110%,0.46%
55354G100,MSCI,MSCI INC,5299,5299,3M,3M,NEW,0.23%
57636Q104,MA,MASTERCARD INCORPORATED,30297,5464,16.61M,2.99M,+22%,1.3%
697435105,PANW,PALO ALTO NETWORKS INC,16911,16911,2.89M,2.89M,NEW,0.22%
842587107,SO,SOUTHERN CO,27006,27006,2.48M,2.48M,NEW,0.19%
48553T106,BZ,KANZHUN LIMITED,125000,125000,2.4M,2.4M,NEW,0.19%
297178105,ESS,ESSEX PPTY TR INC,7624,7624,2.34M,2.34M,NEW,0.18%
863667101,SYK,STRYKER CORPORATION,16008,6108,5.96M,2.27M,+61.7%,0.46%
191216100,KO,COCA COLA CO,90392,30155,6.47M,2.16M,+50.1%,0.5%
26441C204,DUK,DUKE ENERGY CORP NEW,15349,15349,1.87M,1.87M,NEW,0.15%
031100100,AME,AMETEK INC,32722,10849,5.63M,1.87M,+49.6%,0.44%
512807306,LRCX,LAM RESEARCH CORP,106695,25664,7.76M,1.87M,+31.7%,0.6%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,12320,3695,6.13M,1.84M,+42.8%,0.48%
30303M102,META,META PLATFORMS INC,71158,3123,41.01M,1.8M,+4.6%,3.2%
855244109,SBUX,STARBUCKS CORP,18308,18308,1.8M,1.8M,NEW,0.14%
023135106,AMZN,AMAZON COM INC,227643,9438,43.31M,1.8M,+4.3%,3.4%
038222105,AMAT,APPLIED MATLS INC,52607,12253,7.63M,1.78M,+30.4%,0.59%
882508104,TXN,TEXAS INSTRS INC,23751,9752,4.27M,1.75M,+69.7%,0.33%
81762P102,NOW,SERVICENOW INC,11647,2149,9.27M,1.71M,+22.6%,0.72%
95040Q104,WELL,WELLTOWER INC,11136,11136,1.71M,1.71M,NEW,0.13%
92276F100,VTR,VENTAS INC,24450,24450,1.68M,1.68M,NEW,0.13%
268150109,DT,DYNATRACE INC,34989,34989,1.65M,1.65M,NEW,0.13%
744573106,PEG,PUBLIC SVC ENTERPRISE GRP IN,19458,19458,1.6M,1.6M,NEW,0.12%
532457108,LLY,ELI LILLY & CO,35394,1904,29.23M,1.57M,+5.7%,2.3%
12503M108,CBOE,CBOE GLOBAL MKTS INC,6810,6810,1.54M,1.54M,NEW,0.12%
G98196101,WNS,WNS HLDGS LTD,25000,25000,1.54M,1.54M,NEW,0.12%
816851109,SRE,SEMPRA,20143,20143,1.44M,1.44M,NEW,0.11%
806857108,SLB,SCHLUMBERGER LTD,33025,33025,1.38M,1.38M,NEW,0.11%
892672106,TW,TRADEWEB MKTS INC,8895,8895,1.32M,1.32M,NEW,0.1%
025816109,AXP,AMERICAN EXPRESS CO,4862,4862,1.31M,1.31M,NEW,0.1%
941848103,WAT,WATERS CORP,3479,3479,1.28M,1.28M,NEW,0.1%
194162103,CL,COLGATE PALMOLIVE CO,13673,13673,1.28M,1.28M,NEW,0.1%
174610105,CFG,CITIZENS FINL GROUP INC,31261,31261,1.28M,1.28M,NEW,0.1%
171340102,CHD,CHURCH & DWIGHT CO INC,11348,11348,1.25M,1.25M,NEW,0.1%
631103108,NDAQ,NASDAQ INC,84044,16069,6.38M,1.22M,+23.6%,0.49%
00724F101,ADBE,ADOBE INC,20585,3168,7.89M,1.22M,+18.2%,0.61%
22160K105,COST,COSTCO WHSL CORP NEW,16744,1086,15.84M,1.03M,+6.9%,1.2%
437076102,HD,HOME DEPOT INC,16342,2698,5.99M,988.79K,+19.8%,0.46%
G7500M104,RNW,RENEW ENERGY GLOBAL PLC,160000,160000,942.4K,942.4K,NEW,0.07%
34959E109,FTNT,FORTINET INC,38387,9323,3.7M,897.43K,+32.1%,0.29%
620076307,MSI,MOTOROLA SOLUTIONS INC,9693,1977,4.24M,865.55K,+25.6%,0.33%
58933Y105,MRK,MERCK & CO INC,125887,8349,11.3M,749.41K,+7.1%,0.88%
P73684113,OSW,ONESPAWORLD HOLDINGS LIMITED,583000,42500,9.79M,713.58K,+7.9%,0.76%
573284106,MLM,MARTIN MARIETTA MATLS INC,1476,1476,705.72K,705.72K,NEW,0.05%
363576109,AJG,GALLAGHER ARTHUR J & CO,13994,2001,4.83M,690.83K,+16.7%,0.37%
101137107,BSX,BOSTON SCIENTIFIC CORP,27776,6747,2.8M,680.64K,+32.1%,0.22%
92345Y106,VRSK,VERISK ANALYTICS INC,18832,2263,5.6M,673.51K,+13.7%,0.43%
G3265R107,APTV,APTIV PLC,11238,11238,668.66K,668.66K,NEW,0.05%
713448108,PEP,PEPSICO INC,11413,4383,1.71M,657.19K,+62.3%,0.13%
89677Q107,TCOM,TRIP COM GROUP LTD,52495,10329,3.34M,656.72K,+24.5%,0.26%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,5033,1183,2.77M,650.69K,+30.7%,0.21%
760759100,RSG,REPUBLIC SVCS INC,14742,2669,3.57M,646.33K,+22.1%,0.28%
366651107,IT,GARTNER INC,6592,1535,2.77M,644.3K,+30.4%,0.21%
46429B598,INDA,ISHARES TR,32910,12130,1.69M,624.45K,+58.4%,0.13%
02079K107,GOOG,ALPHABET INC,24336,3945,3.8M,616.33K,+19.3%,0.29%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,6033,1709,2.13M,602.56K,+39.5%,0.16%
78409V104,SPGI,S&P GLOBAL INC,6162,1074,3.13M,545.7K,+21.1%,0.24%
05605H100,BWXT,BWX TECHNOLOGIES INC,23271,5331,2.3M,525.9K,+29.7%,0.18%
237266101,DAR,DARLING INGREDIENTS INC,31067,15737,970.53K,491.62K,+102.7%,0.08%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,11045,988,5.35M,479K,+9.8%,0.42%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,24188,1881,6.15M,478.39K,+8.4%,0.48%
G29183103,ETN,EATON CORP PLC,11755,1733,3.2M,471.08K,+17.3%,0.25%
219948106,CPAY,CORPAY INC,5490,1313,1.91M,457.87K,+31.4%,0.15%
03831W108,APP,APPLOVIN CORP,5195,1663,1.38M,440.65K,+47.1%,0.11%
666807102,NOC,NORTHROP GRUMMAN CORP,2338,799,1.2M,409.1K,+51.9%,0.09%
032654105,ADI,ANALOG DEVICES INC,14261,2007,2.88M,404.75K,+16.4%,0.22%
052769106,ADSK,AUTODESK INC,13220,1537,3.46M,402.39K,+13.2%,0.27%
493267108,KEY,KEYCORP,87078,23900,1.39M,382.16K,+37.8%,0.11%
482480100,KLAC,KLA CORP,2592,551,1.76M,374.57K,+27%,0.14%
166764100,CVX,CHEVRON CORP NEW,11193,2187,1.87M,365.86K,+24.3%,0.15%
235851102,DHR,DANAHER CORPORATION,14547,1631,2.98M,334.36K,+12.6%,0.23%
907818108,UNP,UNION PAC CORP,10914,1402,2.58M,331.21K,+14.7%,0.2%
042068205,ARM,ARM HOLDINGS PLC,21619,2896,2.31M,309.26K,+15.5%,0.18%
550021109,LULU,LULULEMON ATHLETICA INC,3800,999,1.08M,282.78K,+35.7%,0.08%
871607107,SNPS,SYNOPSYS INC,3578,659,1.53M,282.61K,+22.6%,0.12%
217204106,CPRT,COPART INC,29297,4913,1.66M,278.03K,+20.1%,0.13%
G8068L108,SN,SHARKNINJA INC,117624,3145,9.81M,262.32K,+2.7%,0.76%
871829107,SYY,SYSCO CORP,20195,3486,1.52M,261.59K,+20.9%,0.12%
36118L106,FUTU,FUTU HLDGS LTD,8500,2500,869.98K,255.88K,+41.7%,0.07%
45687V106,IR,INGERSOLL RAND INC,19937,3112,1.6M,249.05K,+18.5%,0.12%
244199105,DE,DEERE & CO,3778,522,1.77M,245K,+16%,0.14%
46266C105,IQV,IQVIA HLDGS INC,7268,1378,1.28M,242.94K,+23.4%,0.1%
303250104,FICO,FAIR ISAAC CORP,675,127,1.24M,234.21K,+23.2%,0.1%
G1151C101,ACN,ACCENTURE PLC IRELAND,4768,748,1.49M,233.41K,+18.6%,0.12%
79466L302,CRM,SALESFORCE INC,5664,862,1.52M,231.33K,+18%,0.12%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,92000,8000,2.61M,226.8K,+9.5%,0.2%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,74484,1353,12.36M,224.6K,+1.9%,0.96%
693506107,PPG,PPG INDS INC,15059,1937,1.65M,211.81K,+14.8%,0.13%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,8339,1604,1.09M,209.45K,+23.8%,0.08%
22052L104,CTVA,CORTEVA INC,17047,3202,1.07M,201.5K,+23.1%,0.08%
149123101,CAT,CATERPILLAR INC,14832,589,4.89M,194.25K,+4.1%,0.38%
115236101,BRO,BROWN & BROWN INC,11497,1468,1.43M,182.62K,+14.6%,0.11%
438516106,HON,HONEYWELL INTL INC,21940,836,4.65M,177.02K,+4%,0.36%
