CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,1140915,1140915,8.26M,8.26M,NEW,12.6%
Q4982L109,IREN,IREN LIMITED,348959,348959,2.13M,2.13M,NEW,3.2%
09173B107,KEEL,BITFARMS LTD,2660123,2660123,2.1M,2.1M,NEW,3.2%
44812J104,HUT,HUT 8 CORP,125112,125112,1.45M,1.45M,NEW,2.2%
038169207,APLD,APPLIED DIGITAL CORP,175155,175155,984.37K,984.37K,NEW,1.5%
512807306,LRCX,LAM RESEARCH CORP,10245,10245,744.81K,744.81K,NEW,1.1%
09290D101,BLK,BLACKROCK INC,2428,776,2.3M,734.47K,+47%,3.5%
595112103,MU,MICRON TECHNOLOGY INC,70548,8410,6.13M,730.74K,+13.5%,9.4%
19260Q107,COIN,COINBASE GLOBAL INC,23938,4080,4.12M,702.7K,+20.5%,6.3%
80004C200,SNDK,SANDISK CORP,9735,9735,463.48K,463.48K,NEW,0.71%
629377508,NRG,NRG ENERGY INC,0,-2312,0,-208.59K,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,3333,-2764,515.41K,-427.42K,-45.3%,0.79%
852234103,XYZ,BLOCK INC,41228,-10208,2.24M,-554.6K,-19.8%,3.4%
30303M102,META,META PLATFORMS INC,1310,-1271,755.03K,-732.55K,-49.2%,1.2%
92537N108,VRT,VERTIV HOLDINGS CO,29369,-10235,2.12M,-738.97K,-25.8%,3.2%
683344105,ONTO,ONTO INNOVATION INC,7961,-6720,965.99K,-815.41K,-45.8%,1.5%
958102105,WDC,WESTERN DIGITAL CORP,29187,-25844,1.18M,-1.04M,-47%,1.8%
007903107,AMD,ADVANCED MICRO DEVICES INC,12189,-10753,1.25M,-1.1M,-46.9%,1.9%
19247G107,COHR,COHERENT CORP,23634,-20814,1.53M,-1.35M,-46.8%,2.3%
12572Q105,CME,CME GROUP INC,0,-6099,0,-1.42M,CLOSE,0%
617446448,MS,MORGAN STANLEY,14389,-12288,1.68M,-1.43M,-46.1%,2.6%
18452B209,CLSK,CLEANSPARK INC,405552,-236746,2.73M,-1.59M,-36.9%,4.2%
46438R105,ETHA,ISHARES ETHEREUM TR,31790,-115169,439.34K,-1.59M,-78.4%,0.67%
57636Q104,MA,MASTERCARD INCORPORATED,2711,-3361,1.49M,-1.84M,-55.4%,2.3%
458140100,INTC,INTEL CORP,0,-115858,0,-2.32M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO.,5749,-10116,1.41M,-2.48M,-63.8%,2.2%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,17616,-15316,2.92M,-2.54M,-46.5%,4.5%
92826C839,V,VISA INC,4473,-7575,1.57M,-2.65M,-62.9%,2.4%
17253J106,CIFR,CIPHER MINING INC,2568624,-1171661,5.91M,-2.69M,-31.3%,9%
770700102,HOOD,ROBINHOOD MKTS INC,60575,-68910,2.52M,-2.87M,-53.2%,3.9%
67066G104,NVDA,NVIDIA CORPORATION,0,-30148,0,-4.05M,CLOSE,0%
767292105,RIOT,RIOT PLATFORMS INC,774806,-1103121,5.52M,-7.85M,-58.7%,8.4%
88080T104,WULF,TERAWULF INC,0,-1404015,0,-7.95M,CLOSE,0%
594972408,MSTR,MICROSTRATEGY INC,0,-45434,0,-13.16M,CLOSE,0%
Total,,,,,65.42M,-45.13M,-33%,100%
