CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
594918104,MSFT,MICROSOFT CORP,157.66M,14%,137.66M,+688%
09857L108,BKNG,BOOKING HOLDINGS INC,173.22M,15.3%,82M,+89.9%
90353T100,UBER,UBER TECHNOLOGIES INC,64.48M,5.7%,64.48M,NEW
781154109,RBRK,RUBRIK INC.,8.06M,0.71%,8.06M,NEW
578784100,MAZE,MAZE THERAPEUTICS INC,7.02M,0.62%,7.02M,NEW
02079K305,GOOGL,ALPHABET INC,111.16M,9.8%,4.95M,+4.7%
74623V103,PCT,PURECYCLE TECHNOLOGIES INC,17.29M,1.5%,0,NO CHANGE
88025U109,TXG,10X GENOMICS INC,1.48M,0.13%,0,NO CHANGE
74623V111,PCTTW,PURECYCLE TECHNOLOGIES INC,1.11M,0.1%,0,NO CHANGE
88160R101,TSLA,TESLA INC,0,0%,-8.16M,CLOSE
11135F101,AVGO,BROADCOM INC,53.86M,4.8%,-8.87M,-14.1%
023135106,AMZN,AMAZON COM INC,0,0%,-14.81M,CLOSE
46090E103,QQQ,INVESCO QQQ TR,99.33M,8.8%,-26.26M,-20.9%
037833100,AAPL,APPLE INC,0,0%,-27.22M,CLOSE
67066G104,NVDA,NVIDIA CORPORATION,55.04M,4.9%,-30.43M,-35.6%
80874P109,LNW,LIGHT & WONDER INC,91.71M,8.1%,-33.15M,-26.6%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,0%,-57.16M,CLOSE
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,0,0%,-85.87M,CLOSE
30303M102,META,META PLATFORMS INC,287.25M,25.5%,-463.68M,-61.7%
Total,,,1.13B,100%,-562.98M,-33.3%
