CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
82509L107,SHOP,Shopify Inc.,8.59M,1.7%,8.59M,NEW
532457108,LLY,Eli Lilly & Co.,7.07M,1.4%,6.66M,+1611.8%
22788C105,CRWD,"CrowdStrike Holdings, Inc.",11.41M,2.3%,4.67M,+69.4%
05464C101,AXON,"Axon Enterprise, Inc.",3.92M,0.8%,3.92M,NEW
30303M102,META,"Meta Platforms, Inc.",26.36M,5.4%,2.58M,+10.8%
67066G104,NVDA,NVIDIA Corp,36.81M,7.5%,632.94K,+1.7%
57636Q104,MA,Mastercard Inc.,34.59M,7%,555.79K,+1.6%
808524862,SCHO,Schwab ST U.S. Treasury,526.84K,0.11%,526.84K,NEW
46120E602,ISRG,"Intuitive Surgical, Inc.",20.86M,4.3%,429.89K,+2.1%
45784P101,PODD,Insulet Corp,7.99M,1.6%,364.76K,+4.8%
127387108,CDNS,"Cadence Design Systems, Inc.",7.21M,1.5%,162.52K,+2.3%
169656105,CMG,Chipotle Mexican Grill,15.16M,3.1%,128.69K,+0.9%
N07059210,ASML,ASML Hldg NV NY Reg Shs,8.41M,1.7%,111.32K,+1.3%
252131107,DXCM,"DexCom, Inc.",7.49M,1.5%,30.59K,+0.4%
007903107,AMD,Advanced Micro Devices,8.19M,1.7%,22.09K,+0.3%
573874104,MRVL,Marvell Technology Grp,6.39M,1.3%,6.77K,+0.1%
G51502105,JCI,"Johnson Controls, Inc.",2.92M,0.6%,0,NO CHANGE
742718109,PG,Procter & Gamble Co.,255.63K,0.05%,0,NO CHANGE
808515605,SCHW,Schwab Value Advantage Money I,534.23K,0.11%,-17.33K,-3.1%
040413205,ANET,Arista Networks,5.82M,1.2%,-24.25K,-0.4%
26856L103,ELF,"E.L.F. Beauty, Inc.",2.92M,0.6%,-88.09K,-2.9%
58733R102,MELI,"MercadoLibre, Inc.",13.31M,2.7%,-109.25K,-0.8%
90353T100,UBER,Uber Technologies Inc.,11.24M,2.3%,-147.47K,-1.3%
09260D107,BX,Blackstone Inc.,12.37M,2.5%,-253.84K,-2%
037833100,AAPL,Apple Inc.,22.48M,4.6%,-261K,-1.1%
88339J105,TTD,"Trade Desk, Inc.",5.64M,1.1%,-263.59K,-4.5%
64110L106,NFLX,Netflix Inc,20.14M,4.1%,-291.88K,-1.4%
92826C839,V,VISA Inc.,23.84M,4.9%,-330.13K,-1.4%
461202103,INTU,Intuit Inc.,9.01M,1.8%,-451.9K,-4.8%
697435105,PANW,"Palo Alto Networks, Inc.",11.16M,2.3%,-565.84K,-4.8%
922475108,VEEV,Veeva Systems Inc.,12.22M,2.5%,-638.14K,-5%
79466L302,CRM,"Salesforce, Inc",18.17M,3.7%,-895.52K,-4.7%
594918104,MSFT,Microsoft Corporation,30.12M,6.1%,-1.47M,-4.6%
81762P102,NOW,"ServiceNow, Inc.",33.02M,6.7%,-1.7M,-4.9%
023135106,AMZN,Amazon.com Inc.,38.94M,7.9%,-2.11M,-5.1%
69608A108,PLTR,Palantir Technologies Inc.,5.25M,1.1%,-2.14M,-28.9%
00724F101,ADBE,Adobe Inc.,385.45K,0.08%,-10.68M,-96.5%
Total,,,490.73M,100%,-52.06M,-9.6%
