CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
48203R104,JNPR,JUNIPER NETWORKS INC,204.17M,3.7%,204.17M,NEW
74736K101,QRVO,QORVO INC,168.98M,3.1%,168.98M,NEW
60937P106,MDB,MONGODB INC,161.54M,2.9%,161.54M,NEW
67059N108,NTNX,NUTANIX INC,286.43M,5.2%,91.34M,+46.8%
90353T100,UBER,UBER TECHNOLOGIES INC,410.17M,7.5%,49.44M,+13.7%
90138F102,TWLO,TWILIO INC,321.18M,5.8%,48.27M,+17.7%
88339J105,TTD,THE TRADE DESK INC,86.51M,1.6%,13.3M,+18.2%
83001C108,FUN,SIX FLAGS ENTERTAINMENT CORP,93.33M,1.7%,5.19M,+5.9%
558256103,MSGE,MADISON SQUARE GARDEN ENTMT,94.48M,1.7%,4.98M,+5.6%
03831W108,APP,APPLOVIN CORP,740.26M,13.5%,0,NO CHANGE
256163106,DOCU,DOCUSIGN INC,387.04M,7%,0,NO CHANGE
934423104,WBD,WARNER BROS DISCOVERY INC,240.4M,4.4%,0,NO CHANGE
911684108,USM,UNITED STATES CELLULAR CORP,125.57M,2.3%,0,NO CHANGE
55826T102,SPHR,SPHERE ENTERTAINMENT CO,91.8M,1.7%,0,NO CHANGE
00827B106,AFRM,AFFIRM HLDGS INC,228.53M,4.2%,-6.37M,-2.7%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,410.16M,7.5%,-8.75M,-2.1%
20717M103,CFLT,CONFLUENT INC,51.12M,0.93%,-19.2M,-27.3%
98980F104,ZI,ZOOMINFO TECHNOLOGIES INC,75.27M,1.4%,-35.7M,-32.2%
44812J104,HUT,HUT 8 CORP,0,0%,-37.4M,CLOSE
21874A106,CORZ,CORE SCIENTIFIC INC NEW,0,0%,-39.24M,CLOSE
531229755,FWONK,LIBERTY MEDIA CORP DEL,265.69M,4.8%,-61.75M,-18.9%
268150109,DT,DYNATRACE INC,119.18M,2.2%,-64.09M,-35%
83304A106,SNAP,SNAP INC,0,0%,-71.42M,CLOSE
G6683N103,NU,NU HLDGS LTD,0,0%,-92.19M,CLOSE
67066G104,NVDA,NVIDIA CORPORATION,165.5M,3%,-95.37M,-36.6%
983134107,WYNN,WYNN RESORTS LTD,0,0%,-101.38M,CLOSE
767292105,RIOT,RIOT PLATFORMS INC,0,0%,-106.39M,CLOSE
30303M102,META,META PLATFORMS INC,229.31M,4.2%,-123.92M,-35.1%
11135F101,AVGO,BROADCOM INC,0,0%,-147.39M,CLOSE
26142V105,DKNG,DRAFTKINGS INC NEW,0,0%,-195.13M,CLOSE
64110L106,NFLX,NETFLIX INC,539.93M,9.8%,-223.81M,-29.3%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,0,0%,-378.14M,CLOSE
Total,,,5.5B,100%,-1.51B,-21.5%
