CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
902973304,USB,US BANCORP DEL,5199,5199,219.49K,219.49K,NEW,0.17%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,666,666,203.5K,203.5K,NEW,0.16%
023135106,AMZN,AMAZON COM INC,6080,928,1.16M,176.56K,+18%,0.92%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,14661,2697,894.17K,164.49K,+22.5%,0.71%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,1990,656,494.74K,163.09K,+49.2%,0.39%
576323109,MTZ,MASTEC INC,4464,1210,520.99K,141.22K,+37.2%,0.41%
38141G104,GS,GOLDMAN SACHS GROUP INC,778,231,425.01K,126.19K,+42.2%,0.34%
90353T100,UBER,UBER TECHNOLOGIES INC,9172,1545,668.27K,112.57K,+20.3%,0.53%
46625H100,JPM,JPMORGAN CHASE & CO.,7110,424,1.74M,104.01K,+6.3%,1.4%
11135F101,AVGO,BROADCOM INC,15787,610,2.64M,102.13K,+4%,2.1%
532457108,LLY,ELI LILLY & CO,5028,122,4.15M,100.76K,+2.5%,3.3%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,4127,282,1.46M,99.43K,+7.3%,1.2%
67066G104,NVDA,NVIDIA CORPORATION,234309,874,25.39M,94.72K,+0.4%,20.2%
46120E602,ISRG,INTUITIVE SURGICAL INC,1518,183,751.82K,90.63K,+13.7%,0.6%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,2312,525,383.79K,87.15K,+29.4%,0.31%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,9638,660,813.45K,55.7K,+7.4%,0.65%
G29183103,ETN,EATON CORP PLC,3081,179,837.55K,48.66K,+6.2%,0.67%
852234103,XYZ,BLOCK INC,9684,852,526.13K,46.29K,+9.6%,0.42%
57636Q104,MA,MASTERCARD INCORPORATED,2830,75,1.55M,41.11K,+2.7%,1.2%
697435105,PANW,PALO ALTO NETWORKS INC,16820,240,2.87M,40.95K,+1.4%,2.3%
437076102,HD,HOME DEPOT INC,3606,110,1.32M,40.31K,+3.1%,1.1%
79589L106,IOT,SAMSARA INC,6668,954,255.58K,36.57K,+16.7%,0.2%
682680103,OKE,ONEOK INC NEW,6162,353,611.43K,35.03K,+6.1%,0.49%
446150104,HBAN,HUNTINGTON BANCSHARES INC,21287,2245,319.51K,33.7K,+11.8%,0.25%
98980G102,ZS,ZSCALER INC,3425,164,679.59K,32.54K,+5%,0.54%
75513E101,RTX,RTX CORPORATION,5427,232,718.83K,30.73K,+4.5%,0.57%
36828A101,GEV,GE VERNOVA INC,1728,95,527.52K,29K,+5.8%,0.42%
037833100,AAPL,APPLE INC,66603,106,14.79M,23.55K,+0.2%,11.8%
548661107,LOW,LOWES COS INC,2949,89,687.68K,20.75K,+3.1%,0.55%
49456B101,KMI,KINDER MORGAN INC DEL,14306,521,408.16K,14.86K,+3.8%,0.32%
025816109,AXP,AMERICAN EXPRESS CO,5558,51,1.5M,13.72K,+0.9%,1.2%
922908363,VOO,VANGUARD INDEX FDS,618,25,317.62K,12.85K,+4.2%,0.25%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,2363,50,600.98K,12.72K,+2.2%,0.48%
94106L109,WM,WASTE MGMT INC DEL,1548,46,358.35K,10.65K,+3.1%,0.29%
17275R102,CSCO,CISCO SYS INC,12505,169,771.69K,10.43K,+1.4%,0.61%
701094104,PH,PARKER-HANNIFIN CORP,974,16,592.33K,9.73K,+1.7%,0.47%
573874104,MRVL,MARVELL TECHNOLOGY INC,9101,143,560.35K,8.8K,+1.6%,0.45%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,1701,50,293.42K,8.63K,+3%,0.23%
855244109,SBUX,STARBUCKS CORP,3256,75,319.37K,7.36K,+2.4%,0.25%
79466L302,CRM,SALESFORCE INC,5386,25,1.45M,6.71K,+0.5%,1.2%
595112103,MU,MICRON TECHNOLOGY INC,5393,70,468.59K,6.08K,+1.3%,0.37%
29250N105,ENB,ENBRIDGE INC,6165,125,273.17K,5.54K,+2.1%,0.22%
14448C104,CARR,CARRIER GLOBAL CORPORATION,5819,15,368.91K,950.95,+0.3%,0.29%
92826C839,V,VISA INC,3116,1,1.09M,350.43,+0%,0.87%
808513105,SCHW,SCHWAB CHARLES CORP,5475,3,428.62K,234.86,+0.1%,0.34%
02079K107,GOOG,ALPHABET INC,8065,0,1.26M,0,NO CHANGE,1%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,2535,0,856.83K,0,NO CHANGE,0.68%
22160K105,COST,COSTCO WHSL CORP NEW,688,0,650.41K,0,NO CHANGE,0.52%
81762P102,NOW,SERVICENOW INC,760,0,605.07K,0,NO CHANGE,0.48%
78462F103,SPY,SPDR S&P 500 ETF TR,1057,0,591.27K,0,NO CHANGE,0.47%
88160R101,TSLA,TESLA INC,2010,0,520.91K,0,NO CHANGE,0.41%
464287309,IVW,ISHARES TR,5222,0,484.76K,0,NO CHANGE,0.39%
90138F102,TWLO,TWILIO INC,4820,0,471.93K,0,NO CHANGE,0.38%
82509L107,SHOP,SHOPIFY INC,4715,0,450.19K,0,NO CHANGE,0.36%
46266C105,IQV,IQVIA HLDGS INC,1750,0,308.52K,0,NO CHANGE,0.25%
550021109,LULU,LULULEMON ATHLETICA INC,1025,0,290.14K,0,NO CHANGE,0.23%
464287408,IVE,ISHARES TR,1495,0,284.92K,0,NO CHANGE,0.23%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,1800,0,235.04K,0,NO CHANGE,0.19%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,6581,0,224.67K,0,NO CHANGE,0.18%
14316J108,CG,CARLYLE GROUP INC,5120,0,223.18K,0,NO CHANGE,0.18%
052800109,ALV,AUTOLIV INC,2433,0,215.2K,0,NO CHANGE,0.17%
75886F107,REGN,REGENERON PHARMACEUTICALS,330,0,209.3K,0,NO CHANGE,0.17%
291011104,EMR,EMERSON ELEC CO,5580,-6,611.79K,-657.84,-0.1%,0.49%
02079K305,GOOGL,ALPHABET INC,11213,-5,1.73M,-773.23,-0%,1.4%
30303M102,META,META PLATFORMS INC,5868,-3,3.38M,-1.73K,-0.1%,2.7%
166764100,CVX,CHEVRON CORP NEW,1915,-16,320.38K,-2.68K,-0.8%,0.25%
30231G102,XOM,EXXON MOBIL CORP,9704,-28,1.15M,-3.33K,-0.3%,0.92%
002824100,ABT,ABBOTT LABS,7751,-26,1.03M,-3.45K,-0.3%,0.82%
74276L105,PRCT,PROCEPT BIOROBOTICS CORP,46390,-65,2.7M,-3.79K,-0.1%,2.2%
00287Y109,ABBV,ABBVIE INC,8333,-26,1.75M,-5.45K,-0.3%,1.4%
574599106,MAS,MASCO CORP,6612,-79,459.79K,-5.49K,-1.2%,0.37%
872540109,TJX,TJX COS INC NEW,6391,-46,778.43K,-5.6K,-0.7%,0.62%
031162100,AMGN,AMGEN INC,3696,-19,1.15M,-5.92K,-0.5%,0.92%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,1737,-15,842.13K,-7.27K,-0.9%,0.67%
34959E109,FTNT,FORTINET INC,45755,-90,4.4M,-8.66K,-0.2%,3.5%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,1299,-18,646.32K,-8.96K,-1.4%,0.51%
G1151C101,ACN,ACCENTURE PLC IRELAND,1799,-29,561.36K,-9.05K,-1.6%,0.45%
68389X105,ORCL,ORACLE CORP,10850,-66,1.52M,-9.23K,-0.6%,1.2%
