CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
G6683N103,NU,NU HLDGS LTD,333.58M,24%,117.41M,+54.3%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,81.32M,5.9%,81.32M,NEW
81141R100,SE,SEA LTD,442.17M,31.8%,14.54M,+3.4%
40415F101,HDB,HDFC BANK LTD,248.08M,17.9%,8.15M,+3.4%
22266T109,CPNG,COUPANG INC,158.13M,11.4%,5.2M,+3.4%
89677Q107,TCOM,TRIP COM GROUP LTD,122.7M,8.8%,4.03M,+3.4%
531229722,LLYVK,LIBERTY MEDIA CORP DEL,3.04M,0.22%,100.17K,+3.4%
531229748,LLYVA,LIBERTY MEDIA CORP DEL,573.49K,0.04%,18.83K,+3.4%
531229771,FWONA,LIBERTY MEDIA CORP DEL,0,0%,-10.53M,CLOSE
531229755,FWONK,LIBERTY MEDIA CORP DEL,0,0%,-54.47M,CLOSE
Total,,,1.39B,100%,242.67M,+21.2%
