CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
146869102,CVNA,CARVANA CO,2314168,483.85M,483.85M,NEW,4.2%
889478103,TOL,TOLL BROTHERS INC,3800580,401.3M,401.3M,NEW,3.5%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,1218389,309.87M,309.87M,NEW,2.7%
461202103,INTU,INTUIT,1403802,861.92M,151.68M,+21.4%,7.6%
03831W108,APP,APPLOVIN CORP,1593928,422.34M,134.82M,+46.9%,3.7%
594918104,MSFT,MICROSOFT CORP,1960328,735.89M,120.36M,+19.6%,6.4%
023135106,AMZN,AMAZON COM INC,4352740,828.15M,107.25M,+14.9%,7.3%
974155103,WING,WINGSTOP INC,449056,101.3M,101.3M,NEW,0.89%
N07059210,ASML,ASML HOLDING N V,582427,385.93M,93.21M,+31.8%,3.4%
48251W104,KKR,KKR & CO INC,4763771,550.74M,82.73M,+17.7%,4.8%
G3643J108,FLUT,FLUTTER ENTMT PLC,2219896,491.82M,68.1M,+16.1%,4.3%
79466L302,CRM,SALESFORCE INC,1731680,464.71M,44.68M,+10.6%,4.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,3865381,641.65M,17.42M,+2.8%,5.6%
855244109,SBUX,STARBUCKS CORP,6607888,648.17M,13.03M,+2.1%,5.7%
87422Q109,TLN,TALEN ENERGY CORP,1089380,217.52M,0,NO CHANGE,1.9%
Q4982L109,IREN,IREN LIMITED,0,0,-6.99M,CLOSE,0%
88080T104,WULF,TERAWULF INC,0,0,-8.38M,CLOSE,0%
03990B101,ARES,ARES MANAGEMENT CORPORATION,1604441,235.23M,-10.64M,-4.3%,2.1%
14040H105,COF,CAPITAL ONE FINL CORP,3176143,569.48M,-10.7M,-1.8%,5%
17253J106,CIFR,CIPHER MINING INC,0,0,-10.88M,CLOSE,0%
44812J104,HUT,HUT 8 CORP,0,0,-14.2M,CLOSE,0%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,0,0,-21.38M,CLOSE,0%
50212V100,LPLA,LPL FINL HLDGS INC,1764015,577.08M,-51.93M,-8.3%,5.1%
92840M102,VST,VISTRA CORP,4604788,540.79M,-87.87M,-14%,4.7%
30303M102,META,META PLATFORMS INC,1758062,1.01B,-160.73M,-13.7%,8.9%
532457108,LLY,ELI LILLY & CO,551827,455.76M,-190.81M,-29.5%,4%
526057104,LEN,LENNAR CORP,0,0,-234.27M,CLOSE,0%
852234103,XYZ,BLOCK INC,0,0,-320.05M,CLOSE,0%
443201108,HWM,HOWMET AEROSPACE INC,0,0,-334.86M,CLOSE,0%
21037T109,CEG,CONSTELLATION ENERGY CORP,0,0,-388.7M,CLOSE,0%
98138H101,WDAY,WORKDAY INC,0,0,-398.26M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,0,-408.71M,CLOSE,0%
69370C100,PTC,PTC INC,0,0,-427.72M,CLOSE,0%
718172109,PM,PHILIP MORRIS INTL INC,3008542,477.55M,-549.18M,-53.5%,4.2%
Total,,,,11.41B,-2.05B,-15.2%,100%
