CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
244199105,DE,DEERE & CO,1093389,513.18K,163.12K,+46.6%,0.74%
43300A203,HLT,HILTON WORLDWIDE HOLDINGS IN,455158,103.57K,102.81K,+13576.6%,0.15%
670100205,NVO,NOVO-NORDISK A/S SPONS ADR,12388242,860.24K,56.7K,+7.1%,1.2%
G5S37H101,MRX,MAREX GROUP PLC,1454021,51.36K,51.36K,NEW,0.07%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,1346980,670.26K,46.59K,+7.5%,0.97%
204166102,CVLT,COMMVAULT SYSTEMS INC,243846,38.47K,38.47K,NEW,0.06%
75886F107,REGN,REGENERON PHARMACEUTICALS,1635981,1.04M,38.45K,+3.8%,1.5%
69376K106,PX,P10 INC-A,2089378,24.55K,24.55K,NEW,0.04%
72703H101,PLNT,PLANET FITNESS INC - CL A,237159,22.91K,22.91K,NEW,0.03%
90400D108,RARE,ULTRAGENYX PHARMACEUTICAL IN,561479,20.33K,20.33K,NEW,0.03%
01973R101,ALSN,ALLISON TRANSMISSION HOLDING,2589720,247.76K,20.18K,+8.9%,0.36%
00973Y108,AKRO,AKERO THERAPEUTICS INC,488938,19.79K,19.79K,NEW,0.03%
671044105,OSIS,OSI SYSTEMS INC,95991,18.66K,18.66K,NEW,0.03%
485924104,KRMN,KARMAN HOLDINGS INC,539335,18.02K,18.02K,NEW,0.03%
097023204,BA,BOEING CO/THE CVTPFD 6.0,990975,169.01K,17.77K,+11.7%,0.24%
342909108,FLOC,FLOWCO HOLDINGS INC,636427,16.32K,16.32K,NEW,0.02%
70438V106,PCTY,PAYLOCITY HOLDING CORP,81165,15.21K,15.21K,NEW,0.02%
53228F101,LFST,LIFESTANCE HEALTH GROUP INC,2242371,14.94K,14.94K,NEW,0.02%
379577208,GMED,GLOBUS MEDICAL INC - A,202847,14.85K,14.85K,NEW,0.02%
80004C200,SNDK,SANDISK CORP,288580,13.74K,13.74K,NEW,0.02%
89422G107,TVTX,TRAVERE THERAPEUTICS INC,748152,13.41K,13.41K,NEW,0.02%
313855108,FSS,FEDERAL SIGNAL CORP,172579,12.69K,12.69K,NEW,0.02%
69331C306,PCGPRX,PG&E CORP CVTPFD 6.0,890699,15.3K,11.96K,+357.5%,0.02%
81141RAF7,SE,SEA LTD,172479,22.51K,11.86K,+111.4%,0.03%
127190304,CACI,CACI INTERNATIONAL INC CL A,29256,10.73K,10.73K,NEW,0.02%
737630103,PCH,POTLATCH CORP,233687,10.54K,10.54K,NEW,0.02%
