CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,76400,56400,28.68M,21.17M,+282%,10.2%
46090E103,QQQ,INVESCO QQQ TR,22100,22100,10.36M,10.36M,NEW,3.7%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,35000,35000,5.81M,5.81M,NEW,2.1%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,2050294,687793,14.84M,4.98M,+50.5%,5.3%
46428Q109,SLV,ISHARES SILVER TR,150000,150000,4.65M,4.65M,NEW,1.7%
36162J106,GEO,GEO GROUP INC NEW,150000,150000,4.38M,4.38M,NEW,1.6%
01609W102,BABA,ALIBABA GROUP HLDG LTD,25000,25000,3.31M,3.31M,NEW,1.2%
77313F106,RCKT,ROCKET PHARMACEUTICALS INC,460381,460381,3.07M,3.07M,NEW,1.1%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,8500,8500,3M,3M,NEW,1.1%
17243V102,CNK,CINEMARK HLDGS INC,200000,120000,4.98M,2.99M,+150%,1.8%
30303M102,META,META PLATFORMS INC,4500,4500,2.59M,2.59M,NEW,0.92%
M46528101,FRO,FRONTLINE PLC,157000,157000,2.33M,2.33M,NEW,0.83%
46144X131,SARK,INVESTMENT MANAGERS SER TR I,44000,44000,2.28M,2.28M,NEW,0.81%
84858T772,EUAD,SPINNAKER ETF SERIES,65000,65000,2.18M,2.18M,NEW,0.77%
36828A101,GEV,GE VERNOVA INC,6000,6000,1.83M,1.83M,NEW,0.65%
78462F103,SPY,SPDR S&P 500 ETF TR,3000,3000,1.68M,1.68M,NEW,0.6%
00724F101,ADBE,ADOBE INC,5400,4300,2.07M,1.65M,+390.9%,0.74%
023135106,AMZN,AMAZON COM INC,79500,8500,15.13M,1.62M,+12%,5.4%
848560306,SPIR,SPIRE GLOBAL INC,181700,181700,1.47M,1.47M,NEW,0.52%
03969K108,ARQT,ARCUTIS BIOTHERAPEUTICS INC,290000,90000,4.54M,1.41M,+45%,1.6%
464287556,IBB,ISHARES TR,10000,10000,1.28M,1.28M,NEW,0.45%
64110L106,NFLX,NETFLIX INC,10900,1361,10.16M,1.27M,+14.3%,3.6%
552953101,MGM,MGM RESORTS INTERNATIONAL,302000,42000,8.95M,1.24M,+16.2%,3.2%
48251W104,KKR,KKR & CO INC,10000,10000,1.16M,1.16M,NEW,0.41%
501044101,KR,KROGER CO,16000,16000,1.08M,1.08M,NEW,0.38%
464286400,EWZ,ISHARES INC,40000,40000,1.03M,1.03M,NEW,0.37%
46429B598,INDA,ISHARES TR,20000,20000,1.03M,1.03M,NEW,0.37%
548661107,LOW,LOWES COS INC,4000,4000,932.92K,932.92K,NEW,0.33%
30212P303,EXPE,EXPEDIA GROUP INC,5000,5000,840.5K,840.5K,NEW,0.3%
867981102,SUNS,SUNRISE RLTY TR INC,70000,70000,774.9K,774.9K,NEW,0.28%
679369108,OLPX,OLAPLEX HLDGS INC,600000,600000,762K,762K,NEW,0.27%
92891H606,UVIX,VS TRUST,20000,20000,744.7K,744.7K,NEW,0.26%
910047109,UAL,UNITED AIRLS HLDGS INC,10000,10000,690.5K,690.5K,NEW,0.25%
485924104,KRMN,KARMAN HLDGS INC,20000,20000,668.4K,668.4K,NEW,0.24%
013091103,ACI,ALBERTSONS COS INC,30000,30000,659.7K,659.7K,NEW,0.23%
63008G203,NNDM,NANO DIMENSION LTD,440000,414779,699.6K,659.5K,+1644.6%,0.25%
52567D107,LMND,LEMONADE INC,20000,20000,628.6K,628.6K,NEW,0.22%
457669307,INSM,INSMED INC,8000,8000,610.32K,610.32K,NEW,0.22%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,211000,23138,5.28M,578.45K,+12.3%,1.9%
29975E109,EB,EVENTBRITE INC,260000,260000,548.6K,548.6K,NEW,0.19%
61945C103,MOS,MOSAIC CO NEW,20000,20000,540.2K,540.2K,NEW,0.19%
