CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,506900,335221,54.94M,36.33M,+195.3%,29.2%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,161576,122376,7.56M,5.73M,+312.2%,4%
36467W109,GME,GAMESTOP CORP NEW,349280,237296,7.8M,5.3M,+211.9%,4.1%
30303M102,META,META PLATFORMS INC,6454,6132,3.72M,3.53M,+1904.3%,2%
912909108,X,UNITED STATES STL CORP NEW,75545,75545,3.19M,3.19M,NEW,1.7%
81369Y506,XLE,SELECT SECTOR SPDR TR,34150,30000,3.19M,2.8M,+722.9%,1.7%
539830109,LMT,LOCKHEED MARTIN CORP,10200,6200,4.56M,2.77M,+155%,2.4%
438516106,HON,HONEYWELL INTL INC,9100,9100,1.93M,1.93M,NEW,1%
38141G104,GS,GOLDMAN SACHS GROUP INC,3200,3200,1.75M,1.75M,NEW,0.93%
22160K105,COST,COSTCO WHSL CORP NEW,1594,1594,1.51M,1.51M,NEW,0.8%
500767306,KWEB,KRANESHARES TRUST,34851,34851,1.22M,1.22M,NEW,0.65%
855244109,SBUX,STARBUCKS CORP,11312,11312,1.11M,1.11M,NEW,0.59%
931142103,WMT,WALMART INC,12548,12548,1.1M,1.1M,NEW,0.58%
767292105,RIOT,RIOT PLATFORMS INC,188805,149289,1.34M,1.06M,+377.8%,0.71%
19260Q107,COIN,COINBASE GLOBAL INC,13676,6164,2.36M,1.06M,+82.1%,1.3%
02376R102,AAL,AMERICAN AIRLS GROUP INC,83600,83600,881.98K,881.98K,NEW,0.47%
02079K305,GOOGL,ALPHABET INC,6511,5611,1.01M,867.69K,+623.4%,0.53%
81369Y100,XLB,SELECT SECTOR SPDR TR,9620,9620,827.13K,827.13K,NEW,0.44%
82452J109,FOUR,SHIFT4 PMTS INC,10100,10100,825.27K,825.27K,NEW,0.44%
090040106,BILI,BILIBILI INC,71328,40663,1.36M,777.07K,+132.6%,0.72%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,19200,15000,964.03K,753.15K,+357.1%,0.51%
90138F102,TWLO,TWILIO INC,7500,7500,734.33K,734.33K,NEW,0.39%
037833100,AAPL,APPLE INC,4224,3100,938.28K,688.6K,+275.8%,0.5%
81369Y803,XLK,SELECT SECTOR SPDR TR,3112,3112,642.57K,642.57K,NEW,0.34%
565394103,CART,MAPLEBEAR INC,25000,15500,997.25K,618.29K,+163.2%,0.53%
36828A101,GEV,GE VERNOVA INC,1850,1850,564.77K,564.77K,NEW,0.3%
68389X105,ORCL,ORACLE CORP,3894,3894,544.42K,544.42K,NEW,0.29%
83304A106,SNAP,SNAP INC,63900,53400,556.57K,465.11K,+508.6%,0.3%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,1300,1300,458.35K,458.35K,NEW,0.24%
565788106,MARA,MARA HOLDINGS INC,38458,38322,442.27K,440.7K,+28177.9%,0.23%
78464A698,KRE,SPDR SER TR,7712,7712,438.43K,438.43K,NEW,0.23%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,2090,2090,429.37K,429.37K,NEW,0.23%
46090E103,QQQ,INVESCO QQQ TR,900,900,422.03K,422.03K,NEW,0.22%
238337109,PLAY,DAVE & BUSTERS ENTMT INC,22900,22900,402.35K,402.35K,NEW,0.21%
70450Y103,PYPL,PAYPAL HLDGS INC,6340,5876,413.69K,383.41K,+1266.4%,0.22%
852234103,XYZ,BLOCK INC,8222,6959,446.7K,378.08K,+551%,0.24%
92840M102,VST,VISTRA CORP,3100,3100,364.06K,364.06K,NEW,0.19%
056752108,BIDU,BAIDU INC,3900,3900,358.92K,358.92K,NEW,0.19%
87918A105,TDOC,TELADOC HEALTH INC,54000,42000,429.84K,334.32K,+350%,0.23%
64110L106,NFLX,NETFLIX INC,358,358,333.85K,333.85K,NEW,0.18%
464287234,EEM,ISHARES TR,7425,7425,324.47K,324.47K,NEW,0.17%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,4000,4000,322K,322K,NEW,0.17%
03831W108,APP,APPLOVIN CORP,1200,1200,317.96K,317.96K,NEW,0.17%
G6683N103,NU,NU HLDGS LTD,30000,30000,307.2K,307.2K,NEW,0.16%
770700102,HOOD,ROBINHOOD MKTS INC,7271,7271,302.62K,302.62K,NEW,0.16%
08975B109,BBAI,BIGBEAR AI HLDGS INC,100000,100000,286K,286K,NEW,0.15%
138035704,CGC,CANOPY GROWTH CORP,303500,303500,276.19K,276.19K,NEW,0.15%
747525103,QCOM,QUALCOMM INC,4471,1775,686.79K,272.66K,+65.8%,0.36%
81369Y407,XLY,SELECT SECTOR SPDR TR,1338,1338,264.2K,264.2K,NEW,0.14%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,17000,17000,262.31K,262.31K,NEW,0.14%
98422D105,XPEV,XPENG INC,12500,12500,259K,259K,NEW,0.14%
52603A208,LC,LENDINGCLUB CORP,24300,24300,250.78K,250.78K,NEW,0.13%
907818108,UNP,UNION PAC CORP,1027,1027,242.62K,242.62K,NEW,0.13%
912318409,UNG,UNITED STS NAT GAS FD LP,11000,11000,237.71K,237.71K,NEW,0.13%
20030N101,CMCSA,COMCAST CORP NEW,6369,6369,235.02K,235.02K,NEW,0.12%
009066101,ABNB,AIRBNB INC,1946,1946,232.47K,232.47K,NEW,0.12%
46428Q109,SLV,ISHARES SILVER TR,7498,7498,232.36K,232.36K,NEW,0.12%
88339J105,TTD,THE TRADE DESK INC,4150,4150,227.09K,227.09K,NEW,0.12%
974155103,WING,WINGSTOP INC,1000,1000,225.58K,225.58K,NEW,0.12%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,12767,2540,1.08M,214.38K,+24.8%,0.57%
11135F101,AVGO,BROADCOM INC,2335,1226,390.95K,205.27K,+110.6%,0.21%
48203R104,JNPR,JUNIPER NETWORKS INC,5471,5471,198K,198K,NEW,0.11%
00165C302,AMC,AMC ENTMT HLDGS INC,262162,67971,752.4K,195.08K,+35%,0.4%
345370860,F,FORD MTR CO,31000,19000,310.93K,190.57K,+158.3%,0.17%
025816109,AXP,AMERICAN EXPRESS CO,701,701,188.6K,188.6K,NEW,0.1%
H8817H100,RIG,TRANSOCEAN LTD,56500,56500,179.1K,179.1K,NEW,0.1%
81369Y852,XLC,SELECT SECTOR SPDR TR,2200,1648,212.19K,158.95K,+298.6%,0.11%
G54950103,LIN,LINDE PLC,302,302,140.62K,140.62K,NEW,0.07%
81369Y308,XLP,SELECT SECTOR SPDR TR,1981,1577,161.79K,128.79K,+390.3%,0.09%
549498103,LCID,LUCID GROUP INC,123500,47500,298.87K,114.95K,+62.5%,0.16%
81369Y704,XLI,SELECT SECTOR SPDR TR,901,785,118.09K,102.89K,+676.7%,0.06%
75734B100,RDDT,REDDIT INC,1402,967,147.07K,101.44K,+222.3%,0.08%
464287655,IWM,ISHARES TR,500,500,99.75K,99.75K,NEW,0.05%
81369Y209,XLV,SELECT SECTOR SPDR TR,624,624,91.11K,91.11K,NEW,0.05%
742718109,PG,PROCTER AND GAMBLE CO,468,468,79.76K,79.76K,NEW,0.04%
833445109,SNOW,SNOWFLAKE INC,502,502,73.37K,73.37K,NEW,0.04%
86800U302,SMCI,SUPER MICRO COMPUTER INC,16132,2017,552.36K,69.06K,+14.3%,0.29%
293594107,ENVX,ENOVIX CORPORATION,7200,7200,52.85K,52.85K,NEW,0.03%
00724F101,ADBE,ADOBE INC,135,135,51.78K,51.78K,NEW,0.03%
92189F676,SMH,VANECK ETF TRUST,491,217,103.83K,45.89K,+79.2%,0.06%
81369Y886,XLU,SELECT SECTOR SPDR TR,587,581,46.28K,45.81K,+9683.3%,0.02%
04626A103,ALAB,ASTERA LABS INC,686,686,40.93K,40.93K,NEW,0.02%
92766K403,SPCE,VIRGIN GALACTIC HOLDINGS INC,12400,12400,37.57K,37.57K,NEW,0.02%
526057104,LEN,LENNAR CORP,6200,300,711.64K,34.43K,+5.1%,0.38%
92826C839,V,VISA INC,77,77,26.98K,26.98K,NEW,0.01%
08862E109,BYND,BEYOND MEAT INC,4100,4100,12.51K,12.51K,NEW,<.01%
