CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
90353T100,UBER,UBER TECHNOLOGIES INC,23.16M,3%,8.89M,+62.3%
464288257,ACWI,ISHARES TR,5.34M,0.69%,3.46M,+183.7%
023135106,AMZN,AMAZON COM INC,55.61M,7.2%,3.34M,+6.4%
037833100,AAPL,APPLE INC,48.4M,6.3%,3.26M,+7.2%
58733R102,MELI,MERCADOLIBRE INC,49.01M,6.4%,2.02M,+4.3%
863667101,SYK,STRYKER CORPORATION,17.29M,2.2%,1.98M,+12.9%
30303M102,META,META PLATFORMS INC,59.82M,7.8%,1.84M,+3.2%
02079K107,GOOG,ALPHABET INC,46.4M,6%,1.56M,+3.5%
697435105,PANW,PALO ALTO NETWORKS INC,33.12M,4.3%,1.18M,+3.7%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,29.39M,3.8%,1.16M,+4.1%
79466L302,CRM,SALESFORCE INC,35.12M,4.6%,1.02M,+3%
81762P102,NOW,SERVICENOW INC,38.97M,5.1%,1.02M,+2.7%
N07059210,ASML,ASML HOLDING N V,24.25M,3.1%,957.5K,+4.1%
46120E602,ISRG,INTUITIVE SURGICAL INC,34.55M,4.5%,842.96K,+2.5%
670100205,NVO,NOVO-NORDISK A S,26.91M,3.5%,679.05K,+2.6%
252131107,DXCM,DEXCOM INC,19.79M,2.6%,617.82K,+3.2%
57636Q104,MA,MASTERCARD INCORPORATED,44.41M,5.8%,437.4K,+1%
40415F101,HDB,HDFC BANK LTD,12.08M,1.6%,311.94K,+2.7%
09857L108,BKNG,BOOKING HOLDINGS INC,28.24M,3.7%,133.59K,+0.5%
87978U108,TPST,TEMPEST THERAPEUTICS INC,7.38K,<.01%,0,NO CHANGE
02079K305,GOOGL,ALPHABET INC,14.16M,1.8%,-2.63K,-0%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,368.55K,0.05%,-27.16K,-6.9%
67066G104,NVDA,NVIDIA CORPORATION,124.03M,16.1%,-2.91M,-2.3%
G27358103,DESP,DESPEGAR COM CORP,0,0%,-22.18M,CLOSE
Total,,,770.43M,100%,-78.43M,-9.2%
