CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81141R100,SE,SEA LTD,35000,35000,4.57M,4.57M,NEW,6.8%
718172109,PM,PHILIP MORRIS INTL INC,55000,25000,8.73M,3.97M,+83.3%,12.9%
770700102,HOOD,ROBINHOOD MKTS INC,70000,70000,2.91M,2.91M,NEW,4.3%
78462F103,SPY,SPDR S&P 500 ETF TR,5000,5000,2.8M,2.8M,NEW,4.1%
72352L106,PINS,PINTEREST INC,75000,75000,2.33M,2.33M,NEW,3.4%
29082A107,ERJ,EMBRAER S.A.,90000,40000,4.16M,1.85M,+80%,6.2%
893641100,TDG,TRANSDIGM GROUP INC,2500,1000,3.46M,1.38M,+66.7%,5.1%
02079K305,GOOGL,ALPHABET INC,5000,5000,773.2K,773.2K,NEW,1.1%
46625H100,JPM,JPMORGAN CHASE & CO.,10000,3000,2.45M,735.9K,+42.9%,3.6%
38141G104,GS,GOLDMAN SACHS GROUP INC,3000,0,1.64M,0,NO CHANGE,2.4%
N3167Y103,RACE,FERRARI N V,4000,-500,1.71M,-213.94K,-11.1%,2.5%
023135106,AMZN,AMAZON COM INC,15000,-2000,2.85M,-380.52K,-11.8%,4.2%
64110L106,NFLX,NETFLIX INC,5000,-500,4.66M,-466.26K,-9.1%,6.9%
101137107,BSX,BOSTON SCIENTIFIC CORP,40000,-7000,4.04M,-706.16K,-14.9%,6%
000899104,ADMA,ADMA BIOLOGICS INC,0,-50000,0,-857.5K,CLOSE,0%
82835W108,SPRY,ARS PHARMACEUTICALS INC,75000,-95000,943.5K,-1.2M,-55.9%,1.4%
G3643J108,FLUT,FLUTTER ENTMT PLC,3000,-7000,664.65K,-1.55M,-70%,0.99%
037833100,AAPL,APPLE INC,8000,-7000,1.78M,-1.55M,-46.7%,2.6%
68389X105,ORCL,ORACLE CORP,0,-10000,0,-1.67M,CLOSE,0%
29084Q100,EME,EMCOR GROUP INC,0,-4000,0,-1.82M,CLOSE,0%
04626A103,ALAB,ASTERA LABS INC,0,-15000,0,-1.99M,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-5000,0,-2.02M,CLOSE,0%
243537107,DECK,DECKERS OUTDOOR CORP,0,-10000,0,-2.03M,CLOSE,0%
632307104,NTRA,NATERA INC,10000,-15000,1.41M,-2.12M,-60%,2.1%
67066G104,NVDA,NVIDIA CORPORATION,40000,-20000,4.34M,-2.17M,-33.3%,6.4%
03783C100,APPF,APPFOLIO INC,0,-10000,0,-2.47M,CLOSE,0%
984245100,YPF,YPF SOCIEDAD ANONIMA,0,-60000,0,-2.55M,CLOSE,0%
26603R106,DUOL,DUOLINGO INC,0,-8000,0,-2.59M,CLOSE,0%
615369105,MCO,MOODYS CORP,0,-6000,0,-2.84M,CLOSE,0%
30303M102,META,META PLATFORMS INC,13000,-7000,7.49M,-4.03M,-35%,11.1%
594918104,MSFT,MICROSOFT CORP,10000,-22000,3.75M,-8.26M,-68.8%,5.6%
Total,,,,,67.46M,-22.17M,-24.2%,100%
