CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
233051879,ASHR,DBX ETF TR,435000,435000,11.56M,11.56M,NEW,5.8%
067901108,B,BARRICK GOLD CORP,1435976,505976,27.92M,9.84M,+54.4%,14.1%
056752108,BIDU,BAIDU INC,246371,65000,22.67M,5.98M,+35.8%,11.5%
G7997W102,SDRL,SEADRILL LTD,200000,200000,5M,5M,NEW,2.5%
55903Q104,MAG,MAG SILVER CORP,526000,294878,8.03M,4.5M,+127.6%,4.1%
78667J108,SAGE,SAGE THERAPEUTICS INC,441619,441619,3.51M,3.51M,NEW,1.8%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,225000,225000,3.46M,3.46M,NEW,1.8%
156431108,CENX,CENTURY ALUM CO,137500,137500,2.55M,2.55M,NEW,1.3%
04335A105,ARVN,ARVINAS INC,315459,290459,2.21M,2.04M,+1161.8%,1.1%
H42097107,UBS,UBS GROUP AG,62500,62500,1.9M,1.9M,NEW,0.96%
65487U108,NKTX,NKARTA INC,813116,813116,1.5M,1.5M,NEW,0.76%
47215P106,JD,JD.COM INC,35000,35000,1.44M,1.44M,NEW,0.73%
98980L101,ZM,ZOOM COMMUNICATIONS INC,26500,19000,1.95M,1.4M,+253.3%,0.99%
56600D107,MRVI,MARAVAI LIFESCIENCES HLDGS I,835865,544501,1.85M,1.2M,+186.9%,0.93%
G65431127,NE,NOBLE CORP PLC,70000,45000,1.66M,1.07M,+180%,0.84%
92332V107,VTYX,VENTYX BIOSCIENCES INC,1134444,894444,1.3M,1.03M,+372.7%,0.66%
G48833118,WFRD,WEATHERFORD INTL PLC,19000,19000,1.02M,1.02M,NEW,0.51%
87918A105,TDOC,TELADOC HEALTH INC,500000,90000,3.98M,716.4K,+22%,2%
016230104,ALCO,ALICO INC,22005,22005,656.63K,656.63K,NEW,0.33%
45780L104,INGN,INOGEN INC,167594,91094,1.19M,649.5K,+119.1%,0.6%
31189P102,FATE,FATE THERAPEUTICS INC,1149708,822037,908.38K,649.49K,+250.9%,0.46%
G97822103,PRGO,PERRIGO CO PLC,201595,22500,5.65M,630.9K,+12.6%,2.9%
393222104,GPRE,GREEN PLAINS INC,225000,122722,1.09M,595.2K,+120%,0.55%
00768Y453,MSOS,ADVISORSHARES TR,1025000,225000,2.68M,587.25K,+28.1%,1.4%
14179K101,CRGX,CARGO THERAPEUTICS INC,139028,139028,565.84K,565.84K,NEW,0.29%
36315X101,LKFT,GALAPAGOS NV,36036,21036,905.22K,528.42K,+140.2%,0.46%
697900108,PAAS,PAN AMERN SILVER CORP,295000,20000,7.62M,516.61K,+7.3%,3.9%
00445A100,SLRN,ACELYRIN INC,139600,139600,344.81K,344.81K,NEW,0.17%
528872302,LXRX,LEXICON PHARMACEUTICALS INC,734148,734148,338.3K,338.3K,NEW,0.17%
05961W105,BMA,BANCO MACRO SA,4000,4000,302.04K,302.04K,NEW,0.15%
52187K200,CYPH,LEAP THERAPEUTICS INC,1050000,844126,320.36K,257.54K,+410%,0.16%
75971T301,SOL,EMEREN GROUP LTD,2005152,157388,3.15M,247.1K,+8.5%,1.6%
464286715,TUR,ISHARES INC,7500,7500,246.15K,246.15K,NEW,0.12%
74623V103,PCT,PURECYCLE TECHNOLOGIES INC,35000,35000,242.2K,242.2K,NEW,0.12%
H11356104,BG,BUNGE GLOBAL SA,3111,3111,237.74K,237.74K,NEW,0.12%
N71542109,PRQR,PROQR THRAPEUTICS N V,471908,175290,627.64K,233.14K,+59.1%,0.32%
00181T107,GOLD,A-MARK PRECIOUS METALS INC,7887,7887,200.09K,200.09K,NEW,0.1%
059460303,BBD,BANCO BRADESCO S A,525000,75000,1.17M,167.25K,+16.7%,0.59%
39986L109,GRWG,GROWGENERATION CORP,548721,85675,592.62K,92.53K,+18.5%,0.3%
589492107,MREO,MEREO BIOPHARMA GROUP PLC,416468,35000,937.05K,78.75K,+9.2%,0.47%
80810D103,SDGR,SCHRODINGER INC,82500,2500,1.63M,49.35K,+3.1%,0.82%
G1466R173,BORR,BORR DRILLING LTD,15000,15000,32.85K,32.85K,NEW,0.02%
670002401,NVAX,NOVAVAX INC,290000,5000,1.86M,32.05K,+1.8%,0.94%
85207K107,PSLV,SPROTT PHYSICAL SILVER TR,230000,0,2.67M,0,NO CHANGE,1.4%
61945C103,MOS,MOSAIC CO NEW,65000,0,1.76M,0,NO CHANGE,0.89%
98423J101,XPER,XPERI INC,45000,0,347.4K,0,NO CHANGE,0.18%
87266J104,TPICQ,TPI COMPOSITES INC,59900,0,48.28K,0,NO CHANGE,0.02%
502160104,LXU,LSB INDS INC,15000,-17100,98.85K,-112.69K,-53.3%,0.05%
746964105,QTTB,Q32 BIO INC,505451,-69365,833.99K,-114.45K,-12.1%,0.42%
68062P106,OLMA,OLEMA PHARMACEUTICALS INC,0,-25000,0,-145.75K,CLOSE,0%
G76279101,ROIV,ROIVANT SCIENCES LTD,120000,-15000,1.21M,-151.35K,-11.1%,0.61%
70450Y103,PYPL,PAYPAL HLDGS INC,45000,-2500,2.94M,-163.12K,-5.3%,1.5%
98985Y108,ZYME,ZYMEWORKS INC,0,-15000,0,-219.6K,CLOSE,0%
921659108,VNDA,VANDA PHARMACEUTICALS INC,325000,-67262,1.49M,-308.73K,-17.1%,0.75%
91822M502,VEON,VEON LTD,0,-9900,0,-396.99K,CLOSE,0%
34984V209,FET,FORUM ENERGY TECHNOLOGIES IN,52206,-22912,1.05M,-460.76K,-30.5%,0.53%
G2283U100,PEW,COLOMBIER ACQUISITION CORP I,0,-40000,0,-470K,CLOSE,0%
496902404,KGC,KINROSS GOLD CORP,0,-59580,0,-552.31K,CLOSE,0%
427746102,HRTX,HERON THERAPEUTICS INC,960000,-252743,2.11M,-556.03K,-20.8%,1.1%
38341P102,GOSS,GOSSAMER BIO INC,4849134,-522507,5.33M,-574.76K,-9.7%,2.7%
N90064101,QURE,UNIQURE NV,75000,-61708,795K,-654.1K,-45.1%,0.4%
640268108,NKTR,NEKTAR THERAPEUTICS,1068899,-963969,726.85K,-655.5K,-47.4%,0.37%
219798105,QDEL,QUIDELORTHO CORP,45000,-20000,1.57M,-699.4K,-30.8%,0.8%
644535106,NGD,NEW GOLD INC CDA,0,-300000,0,-744K,CLOSE,0%
912909108,X,UNITED STATES STL CORP NEW,0,-23000,0,-781.77K,CLOSE,0%
92556H206,PSKY,PARAMOUNT GLOBAL,900000,-75000,10.76M,-897K,-7.7%,5.4%
F21107101,CSTM,CONSTELLIUM SE,0,-96495,0,-991K,CLOSE,0%
977852102,WOLF,WOLFSPEED INC,0,-150000,0,-999K,CLOSE,0%
68622P109,ORIC,ORIC PHARMACEUTICALS INC,0,-135561,0,-1.09M,CLOSE,0%
G85158106,STNE,STONECO LTD,65000,-110000,681.2K,-1.15M,-62.9%,0.34%
37611X209,DNA,GINKGO BIOWORKS HOLDINGS INC,177500,-207164,1.01M,-1.18M,-53.9%,0.51%
G50871105,JAZZ,JAZZ PHARMACEUTICALS PLC,0,-10000,0,-1.23M,CLOSE,0%
28106W103,EDIT,EDITAS MEDICINE INC,0,-1069732,0,-1.36M,CLOSE,0%
G1890L107,CPRI,CAPRI HOLDINGS LIMITED,130000,-70000,2.56M,-1.38M,-35%,1.3%
013872106,AA,ALCOA CORP,0,-40000,0,-1.51M,CLOSE,0%
302491303,FMC,FMC CORP,0,-40000,0,-1.94M,CLOSE,0%
