CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
92826C839,V,VISA INC,31748,11.13M,11.13M,NEW,3.3%
615369105,MCO,MOODYS CORP,22136,10.31M,10.31M,NEW,3%
443201108,HWM,HOWMET AEROSPACE INC,72757,9.44M,9.44M,NEW,2.8%
084423102,WRB,BERKLEY W R CORP,232393,16.54M,9.4M,+131.8%,4.9%
494368103,KMB,KIMBERLY-CLARK CORP,92662,13.18M,7.2M,+120.3%,3.9%
501044101,KR,KROGER CO,99995,6.77M,6.77M,NEW,2%
22160K105,COST,COSTCO WHSL CORP NEW,15342,14.51M,6.59M,+83.3%,4.3%
375558103,GILD,GILEAD SCIENCES INC,120498,13.5M,5.24M,+63.5%,4%
278642103,EBAY,EBAY INC.,217429,14.73M,1.75M,+13.5%,4.3%
037833100,AAPL,APPLE INC,148803,33.05M,1M,+3.1%,9.7%
172908105,CTAS,CINTAS CORP,66610,13.69M,851.72K,+6.6%,4%
620076307,MSI,MOTOROLA SOLUTIONS INC,14009,6.13M,800.75K,+15%,1.8%
594918104,MSFT,MICROSOFT CORP,33213,12.47M,621.64K,+5.2%,3.7%
949746101,WFC,WELLS FARGO CO NEW,180418,12.95M,569.58K,+4.6%,3.8%
09857L108,BKNG,BOOKING HOLDINGS INC,2178,10.03M,225.74K,+2.3%,3%
194162103,CL,COLGATE PALMOLIVE CO,62097,5.82M,136.8K,+2.4%,1.7%
H42097107,UBS,UBS GROUP AG,201009,6.16M,95.2K,+1.6%,1.8%
11135F101,AVGO,BROADCOM INC,27216,4.56M,95.1K,+2.1%,1.3%
H50430232,LOGI,LOGITECH INTL S A,23203,1.96M,31.15K,+1.6%,0.58%
12572Q105,CME,CME GROUP INC,60001,15.92M,0,NO CHANGE,4.7%
464287200,IVV,ISHARES TR,13991,7.86M,0,NO CHANGE,2.3%
G54950103,LIN,LINDE PLC,667,310.58K,0,NO CHANGE,0.09%
893641100,TDG,TRANSDIGM GROUP INC,191,264.21K,0,NO CHANGE,0.08%
532457108,LLY,ELI LILLY & CO,283,233.73K,0,NO CHANGE,0.07%
136385101,CNQ,CANADIAN NAT RES LTD,7182,221.21K,0,NO CHANGE,0.07%
617446448,MS,MORGAN STANLEY,50235,5.86M,-1.61M,-21.6%,1.7%
629377508,NRG,NRG ENERGY INC,93152,8.89M,-2.43M,-21.5%,2.6%
023135106,AMZN,AMAZON COM INC,46315,8.81M,-2.44M,-21.7%,2.6%
025816109,AXP,AMERICAN EXPRESS CO,31561,8.49M,-2.65M,-23.8%,2.5%
30303M102,META,META PLATFORMS INC,25647,14.78M,-2.91M,-16.4%,4.4%
46625H100,JPM,JPMORGAN CHASE & CO.,61643,15.12M,-3.6M,-19.2%,4.5%
02079K305,GOOGL,ALPHABET INC,56174,8.69M,-5.43M,-38.5%,2.6%
64110L106,NFLX,NETFLIX INC,14360,13.39M,-5.98M,-30.9%,3.9%
778296103,ROST,ROSS STORES INC,0,0,-6.55M,CLOSE,0%
745867101,PHM,PULTE GROUP INC,0,0,-6.81M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,124049,13.44M,-7.2M,-34.9%,4%
G8994E103,TT,TRANE TECHNOLOGIES PLC,0,0,-13.27M,CLOSE,0%
Total,,,,339.21M,1.32M,+0.4%,100%
