CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
91324P102,UNH,UNITEDHEALTH GROUP INC COM,83996,23694,43.99M,12.41M,+39.3%,5.5%
337738108,FI,FISERV,281106,11077,62.08M,2.45M,+4.1%,7.8%
78468R663,BIL,SPDR BLOOMBERG 1-3 MONTH T-BIL,85539,26166,7.85M,2.4M,+44.1%,0.98%
G0403H108,AON,AON PLC REGISTERED SHS CL A,158553,5903,63.28M,2.36M,+3.9%,7.9%
803054204,SAP,SAP SE SPON ADR,235848,8178,63.31M,2.2M,+3.6%,7.9%
02079K107,GOOG,ALPHABET INC CAP STK CL C,357293,11476,55.82M,1.79M,+3.3%,7%
594918104,MSFT,MICROSOFT CORP COM,131323,4601,49.3M,1.73M,+3.6%,6.2%
023135106,AMZN,AMAZON COM INC COM,318336,8068,60.57M,1.54M,+2.6%,7.6%
36828A101,GEV,GE VERNOVA,122181,4970,37.3M,1.52M,+4.2%,4.7%
92826C839,V,VISA INC COM CL A,90240,3475,31.63M,1.22M,+4%,4%
369604301,GE,GE AEROSPACE,147204,5901,29.46M,1.18M,+4.2%,3.7%
907818108,UNP,UNION PACIFIC CORP.,137364,4978,32.45M,1.18M,+3.8%,4.1%
90353T100,UBER,UBER TECHNOLOGIES,425347,16008,30.99M,1.17M,+3.9%,3.9%
30303M102,META,META PLATFORMS INC CL A,52601,1995,30.32M,1.15M,+3.9%,3.8%
64110L106,NFLX,NETFLIX INC COM,35646,1178,33.24M,1.1M,+3.4%,4.2%
57636Q104,MA,MASTERCARD INC CL A,51076,1976,28M,1.08M,+4%,3.5%
46436E718,SGOV,ISHARES 0-3 MONTH TREASURY BON,35411,10656,3.56M,1.07M,+43%,0.45%
92840M102,VST,VISTRA CORP,215467,8772,25.3M,1.03M,+4.2%,3.2%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG CO SP,151056,5968,25.08M,990.69K,+4.1%,3.1%
G54950103,LIN,LINDE PLC,49195,1474,22.91M,686.35K,+3.1%,2.9%
11135F101,AVGO,BROADCOM,63527,2936,10.64M,491.57K,+4.8%,1.3%
443201108,HWM,HOWMET AEROSPACE,77366,3355,10.04M,435.24K,+4.5%,1.3%
144285103,CRS,CARPENTER TECHNOLOGY,49332,2256,8.94M,408.74K,+4.8%,1.1%
22160N109,CSGP,COSTAR GROUP INC COM,103841,2192,8.23M,173.67K,+2.2%,1%
084670108,BRKA,BERKSHIRE HATHAWAY INC CL A,1,0,798.44K,0,NO CHANGE,0.1%
084670702,BRKB,BERKSHIRE HATHAWAY INC CL B,1000,0,532.58K,0,NO CHANGE,0.07%
02079K305,GOOGL,ALPHABET INC. CL A,3400,0,525.78K,0,NO CHANGE,0.07%
21037T109,CEG,CONSTELLATION ENERGY,118209,-38728,23.83M,-7.81M,-24.7%,3%
Total,,,,,799.95M,33.93M,+4.2%,100%
