CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
87422Q109,TLN,TALEN ENERGY CORP,161483,161483,32.24M,32.24M,NEW,13.5%
958102105,WDC,WESTERN DIGITAL CORP,586129,511238,23.7M,20.67M,+682.6%,9.9%
29364G103,ETR,ENTERGY CORP NEW,226333,226333,19.35M,19.35M,NEW,8.1%
G3323L100,FN,FABRINET,48618,48618,9.6M,9.6M,NEW,4%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,146000,146000,7.33M,7.33M,NEW,3.1%
03831W108,APP,APPLOVIN CORP,72799,25608,19.29M,6.79M,+54.3%,8.1%
74164F103,PRIM,PRIMORIS SVCS CORP,173775,116888,9.98M,6.71M,+205.5%,4.2%
M6191J100,FROG,JFROG LTD,205024,205024,6.56M,6.56M,NEW,2.8%
60741F104,MBLY,MOBILEYE GLOBAL INC,453307,453307,6.53M,6.53M,NEW,2.7%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,55967,55967,4.75M,4.75M,NEW,2%
747525103,QCOM,QUALCOMM INC,30889,30889,4.74M,4.74M,NEW,2%
00724F101,ADBE,ADOBE INC,11568,11568,4.44M,4.44M,NEW,1.9%
833445109,SNOW,SNOWFLAKE INC,29635,29635,4.33M,4.33M,NEW,1.8%
91332U101,U,UNITY SOFTWARE INC,212621,212621,4.17M,4.17M,NEW,1.7%
20717M103,CFLT,CONFLUENT INC,123418,123418,2.89M,2.89M,NEW,1.2%
293594107,ENVX,ENOVIX CORPORATION,610997,347628,4.48M,2.55M,+132%,1.9%
82706C108,SIMO,SILICON MOTION TECHNOLOGY CO,81404,44579,4.12M,2.25M,+121.1%,1.7%
91823B109,UWMC,UWM HOLDINGS CORPORATION,374053,374053,2.04M,2.04M,NEW,0.86%
77311W101,RKT,ROCKET COS INC,163598,163598,1.97M,1.97M,NEW,0.83%
09352U108,BLND,BLEND LABS INC,522973,522973,1.75M,1.75M,NEW,0.73%
76655K103,RGTI,RIGETTI COMPUTING INC,16134,16134,127.78K,127.78K,NEW,0.05%
08975P108,CMRC,BIGCOMMERCE HLDGS INC,0,-299962,0,-1.84M,CLOSE,0%
73931J109,AIOT,POWERFLEET INC,0,-299427,0,-1.99M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,10402,-3827,5.72M,-2.1M,-26.9%,2.4%
45245E109,IMAX,IMAX CORP,127961,-82325,3.37M,-2.17M,-39.1%,1.4%
146869102,CVNA,CARVANA CO,68475,-10925,14.32M,-2.28M,-13.8%,6%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,0,-107432,0,-2.33M,CLOSE,0%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,0,-45200,0,-2.33M,CLOSE,0%
565394103,CART,MAPLEBEAR INC,256000,-63801,10.21M,-2.55M,-20%,4.3%
31188V100,FSLY,FASTLY INC,0,-304600,0,-2.88M,CLOSE,0%
57776J100,MXL,MAXLINEAR INC,0,-154554,0,-3.06M,CLOSE,0%
93403J106,WRBY,WARBY PARKER INC,0,-126304,0,-3.06M,CLOSE,0%
44812J104,HUT,HUT 8 CORP,270072,-280009,3.14M,-3.25M,-50.9%,1.3%
19260Q107,COIN,COINBASE GLOBAL INC,0,-14096,0,-3.5M,CLOSE,0%
25809K105,DASH,DOORDASH INC,0,-26058,0,-4.37M,CLOSE,0%
002896207,ANF,ABERCROMBIE & FITCH CO,0,-29394,0,-4.39M,CLOSE,0%
237194105,DRI,DARDEN RESTAURANTS INC,0,-23584,0,-4.4M,CLOSE,0%
513272104,LW,LAMB WESTON HLDGS INC,0,-68412,0,-4.57M,CLOSE,0%
23804L103,DDOG,DATADOG INC,0,-33375,0,-4.77M,CLOSE,0%
358054104,FRSH,FRESHWORKS INC,0,-310136,0,-5.01M,CLOSE,0%
N14506104,ESTC,ELASTIC N V,34396,-57517,3.06M,-5.12M,-62.6%,1.3%
98980F104,GTM,ZOOMINFO TECHNOLOGIES INC,0,-522752,0,-5.49M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,0,-89205,0,-7.49M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,27700,-49175,4.6M,-8.16M,-64%,1.9%
53229C107,LSPD,LIGHTSPEED COMMERCE INC,0,-546101,0,-8.32M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-38046,0,-8.82M,CLOSE,0%
49456B101,KMI,KINDER MORGAN INC DEL,0,-332000,0,-9.1M,CLOSE,0%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,0,-173465,0,-9.12M,CLOSE,0%
225310101,CACC,CREDIT ACCEP CORP MICH,0,-19502,0,-9.16M,CLOSE,0%
91879Q109,MTN,VAIL RESORTS INC,0,-53274,0,-9.99M,CLOSE,0%
90353T100,UBER,UBER TECHNOLOGIES INC,0,-219357,0,-13.23M,CLOSE,0%
013091103,ACI,ALBERTSONS COS INC,0,-697229,0,-13.69M,CLOSE,0%
21037T109,CEG,CONSTELLATION ENERGY CORP,0,-61788,0,-13.82M,CLOSE,0%
517834107,LVS,LAS VEGAS SANDS CORP,0,-338186,0,-17.37M,CLOSE,0%
64110L106,NFLX,NETFLIX INC,0,-20004,0,-17.83M,CLOSE,0%
580135101,MCD,MCDONALDS CORP,0,-61557,0,-17.84M,CLOSE,0%
070830104,BBWI,BATH & BODY WORKS INC,0,-473360,0,-18.35M,CLOSE,0%
852234103,XYZ,BLOCK INC,0,-231227,0,-19.65M,CLOSE,0%
83001C108,FUN,SIX FLAGS ENTERTAINMENT CORP,0,-416338,0,-20.06M,CLOSE,0%
90384S303,ULTA,ULTA BEAUTY INC,0,-51236,0,-22.28M,CLOSE,0%
855244109,SBUX,STARBUCKS CORP,0,-244909,0,-22.35M,CLOSE,0%
482497104,BEKE,KE HLDGS INC,0,-1412227,0,-26.01M,CLOSE,0%
16679L109,CHWY,CHEWY INC,206859,-955676,6.72M,-31.07M,-82.2%,2.8%
023135106,AMZN,AMAZON COM INC,0,-214820,0,-47.13M,CLOSE,0%
79466L302,CRM,SALESFORCE INC,48092,-196580,12.91M,-52.75M,-80.3%,5.4%
Total,,,,,238.45M,-343.27M,-56.1%,100%
