CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
20451N101,CMP,COMPASS MINERALS INTL INC,293792,293792,2.73M,2.73M,NEW,0.89%
N00985106,AER,AERCAP HOLDINGS NV,106703,13249,10.9M,1.35M,+14.2%,3.6%
907818108,UNP,UNION PAC CORP,23132,5426,5.46M,1.28M,+30.6%,1.8%
01609W102,BABA,ALIBABA GROUP HLDG LTD,80464,3785,10.64M,500.49K,+4.9%,3.5%
747525103,QCOM,QUALCOMM INC,139423,2828,21.42M,434.41K,+2.1%,7%
93627C101,HCC,WARRIOR MET COAL INC,276020,7758,13.17M,370.21K,+2.9%,4.3%
088929104,BGC,BGC GROUP INC,1683920,37714,15.44M,345.84K,+2.3%,5.1%
031162100,AMGN,AMGEN INC,48999,991,15.27M,308.75K,+2.1%,5%
87265H109,TPH,TRI POINTE HOMES INC,248584,9398,7.93M,299.98K,+3.9%,2.6%
G97822103,PRGO,PERRIGO CO PLC,208713,10584,5.85M,296.78K,+5.3%,1.9%
33833Q106,FPH,FIVE POINT HOLDINGS LLC,2236313,54141,11.94M,289.11K,+2.5%,3.9%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,27237,511,14.51M,272.15K,+1.9%,4.8%
446413106,HII,HUNTINGTON INGALLS INDS INC,4777,1312,974.61K,267.68K,+37.9%,0.32%
25787G100,DFIN,DONNELLEY FINL SOLUTIONS INC,229410,6114,10.03M,267.24K,+2.7%,3.3%
962166104,WY,WEYERHAEUSER CO MTN BE,353470,8748,10.35M,256.14K,+2.5%,3.4%
858586100,SCL,STEPAN CO,66838,4352,3.68M,239.53K,+7%,1.2%
844895102,SWX,SOUTHWEST GAS HLDGS INC,14811,3036,1.06M,217.98K,+25.8%,0.35%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,198796,6652,6.5M,217.65K,+3.5%,2.1%
002824100,ABT,ABBOTT LABS,1615,1615,214.23K,214.23K,NEW,0.07%
808513105,SCHW,SCHWAB CHARLES CORP,2695,2695,210.97K,210.97K,NEW,0.07%
29250N105,ENB,ENBRIDGE INC,25983,4753,1.15M,210.61K,+22.4%,0.38%
30231G102,XOM,EXXON MOBIL CORP,27800,1710,3.31M,203.37K,+6.6%,1.1%
46625H100,JPM,JPMORGAN CHASE & CO.,8885,811,2.18M,198.93K,+10%,0.71%
191216100,KO,COCA COLA CO,12857,2701,920.82K,193.45K,+26.6%,0.3%
26441C204,DUK,DUKE ENERGY CORP NEW,8072,1573,984.54K,191.86K,+24.2%,0.32%
009158106,APD,AIR PRODS & CHEMS INC,3242,645,956.15K,190.23K,+24.8%,0.31%
55261F104,MTB,M & T BK CORP,44715,1062,7.99M,189.83K,+2.4%,2.6%
372460105,GPC,GENUINE PARTS CO,6406,1561,763.21K,185.98K,+32.2%,0.25%
911312106,UPS,UNITED PARCEL SERVICE INC,7154,1684,786.91K,185.23K,+30.8%,0.26%
G5960L103,MDT,MEDTRONIC PLC,9467,2007,850.71K,180.35K,+26.9%,0.28%
20030N101,CMCSA,COMCAST CORP NEW,25532,4750,942.13K,175.28K,+22.9%,0.31%
09290D101,BLK,BLACKROCK INC,1033,185,977.91K,175.13K,+21.8%,0.32%
52110M109,LAZ,LAZARD INC,215059,4013,9.31M,173.76K,+1.9%,3.1%
540424108,L,LOEWS CORP,165025,1811,15.17M,166.45K,+1.1%,5%
