CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,7.54M,6.7%,7.54M,NEW
60937P106,MDB,MONGODB INC,11.4M,10.1%,6.23M,+120.3%
146869102,CVNA,CARVANA CO,8.2M,7.3%,4.37M,+114.2%
M7S64H106,MNDY,MONDAY COM LTD,4.23M,3.8%,4.23M,NEW
37637K108,GTLB,GITLAB INC,7.9M,7%,3.52M,+80.5%
02079K305,GOOGL,ALPHABET INC,11.6M,10.3%,3.12M,+36.7%
67066G104,NVDA,NVIDIA CORPORATION,7.73M,6.9%,3.1M,+67%
23804L103,DDOG,DATADOG INC,2.58M,2.3%,2.58M,NEW
N07059210,ASML,ASML HOLDING N V,7.6M,6.8%,2.47M,+48.1%
770700102,HOOD,ROBINHOOD MKTS INC,2.62M,2.3%,2.07M,+375.5%
023135106,AMZN,AMAZON COM INC,6.32M,5.6%,1.69M,+36.6%
458140100,INTC,INTEL CORP,2.61M,2.3%,794.85K,+43.8%
30303M102,META,META PLATFORMS INC,1.01M,0.9%,518.72K,+105.9%
781154109,RBRK,RUBRIK INC.,1.3M,1.2%,-862.93K,-39.9%
G6683N103,NU,NU HLDGS LTD,10.49M,9.3%,-1.54M,-12.8%
833445109,SNOW,SNOWFLAKE INC,2.63M,2.3%,-2.22M,-45.8%
58733R102,MELI,MERCADOLIBRE INC,0,0%,-2.42M,CLOSE
512807306,LRCX,LAM RESEARCH CORP,0,0%,-2.87M,CLOSE
90353T100,UBER,UBER TECHNOLOGIES INC,13.48M,12%,-3.02M,-18.3%
594918104,MSFT,MICROSOFT CORP,0,0%,-3.2M,CLOSE
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,3.18M,2.8%,-3.51M,-52.5%
94419L101,W,WAYFAIR INC,0,0%,-4.41M,CLOSE
22266T109,CPNG,COUPANG INC,0,0%,-8.23M,CLOSE
Total,,,112.41M,100%,7.07M,+6.7%
