CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,Nvidia Corporation,552000,59.83M,7.17M,+13.6%,27.3%
773122106,RKLB,Rocket Lab Corp,486000,8.69M,4.95M,+132.5%,4%
037833100,AAPL,Apple Inc,80850,17.96M,3.87M,+27.4%,8.2%
74347R206,QLD,Proshares Tr,43000,3.82M,3.82M,NEW,1.7%
00217D100,ASTS,Ast Spacemobile Inc,650500,14.79M,3.41M,+30%,6.8%
007903107,AMD,Advanced Micro Devices Inc,121300,12.46M,1.9M,+18%,5.7%
81762P102,NOW,Sevicenow Inc,5050,4.02M,1.55M,+62.9%,1.8%
88160R101,TSLA,Tesla Inc,7500,1.94M,1.43M,+275%,0.89%
594918104,MSFT,Microsoft Corp,32100,12.05M,863.4K,+7.7%,5.5%
023135106,AMZN,Amazon Com Inc,63700,12.12M,818.12K,+7.2%,5.5%
67079K100,SMR,Nuscale Pwr Corp,136700,1.94M,654.19K,+51%,0.88%
573874104,MRVL,Marvell Technology Inc,167000,10.28M,578.76K,+6%,4.7%
L8681T102,SPOT,Spotify Technology S A,40100,22.06M,0,NO CHANGE,10.1%
22788C105,CRWD,Crowdstrike Hldgs Inc,51000,17.98M,0,NO CHANGE,8.2%
833445109,SNOW,Snowflake Inc,76900,11.24M,0,NO CHANGE,5.1%
389637109,GBTC,Grayscale Bitcoin Trust Etf,107700,7.02M,0,NO CHANGE,3.2%
389930207,BTC,Grayscale Bitcoin Mini Tr Et,21540,786K,0,NO CHANGE,0.36%
72352L106,PINS,Pinterest Inc,0,0,-5.99M,CLOSE,0%
Total,,,,218.99M,-1.29M,-0.6%,100%
