CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88023B103,TEM,TEMPUS AI INC,177770,177770,8.58M,8.58M,NEW,49.4%
925050106,VRNA,VERONA PHARMA PLC,98329,98329,6.24M,6.24M,NEW,36%
03213A104,AMPL,AMPLITUDE INC,168474,168474,1.72M,1.72M,NEW,9.9%
G6683N103,NU,NU HOLDINGS LTD,71647,71647,733.66K,733.66K,NEW,4.2%
10920V404,NEUE,NEUEHEALTH INC,11201,0,75.72K,0,NO CHANGE,0.44%
03214Q108,AMPX,AMPRIUS TECHNOLOGIES INC,0,-87510,0,-245.03K,CLOSE,0%
20717M103,CFLT,CONFLUENT INC,0,-41292,0,-1.15M,CLOSE,0%
438333106,HNST,HONEST CO INC,0,-185666,0,-1.29M,CLOSE,0%
52466B103,LZ,LEGALZOOM COM INC,0,-317862,0,-2.39M,CLOSE,0%
770700102,HOOD,ROBINHOOD MKTS INC,0,-217503,0,-8.1M,CLOSE,0%
81730H109,S,SENTINELONE INC,0,-374387,0,-8.31M,CLOSE,0%
94724R108,WEAV,WEAVE COMMUNICATIONS INC,0,-1349365,0,-21.48M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,-127824,0,-57.19M,CLOSE,0%
Total,,,,,17.34M,-82.89M,-82.7%,100%
