CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
74762E102,PWR,QUANTA SCVS INC,1.35B,68.8%,25.16M,+1.9%
04271T100,ARRY,ARRAY TECHNOLOGIES INC,11.69M,0.6%,11.69M,NEW
267475101,DY,DYCOM INDS INC,565.52M,28.9%,8.95M,+1.6%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,20.12M,1%,7.5M,+59.4%
82489W107,SHLS,SHOALS TECHNOLOGIES GROUP IN,12.88M,0.7%,597.6K,+4.9%
023135106,AMZN,AMAZON COM INC,757.24K,0%,0,NO CHANGE
65339F101,NEE,NEXTERA ENERGY INC,459.72K,0%,0,NO CHANGE
651229106,NWL,NEWELL BRANDS INC,0,0%,-9.96M,CLOSE
65290E101,NXT,NEXTRACKER INC,0,0%,-13.88M,CLOSE
26884L109,EQT,EQT CORP,0,0%,-18.44M,CLOSE
92840M102,VST,VISTRA CORP,0,0%,-30.33M,CLOSE
20030N101,CMCSA,COMCAST CORP NEW,0,0%,-33.78M,CLOSE
90353T100,UBER,UBER TECHNOLOGIES INC,0,0%,-36.19M,CLOSE
Total,,,1.96B,100%,-502.22M,-20.4%
