CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
403949100,DINO,HF SINCLAIR CORP,56230,55600,1.85M,1.83M,+8825.4%,1.4%
84470P109,SBSI,SOUTHSIDE BANCSHARES INC,41675,41675,1.21M,1.21M,NEW,0.9%
G3730V105,FTAI,FTAI AVIATION LTD,305776,4055,33.95M,450.23K,+1.3%,25.2%
35953C106,FIP,FTAI INFRASTRUCTURE INC,1490744,69475,6.75M,314.72K,+4.9%,5%
13462K109,CWH,CAMPING WORLD HLDGS INC,32550,17350,526.01K,280.38K,+114.1%,0.39%
500754106,KHC,KRAFT HEINZ CO,45198,7050,1.38M,214.53K,+18.5%,1%
665531307,NOG,NORTHERN OIL & GAS INC,14200,5900,429.27K,178.36K,+71.1%,0.32%
112463104,BKD,BROOKDALE SR LIVING INC,217684,24500,1.36M,153.37K,+12.7%,1%
464287432,TLT,ISHARES TR,2800,1300,254.88K,118.34K,+86.7%,0.19%
35671D857,FCX,FREEPORT-MCMORAN INC,37860,2990,1.43M,113.2K,+8.6%,1.1%
01609W102,BABA,ALIBABA GROUP HLDG LTD,35699,821,4.72M,108.56K,+2.4%,3.5%
36472T109,TDAY,GANNETT CO INC,145987,36200,421.9K,104.62K,+33%,0.31%
464287762,IYH,ISHARES TR,1700,1700,103.51K,103.51K,NEW,0.08%
464287440,IEF,ISHARES TR,1000,1000,95.37K,95.37K,NEW,0.07%
595112103,MU,MICRON TECHNOLOGY INC,4312,1096,374.67K,95.23K,+34.1%,0.28%
023135106,AMZN,AMAZON COM INC,8145,450,1.55M,85.62K,+5.8%,1.1%
53814X102,LVO,LIVEONE INC,176425,112385,123.32K,78.56K,+175.5%,0.09%
G1466R173,BORR,BORR DRILLING LTD,120000,34200,262.8K,74.9K,+39.9%,0.19%
644393100,NFE,NEW FORTRESS ENERGY INC,755393,9000,6.28M,74.79K,+1.2%,4.7%
293594107,ENVX,ENOVIX CORPORATION,20700,10000,151.94K,73.4K,+93.5%,0.11%
007903107,AMD,ADVANCED MICRO DEVICES INC,3495,700,359.08K,71.92K,+25%,0.27%
02079K305,GOOGL,ALPHABET INC,1647,320,254.69K,49.48K,+24.1%,0.19%
G1890L107,CPRI,CAPRI HOLDINGS LIMITED,2400,2400,47.35K,47.35K,NEW,0.04%
90353T100,UBER,UBER TECHNOLOGIES INC,520,520,37.89K,37.89K,NEW,0.03%
127097103,CTRA,COTERRA ENERGY INC,139041,1124,4.02M,32.48K,+0.8%,3%
370334104,GIS,GENERAL MLS INC,620,500,37.07K,29.9K,+416.7%,0.03%
74967X103,RH,RH,300,100,70.32K,23.44K,+50%,0.05%
520776105,DSGR,DISTRIBUTION SOLUTIONS GRP I,800,800,22.4K,22.4K,NEW,0.02%
63008G203,NNDM,NANO DIMENSION LTD,14000,14000,22.26K,22.26K,NEW,0.02%
70450Y103,PYPL,PAYPAL HLDGS INC,8256,300,538.7K,19.57K,+3.8%,0.4%
22275C105,PODC,PODCASTONE INC,16724,9200,26.93K,14.81K,+122.3%,0.02%
L0175J104,ASPS,ALTISOURCE PORTFOLIO SOLNS S,33000,21000,22.47K,14.3K,+175%,0.02%
651229106,NWL,NEWELL BRANDS INC,66224,2000,410.59K,12.4K,+3.1%,0.3%
811292200,SCYX,SCYNEXIS INC,12000,12000,11.43K,11.43K,NEW,<.01%
816851109,SRE,SEMPRA,430,140,30.68K,9.99K,+48.3%,0.02%
74640Y106,PRPL,PURPLE INNOVATION INC,6451,6451,4.9K,4.9K,NEW,<.01%
21037T109,CEG,CONSTELLATION ENERGY CORP,50,20,10.08K,4.03K,+66.7%,<.01%
670100205,NVO,NOVO-NORDISK A S,240,50,16.67K,3.47K,+26.3%,0.01%
75134P501,METCB,RAMACO RES INC,105,55,747,391.29,+110%,<.01%
29273V100,ET,ENERGY TRANSFER L P,113656,0,2.11M,0,NO CHANGE,1.6%
55336V100,MPLX,MPLX LP,30823,0,1.65M,0,NO CHANGE,1.2%
532457108,LLY,ELI LILLY & CO,1900,0,1.57M,0,NO CHANGE,1.2%
71425H100,PVL,PERMIANVILLE RTY TR,902508,0,1.41M,0,NO CHANGE,1%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,22810,0,1.39M,0,NO CHANGE,1%
58933Y105,MRK,MERCK & CO INC,12979,0,1.16M,0,NO CHANGE,0.86%
25179M103,DVN,DEVON ENERGY CORP NEW,16422,0,614.18K,0,NO CHANGE,0.46%
742718109,PG,PROCTER AND GAMBLE CO,3597,0,613K,0,NO CHANGE,0.45%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,1600,0,488.85K,0,NO CHANGE,0.36%
001055102,AFL,AFLAC INC,4000,0,444.76K,0,NO CHANGE,0.33%
437076102,HD,HOME DEPOT INC,1155,0,423.3K,0,NO CHANGE,0.31%
00162Q452,AMLP,ALPS ETF TR,8028,0,416.97K,0,NO CHANGE,0.31%
