CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
11135F101,AVGO,BROADCOM INC,4696398,3975287,786.32M,665.58M,+551.3%,1.2%
02079K305,GOOGL,ALPHABET INC,3526496,3176498,545.31M,491.19M,+907.6%,0.85%
79466L302,CRM,SALESFORCE INC,2449882,1805618,657.45M,484.56M,+280.3%,1%
037833100,AAPL,APPLE INC,2128050,2127109,472.67M,472.46M,+226047.7%,0.73%
81762P102,NOW,SERVICENOW INC,607082,592899,483.32M,472.03M,+4180.3%,0.75%
30303M102,META,META PLATFORMS INC,1380576,813519,795.62M,468.82M,+143.5%,1.2%
931142103,WMT,WALMART INC,6768560,4533760,594.21M,398.02M,+202.9%,0.92%
594918104,MSFT,MICROSOFT CORP,1110998,1013481,417.04M,380.43M,+1039.3%,0.65%
023135106,AMZN,AMAZON COM INC,2503416,1818721,476.22M,345.97M,+265.6%,0.74%
17275R102,CSCO,CISCO SYS INC,6224853,4743721,384.14M,292.74M,+320.3%,0.6%
00287Y109,ABBV,ABBVIE INC,2132478,1343860,446.8M,281.57M,+170.4%,0.69%
46090E103,QQQ,INVESCO QQQ TR,777663,583246,364.66M,273.5M,+300%,0.57%
717081103,PFE,PFIZER INC,10711578,10711578,271.43M,271.43M,NEW,0.42%
573874104,MRVL,MARVELL TECHNOLOGY INC,4300420,4300420,264.78M,264.78M,NEW,0.41%
375558103,GILD,GILEAD SCIENCES INC,2357286,2357286,264.13M,264.13M,NEW,0.41%
910047109,UAL,UNITED AIRLS HLDGS INC,3892975,3772932,268.81M,260.52M,+3143%,0.42%
29444U700,EQIX,EQUINIX INC,338474,298278,275.97M,243.2M,+742.1%,0.43%
693475105,PNC,PNC FINL SVCS GROUP INC,1752218,1358240,307.99M,238.74M,+344.8%,0.48%
46120E602,ISRG,INTUITIVE SURGICAL INC,455936,455936,225.81M,225.81M,NEW,0.35%
713448108,PEP,PEPSICO INC,3670074,1493877,550.29M,223.99M,+68.6%,0.85%
126408103,CSX,CSX CORP,10212680,7489303,300.56M,220.41M,+275%,0.47%
67066G104,NVDA,NVIDIA CORPORATION,3040092,2032413,329.49M,220.27M,+201.7%,0.51%
247361702,DAL,DELTA AIR LINES INC DEL,8427746,5000498,367.45M,218.02M,+145.9%,0.57%
040413205,ANET,ARISTA NETWORKS INC,3982120,2759655,308.53M,213.82M,+225.7%,0.48%
254687106,DIS,DISNEY WALT CO,2318677,2093119,228.85M,206.59M,+928%,0.36%
406216101,HAL,HALLIBURTON CO,8041414,8041414,204.01M,204.01M,NEW,0.32%
87165B103,SYF,SYNCHRONY FINANCIAL,4317060,3695362,228.55M,195.63M,+594.4%,0.35%
032654105,ADI,ANALOG DEVICES INC,969655,969655,195.55M,195.55M,NEW,0.3%
101137107,BSX,BOSTON SCIENTIFIC CORP,2960133,1915075,298.62M,193.19M,+183.3%,0.46%
46625H100,JPM,JPMORGAN CHASE & CO.,776249,776249,190.41M,190.41M,NEW,0.3%
09260D107,BX,BLACKSTONE INC,1329750,1329750,185.87M,185.87M,NEW,0.29%
487836108,K,KELLANOVA,2175024,2175024,179.42M,179.42M,NEW,0.28%
75886F107,REGN,REGENERON PHARMACEUTICALS,702892,261238,445.8M,165.68M,+59.1%,0.69%
