CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
146869102,CVNA,CARVANA CO,46.61M,6.6%,46.61M,NEW
23804L103,DDOG,DATADOG INC,32.49M,4.6%,32.49M,NEW
76131D103,QSR,RESTAURANT BRANDS INTL INC,81.21M,11.5%,28.34M,+53.6%
038222105,AMAT,APPLIED MATLS INC,47.84M,6.8%,21.95M,+84.8%
29362U104,ENTG,ENTEGRIS INC,67.75M,9.6%,21.2M,+45.5%
126408103,CSX,CSX CORP,67.09M,9.5%,13.88M,+26.1%
594918104,MSFT,MICROSOFT CORP,76.52M,10.9%,13.75M,+21.9%
98138H101,WDAY,WORKDAY INC,54.3M,7.7%,11.57M,+27.1%
023135106,AMZN,AMAZON COM INC,46.83M,6.7%,10.88M,+30.3%
57060D108,MKTX,MARKETAXESS HLDGS INC,7.4M,1.1%,7.4M,NEW
09581B103,OWL,BLUE OWL CAPITAL INC,39.37M,5.6%,4.73M,+13.6%
573874104,MRVL,MARVELL TECHNOLOGY INC,30.57M,4.3%,4.26M,+16.2%
264147109,DCO,DUCOMMUN INC DEL,36.49M,5.2%,4.15M,+12.8%
57636Q104,MA,MASTERCARD INCORPORATED,0,0%,-2.45M,CLOSE
03990B101,ARES,ARES MANAGEMENT CORPORATION,0,0%,-4.48M,CLOSE
53566V106,LINE,LINEAGE INC,0,0%,-4.88M,CLOSE
25809K105,DASH,DOORDASH INC,31.14M,4.4%,-6.59M,-17.5%
03769M106,APO,APOLLO GLOBAL MGMT INC,16.06M,2.3%,-15.92M,-49.8%
02079K305,GOOGL,ALPHABET INC,0,0%,-16.84M,CLOSE
79466L302,CRM,SALESFORCE INC,0,0%,-18.32M,CLOSE
03064D108,COLD,AMERICOLD REALTY TRUST INC,21.75M,3.1%,-19.18M,-46.9%
363576109,AJG,GALLAGHER ARTHUR J & CO,0,0%,-28.35M,CLOSE
78462F103,SPY,SPDR S&P 500 ETF TR,0,0%,-41.9M,CLOSE
Total,,,703.42M,100%,-1.63M,-0.2%
