CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
88642R109,TDW,TIDEWATER INC,120.75M,24.2%,9.45M,+8.5%
043436104,ABG,ASBURY AUTOMOTIVE GROUP,4.48M,0.9%,4.48M,NEW
12008R107,BLDR,BUILDERS FIRSTSOURCE INC,51.69M,10.4%,2.45M,+5%
52472M101,LEGH,LEGACY HOUSING CORP,5.58M,1.1%,2.35M,+72.8%
78413P101,SMHI,SEACOR MARINE HOLDINGS INC,4.28M,0.9%,1.54M,+56%
80004C200,SNDK,SANDISK CORP,1.32M,0.3%,1.32M,NEW
00402L107,ASO,ACADEMY SPORTS & OUTDOORS IN,4.38M,0.9%,643.33K,+17.2%
443628102,HBM,HUDBAY MINERALS INC,600.03K,0.1%,600.03K,NEW
031652100,AMKR,AMKOR TECHNOLOGY INC,4.46M,0.9%,559.68K,+14.4%
032159105,AXR,AMREP CORP NEW,10.51M,2.1%,460.95K,+4.6%
459200101,IBM,INTERNATIONAL BUSINESS MACHINES CORP,248.66K,0%,248.66K,NEW
G7997W102,SDRL,SEADRILL 2021 LTD,401.25K,0.1%,200K,+99.4%
958102105,WDC,WESTERN DIGITAL CORP,3.5M,0.7%,121.29K,+3.6%
12532H104,GIB,CGI INC,1.35M,0.3%,99.83K,+8%
680665205,OLN,OLIN CORP NEW,2.8M,0.6%,74.17K,+2.7%
127190304,CACI,CACI INTL INC,1.39M,0.3%,73.38K,+5.6%
45774W108,IIIN,INSTEEL INDUSTRIES INC,7.94M,1.6%,65.62K,+0.8%
185599101,CLF,CLEVELAND-CLIFFS INC NEW,534.3K,0.1%,41.1K,+8.3%
960413102,WLK,WESTLAKE CHEM CORP,16.47M,3.3%,39.71K,+0.2%
136635109,CSIQ,CANADIAN SOLAR INC,4.25M,0.9%,25.95K,+0.6%
69291A100,PHX,PHX MINERALS INC,67.85K,0%,11.14K,+19.7%
894164102,TNL,TRAVEL PLUS LEISURE CO,5.79M,1.2%,5.09K,+0.1%
037833100,AAPL,APPLE INC,233.32K,0%,222,+0.1%
33833Q106,FPH,FIVE POINT HOLDINGS LLC,36.2M,7.3%,0,NO CHANGE
878742204,TECK,TECK RESOURCES INC,3.64M,0.7%,0,NO CHANGE
817070501,SENEA,SENECA FOODS CORP,2.12M,0.4%,0,NO CHANGE
G9460G101,VAL,VALARIS LIMITED,2.06M,0.4%,0,NO CHANGE
81141R100,SE,SEA LTD,1.96M,0.4%,0,NO CHANGE
75282U104,RNGR,RANGER ENERGY SVCS INC,1.42M,0.3%,0,NO CHANGE
011532108,AGI,ALAMOS GOLD INCORPORATED,1.27M,0.3%,0,NO CHANGE
023586506,UHALB,U HAUL HOLDING COMPANY,1.01M,0.2%,0,NO CHANGE
008474108,AEM,AGNICO EAGLE MINES LTD,813.08K,0.2%,0,NO CHANGE
617446448,MS,MORGAN STANLEY,783.44K,0.2%,0,NO CHANGE
047649108,ATKR,ATKORE INC,749.88K,0.2%,0,NO CHANGE
71654V408,PBR,PETROLEO BRASILEIRO SA PETRO,717K,0.1%,0,NO CHANGE
783754104,RYI,RYERSON HLDG CORP,596.96K,0.1%,0,NO CHANGE
007973100,AEIS,ADVANCED ENERGY INDS,450.34K,0.1%,0,NO CHANGE
Y41053102,INSW,INTERNATIONAL SEAWAYS INC,332K,0.1%,0,NO CHANGE
58933Y105,MRK,MERCK & CO INC NEW,269.28K,0.1%,0,NO CHANGE
25820R105,DMLP,DORCHESTER MINERALS,226.35K,0%,0,NO CHANGE
53635B107,LQDT,LIQUIDITY SERVICES INC,218.62K,0%,0,NO CHANGE
G5784H106,MANU,MANCHESTER UTD PLC NEW,196.35K,0%,0,NO CHANGE
G6375R107,NESR,NATIONAL ENERGY SERVICES REU,73.6K,0%,0,NO CHANGE
74880P104,QIPT,QUIPT HOME MEDICAL CORP,41.47K,<.01%,0,NO CHANGE
M0740A116,DRTS,ALPHA TAU MEDICAL LTD,11.88K,<.01%,0,NO CHANGE
546347105,LPX,LOUISIANA PAC CORP,7.28M,1.5%,-2.02K,-0%
43283X105,HGV,HILTON GRAND VACATIONS INC,570.88K,0.1%,-9.35K,-1.6%
750491102,RDNT,RADNET INC,9.6M,1.9%,-30.43K,-0.3%
235825205,DAN,DANA HOLDING CORP,2.3M,0.5%,-30.66K,-1.3%
G65431127,NE,NOBLE CORP NEW,3.63M,0.7%,-36.5K,-1%
533900106,LECO,LINCOLN ELEC HLDGS INC,9.48M,1.9%,-39.91K,-0.4%
502160104,LXU,LSB INDS INC,28.2M,5.7%,-56.9K,-0.2%
01973R101,ALSN,ALLISON TRANSMISSION HLDGS INC,5.66M,1.1%,-58.36K,-1%
136385101,CNQ,CANADIAN NAT RES LTD,10.33M,2.1%,-61.29K,-0.6%
402307102,GIFI,GULF IS FABRICATION INC,0,0%,-68.1K,CLOSE
N00985106,AER,AERCAP HOLDINGS NV,11.09M,2.2%,-117.39K,-1%
740444104,PLPC,PREFORMED LINE PRODS CO,2.59M,0.5%,-212.38K,-7.6%
Y62132108,NVGS,NAVIGATOR HOLDINGS PLC,9.79M,2%,-315.26K,-3.1%
015658107,ASTL,ALGOMA STL GROUP INC,487.8K,0.1%,-325.2K,-40%
09260D107,BX,BLACKSTONE INC,0,0%,-355.63K,CLOSE
30292L107,FRPH,FRP HLDGS INCORPORATED,257.13K,0.1%,-371.41K,-59.1%
149568107,CVCO,CAVCO INDS INC DEL,20.96M,4.2%,-553.4K,-2.6%
03938L203,MT,ARCELORMITTAL SA LUXEMBOURG,9.95M,2%,-668.45K,-6.3%
952845105,WFG,WEST FRASER TIMBER CO LTD,22.85M,4.6%,-2.59M,-10.2%
47233W109,JEF,JEFFERIES FINL GROUP INC,18.4M,3.7%,-3.45M,-15.8%
830830105,SKY,CHAMPION HOMES INC,6.88M,1.4%,-5.34M,-43.7%
G87110105,FTI,TECHNIPFMC PLC,6.44M,1.3%,-9.14M,-58.7%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,4.13M,0.8%,-10.73M,-72.2%
Total,,,499.06M,100%,-70.71M,-12.4%
