CUSIP,Ticker,Company,Value,Portfolio%,Delta_Value,Delta
74275K108,PCOR,PROCORE TECHNOLOGIES INC,60.62M,2.5%,23.84M,+64.8%
808513105,SCHW,SCHWAB CHARLES CORP,264.11M,11%,7.83M,+3.1%
G4412G101,HLF,HERBALIFE LTD,40.87M,1.7%,5.3M,+14.9%
91324P102,UNH,UNITEDHEALTH GROUP INC,228.15M,9.5%,0,NO CHANGE
883556102,TMO,THERMO FISHER SCIENTIFIC INC,115.66M,4.8%,0,NO CHANGE
02079K305,GOOGL,ALPHABET INC,53.65M,2.2%,0,NO CHANGE
42703MAF0,HLF,HERBALIFE LTD,51.36M,2.1%,0,NO CHANGE
L00849106,AGRO,ADECOAGRO SA,95.08M,4%,-4.34M,-4.4%
650111107,NYT,NEW YORK TIMES CO,183.48M,7.6%,-4.71M,-2.5%
737446104,POST,POST HLDGS INC,471.08M,19.6%,-14.67M,-3%
02079K107,GOOG,ALPHABET INC,116.45M,4.9%,-16.4M,-12.3%
023135106,AMZN,AMAZON COM INC,242.88M,10.1%,-30.11M,-11%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,384.36M,16%,-37.47M,-8.9%
79466L302,CRM,SALESFORCE INC,90.88M,3.8%,-53.26M,-36.9%
Total,,,2.4B,100%,-161.21M,-6.3%
