CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
060505104,BAC,BANK AMERICA CORP,48850690,2.04B,1.1B,+117%,3%
90384S303,ULTA,ULTA BEAUTY INC,1190170,436.24M,436.24M,NEW,0.65%
92826C839,V,VISA INC,3182370,1.12B,424.42M,+61.4%,1.7%
722304102,PDD,PDD HOLDINGS INC,7018165,830.6M,220.52M,+36.1%,1.2%
023135106,AMZN,AMAZON COM INC,13759910,2.62B,182.03M,+7.5%,3.9%
57636Q104,MA,MASTERCARD INCORPORATED,1487810,815.5M,172.93M,+26.9%,1.2%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,18315348,1.56B,151.65M,+10.8%,2.3%
910047109,UAL,UNITED AIRLS HLDGS INC,14553975,1B,48.73M,+5.1%,1.5%
247361702,DAL,DELTA AIR LINES INC DEL,30691939,1.34B,40.44M,+3.1%,2%
78462F103,SPY,SPDR S&P 500 ETF TR,821392,459.48M,5.54M,+1.2%,0.69%
922042775,VEU,VANGUARD INTL EQUITY INDEX F,5328719,323.24M,3.34M,+1%,0.48%
666807102,NOC,NORTHROP GRUMMAN CORP,2018834,1.03B,789.52K,+0.1%,1.5%
949746101,WFC,WELLS FARGO CO NEW,152720,10.96M,0,NO CHANGE,0.02%
824596100,SHG,SHINHAN FINANCIAL GROUP CO L,173706,5.57M,-38.17K,-0.7%,<.01%
G3265R107,APTV,APTIV PLC,834862,49.67M,-341.53K,-0.7%,0.07%
87165B103,SYF,SYNCHRONY FINANCIAL,23307,1.23M,-400.23K,-24.5%,<.01%
806857108,SLB,SCHLUMBERGER LTD,10683260,446.56M,-615.5K,-0.1%,0.67%
404280406,HSBC,HSBC HLDGS PLC,2968720,170.49M,-712.13K,-0.4%,0.25%
639057207,NWG,NATWEST GROUP PLC,231024,2.75M,-721.66K,-20.8%,<.01%
444859102,HUM,HUMANA INC,1191951,315.39M,-729.5K,-0.2%,0.47%
456837103,ING,ING GROEP N.V.,179135,3.51M,-782.25K,-18.2%,<.01%
00287Y109,ABBV,ABBVIE INC,548763,114.98M,-787.79K,-0.7%,0.17%
89832Q109,TFC,TRUIST FINL CORP,2165462,89.11M,-854.44K,-0.9%,0.13%
904767704,UL,UNILEVER PLC,118880,7.08M,-869.43K,-10.9%,0.01%
002824100,ABT,ABBOTT LABS,1186535,157.39M,-965.16K,-0.6%,0.24%
406216101,HAL,HALLIBURTON CO,24163891,613.04M,-5.3M,-0.9%,0.92%
713448108,PEP,PEPSICO INC,5103217,765.18M,-5.34M,-0.7%,1.1%
036752103,ELV,ELEVANCE HEALTH INC,4672768,2.03B,-5.82M,-0.3%,3%
172967424,C,CITIGROUP INC,12146885,862.31M,-6.46M,-0.7%,1.3%
369550108,GD,GENERAL DYNAMICS CORP,4182036,1.14B,-8.28M,-0.7%,1.7%
046353108,AZN,ASTRAZENECA PLC,15068986,1.11B,-8.65M,-0.8%,1.7%
867224107,SU,SUNCOR ENERGY INC NEW,25429950,984.65M,-8.94M,-0.9%,1.5%
09857L108,BKNG,BOOKING HOLDINGS INC,283119,1.3B,-8.96M,-0.7%,1.9%
742718109,PG,PROCTER AND GAMBLE CO,7297102,1.24B,-9.65M,-0.8%,1.9%
75513E101,RTX,RTX CORPORATION,9432979,1.25B,-11.88M,-0.9%,1.9%
89677Q107,TCOM,TRIP COM GROUP LTD,9460414,601.49M,-15.1M,-2.4%,0.9%
01609W102,BABA,ALIBABA GROUP HLDG LTD,8757019,1.16B,-18.55M,-1.6%,1.7%
91324P102,UNH,UNITEDHEALTH GROUP INC,5217526,2.73B,-21.51M,-0.8%,4.1%
125523100,CI,THE CIGNA GROUP,7989436,2.63B,-21.56M,-0.8%,3.9%
40412C101,HCA,HCA HEALTHCARE INC,11565147,4B,-31.24M,-0.8%,6%
594918104,MSFT,MICROSOFT CORP,13222215,4.96B,-37.49M,-0.7%,7.4%
02079K107,GOOG,ALPHABET INC,33239953,5.19B,-41.34M,-0.8%,7.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,41523782,6.89B,-58.71M,-0.8%,10.3%
30303M102,META,META PLATFORMS INC,11967872,6.9B,-68.64M,-1%,10.3%
46625H100,JPM,JPMORGAN CHASE & CO.,7765918,1.9B,-118.84M,-5.9%,2.8%
337738108,FI,FISERV INC,2303588,508.7M,-520.85M,-50.6%,0.76%
037833100,AAPL,APPLE INC,14342174,3.19B,-711.98M,-18.3%,4.8%
Total,,,,66.91B,-1.48B,-2.2%,100%
