CUSIP,Ticker,Company,Shares,Value,Delta_Value,Delta,Portfolio%
518439104,EL,LAUDER ESTEE COS INC,200000,13.2M,6.6M,+100%,100%
135086106,GOOS,CANADA GOOSE HLDGS INC,0,0,-249.12K,CLOSE,0%
910710102,ACIC,AMERICAN COASTAL INS CORP,0,0,-1.97M,CLOSE,0%
687793109,OSCR,OSCAR HEALTH INC,0,0,-2.69M,CLOSE,0%
55939A107,MAGN,MAGNERA CORP,0,0,-3.63M,CLOSE,0%
918204108,VFC,V F CORP,0,0,-4.29M,CLOSE,0%
116794108,BRKR,BRUKER CORP,0,0,-4.4M,CLOSE,0%
40412C101,HCA,HCA HEALTHCARE INC,0,0,-4.5M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,0,0,-7.27M,CLOSE,0%
60855R100,MOH,MOLINA HEALTHCARE INC,0,0,-7.28M,CLOSE,0%
47215P106,JD,JD.COM INC,0,0,-10.4M,CLOSE,0%
056752108,BIDU,BAIDU INC,0,0,-10.54M,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,0,-12.72M,CLOSE,0%
Total,,,,13.2M,-64.24M,-83%,100%
