CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464286608,EZU,ISHARES INC,52927,52927,2.96M,2.96M,NEW,2.6%
84858T772,EUAD,SPINNAKER ETF SERIES,56047,56047,1.97M,1.97M,NEW,1.7%
37954Y293,MLPX,GLOBAL X FDS,36563,30843,2.25M,1.9M,+539.2%,2%
464287440,IEF,ISHARES TR,18844,18844,1.81M,1.81M,NEW,1.6%
15101Q207,CLS,CELESTICA INC,18515,18515,1.61M,1.61M,NEW,1.4%
09174C104,BITB,BITWISE BITCOIN ETF TR,27869,27869,1.45M,1.45M,NEW,1.3%
88160R101,TSLA,TESLA INC,8283,4861,2.42M,1.42M,+142.1%,2.1%
24664T103,DKL,DELEK LOGISTICS PARTNERS LP,35128,35128,1.41M,1.41M,NEW,1.2%
63010H108,NNE,NANO NUCLEAR ENERGY INC,66034,54438,1.54M,1.27M,+469.5%,1.3%
674599105,OXY,OCCIDENTAL PETE CORP,77519,31206,3.13M,1.26M,+67.4%,2.7%
281020107,EIX,EDISON INTL,20364,20364,1.2M,1.2M,NEW,1%
72201R585,PYLD,PIMCO ETF TR,89174,37948,2.34M,994.62K,+74.1%,2%
773122106,RKLB,ROCKET LAB USA INC,130274,42944,2.92M,961.95K,+49.2%,2.6%
27828Y108,ETV,EATON VANCE TAX-MANAGED BUY-,156540,34695,2.03M,449.3K,+28.5%,1.8%
00206R102,T,AT&T INC,87354,12757,2.38M,348.27K,+17.1%,2.1%
71424F105,PR,PERMIAN RESOURCES CORP,98240,26961,1.2M,328.92K,+37.8%,1.1%
02209S103,MO,ALTRIA GROUP INC,25071,4913,1.47M,288.74K,+24.4%,1.3%
36828A101,GEV,GE VERNOVA INC,9088,734,3.37M,272.45K,+8.8%,3%
969457100,WMB,WILLIAMS COS INC,24744,4156,1.48M,247.99K,+20.2%,1.3%
64110L106,NFLX,NETFLIX INC,215,215,242.01K,242.01K,NEW,0.21%
464287465,EFA,ISHARES TR,2655,2655,225.28K,225.28K,NEW,0.2%
149123101,CAT,CATERPILLAR INC,710,710,218.4K,218.4K,NEW,0.19%
22160K105,COST,COSTCO WHSL CORP NEW,211,211,209.25K,209.25K,NEW,0.18%
37954Y483,QYLD,GLOBAL X FDS,72161,12811,1.18M,208.82K,+21.6%,1%
33734X846,CIBR,FIRST TR EXCHANGE TRADED FD,3133,3133,208.31K,208.31K,NEW,0.18%
035710839,NLY,ANNALY CAPITAL MANAGEMENT IN,59373,10334,1.16M,202.75K,+21.1%,1%
427096508,HTGC,HERCULES CAPITAL INC,75696,10571,1.37M,191.86K,+16.2%,1.2%
68622V106,OGN,ORGANON & CO,56363,14214,741.74K,187.06K,+33.7%,0.65%
293828877,XOVR,ENTREPRENEURSHARES SERIES TR,10867,10867,179.31K,179.31K,NEW,0.16%
97717W315,DEM,WISDOMTREE TR,24020,4216,1.01M,177.32K,+21.3%,0.89%
055622104,BP,BP PLC,54441,6156,1.53M,172.8K,+12.7%,1.3%
56035L104,MAIN,MAIN STR CAP CORP,26233,3004,1.42M,162.87K,+12.9%,1.2%
03761U502,MFIC,MIDCAP FINANCIAL INVSTMNT CO,68570,12651,826.27K,152.44K,+22.6%,0.72%
767204100,RIO,RIO TINTO PLC,21778,2278,1.33M,138.68K,+11.7%,1.2%
464288760,ITA,ISHARES TR,16988,723,2.66M,113.1K,+4.4%,2.3%
302635206,FSK,FS KKR CAP CORP,36615,5452,736.69K,109.69K,+17.5%,0.65%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,7949,234,3.43M,100.85K,+3%,3%
084670702,BRKB,BERKSHIRE HATHAWAY INC DEL,749,149,400.39K,79.65K,+24.8%,0.35%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,13253,339,2.93M,75K,+2.6%,2.6%
75513E101,RTX,RTX CORPORATION,9244,381,1.16M,47.9K,+4.3%,1%
45784P101,PODD,INSULET CORP,8192,182,2.06M,45.73K,+2.3%,1.8%
81369Y308,XLP,SELECT SECTOR SPDR TR,25500,477,2.07M,38.75K,+1.9%,1.8%
922908736,VUG,VANGUARD INDEX FDS,6822,83,2.58M,31.44K,+1.2%,2.3%
896239100,TRMB,TRIMBLE INC,13795,445,854.6K,27.57K,+3.3%,0.75%
68389X105,ORCL,ORACLE CORP,1754,118,246.95K,16.61K,+7.2%,0.22%
92343V104,VZ,VERIZON COMMUNICATIONS INC,7302,265,313.62K,11.38K,+3.8%,0.27%
92189F676,SMH,VANECK ETF TRUST,1317,53,276.95K,11.15K,+4.2%,0.24%
037833100,AAPL,APPLE INC,1523,51,321.75K,10.77K,+3.5%,0.28%
369550108,GD,GENERAL DYNAMICS CORP,917,37,249.5K,10.07K,+4.2%,0.22%
38141G104,GS,GOLDMAN SACHS GROUP INC,1005,0,551.66K,0,NO CHANGE,0.48%
91529Y106,UNM,UNUM GROUP,5501,0,435.9K,0,NO CHANGE,0.38%
747525103,QCOM,QUALCOMM INC,2450,0,359.86K,0,NO CHANGE,0.32%
94106L109,WM,WASTE MGMT INC DEL,1200,0,274.56K,0,NO CHANGE,0.24%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,941,0,225.27K,0,NO CHANGE,0.2%
98389B100,XEL,XCEL ENERGY INC,3124,0,220.77K,0,NO CHANGE,0.19%
60255C885,MNMD,MIND MEDICINE MINDMED INC,10165,0,64.04K,0,NO CHANGE,0.06%
74640Y106,PRPL,PURPLE INNOVATION INC,10460,0,6.92K,0,NO CHANGE,<.01%
00766T100,ACM,AECOM,20447,-39,2.01M,-3.83K,-0.2%,1.8%
931142103,WMT,WALMART INC,3041,-69,292.06K,-6.63K,-2.2%,0.26%
11135F101,AVGO,BROADCOM INC,8485,-45,1.62M,-8.6K,-0.5%,1.4%
30231G102,XOM,EXXON MOBIL CORP,10107,-102,1.1M,-11.05K,-1%,0.96%
G8994E103,TT,TRANE TECHNOLOGIES PLC,700,-50,247.41K,-17.67K,-6.7%,0.22%
13321L108,CCJ,CAMECO CORP,6353,-437,288.55K,-19.85K,-6.4%,0.25%
252131107,DXCM,DEXCOM INC,3705,-700,264.17K,-49.91K,-15.9%,0.23%
H5919C104,ONON,ON HLDG AG,9393,-2347,449.93K,-112.42K,-20%,0.39%
56146T103,MAMA,MAMAS CREATIONS INC,0,-18529,0,-147.49K,CLOSE,0%
35671D857,FCX,FREEPORT-MCMORAN INC,6679,-4800,248.27K,-178.42K,-41.8%,0.22%
78464A508,SPYV,SPDR SER TR,97462,-4002,4.79M,-196.86K,-3.9%,4.2%
91324P102,UNH,UNITEDHEALTH GROUP INC,0,-440,0,-222.58K,CLOSE,0%
22822V101,CCI,CROWN CASTLE INC,0,-2474,0,-224.54K,CLOSE,0%
872540109,TJX,TJX COS INC NEW,0,-1882,0,-227.36K,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,15114,-1623,2.42M,-259.95K,-9.7%,2.1%
30161N101,EXC,EXELON CORP,0,-7782,0,-292.91K,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,20539,-3149,1.97M,-302.49K,-13.3%,1.7%
67066G104,NVDA,NVIDIA CORPORATION,32067,-3166,3.5M,-345.16K,-9%,3.1%
594918104,MSFT,MICROSOFT CORP,4450,-889,1.75M,-350.28K,-16.7%,1.5%
032108409,DIVO,AMPLIFY ETF TR,10785,-11310,430.11K,-451.04K,-51.2%,0.38%
92204A306,VDE,VANGUARD WORLD FD,0,-3921,0,-475.66K,CLOSE,0%
023135106,AMZN,AMAZON COM INC,18844,-2870,3.53M,-537.81K,-13.2%,3.1%
369604301,GE,GE AEROSPACE,16798,-4140,3.37M,-830.07K,-19.8%,3%
25278X109,FANG,DIAMONDBACK ENERGY INC,0,-5971,0,-978.19K,CLOSE,0%
88579Y101,MMM,3M CO,0,-8119,0,-1.05M,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,0,-12072,0,-1.39M,CLOSE,0%
532457108,LLY,ELI LILLY & CO,7209,-2220,6.38M,-1.97M,-23.5%,5.6%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,9079,-40014,1.05M,-4.64M,-81.5%,0.92%
464287432,TLT,ISHARES TR,57600,-84377,5.2M,-7.61M,-59.4%,4.6%
Total,,,,,114.11M,2.83M,+2.5%,100%
