CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
679295105,OKTA,OKTA INC,764149,764149,80.4M,80.4M,NEW,4.8%
88339J105,TTD,THE TRADE DESK INC,978646,978646,53.55M,53.55M,NEW,3.2%
30303M102,META,META PLATFORMS INC,124838,44760,71.95M,25.8M,+55.9%,4.3%
23804L103,DDOG,DATADOG INC,924283,206311,91.7M,20.47M,+28.7%,5.5%
922280102,VRNS,VARONIS SYS INC,2727674,500099,110.33M,20.23M,+22.5%,6.7%
452327109,ILMN,ILLUMINA INC,933750,195357,74.08M,15.5M,+26.5%,4.5%
79466L302,CRM,SALESFORCE INC,367282,31380,98.56M,8.42M,+9.3%,5.9%
76954A103,RIVN,RIVIAN AUTOMOTIVE INC,8724965,238856,108.63M,2.97M,+2.8%,6.5%
63947X101,NCNO,NCINO INC,2931685,14004,80.53M,384.69K,+0.5%,4.9%
023135106,AMZN,AMAZON COM INC,552955,-131,105.21M,-24.92K,-0%,6.3%
N14506104,ESTC,ELASTIC N V,984714,-4635,87.74M,-412.98K,-0.5%,5.3%
90353T100,UBER,UBER TECHNOLOGIES INC,1778984,-36304,129.62M,-2.65M,-2%,7.8%
M98068105,WIX,WIX COM LTD,835657,-48785,136.53M,-7.97M,-5.5%,8.2%
20717M103,CFLT,CONFLUENT INC,3380745,-348612,79.24M,-8.17M,-9.3%,4.8%
771049103,RBLX,ROBLOX CORP,2636499,-260412,153.68M,-15.18M,-9%,9.3%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,635378,-138837,131.68M,-28.77M,-17.9%,7.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-245790,0,-29.69M,CLOSE,0%
82509L107,SHOP,SHOPIFY INC,683601,-334946,65.27M,-31.98M,-32.9%,3.9%
594918104,MSFT,MICROSOFT CORP,0,-162644,0,-68.55M,CLOSE,0%
Total,,,,,1.66B,34.33M,+1.9%,100%
