CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
778296103,ROST,ROSS STORES INC,2445499,811637,312.51M,103.72M,+49.7%,8.9%
974155103,WING,WINGSTOP INC,425488,425488,95.98M,95.98M,NEW,2.7%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,2125074,1440000,106.7M,72.3M,+210.2%,3%
40415F101,HDB,HDFC BANK LTD,1258200,1074000,83.59M,71.36M,+583.1%,2.4%
17243V102,CNK,CINEMARK HLDGS INC,3679490,2566938,91.58M,63.89M,+230.7%,2.6%
91913Y100,VLO,VALERO ENERGY CORP,466900,466900,61.66M,61.66M,NEW,1.7%
91324P102,UNH,UNITEDHEALTH GROUP INC,113500,113500,59.45M,59.45M,NEW,1.7%
16119P108,CHTR,CHARTER COMMUNICATIONS INC N,153366,153366,56.52M,56.52M,NEW,1.6%
02079K305,GOOGL,ALPHABET INC,274437,274437,42.44M,42.44M,NEW,1.2%
85423L103,SARO,STANDARDAERO INC,2428284,1558197,64.69M,41.51M,+179.1%,1.8%
30303M102,META,META PLATFORMS INC,313141,66286,180.48M,38.2M,+26.9%,5.1%
444859102,HUM,HUMANA INC,140252,140252,37.11M,37.11M,NEW,1.1%
364760108,GAP,GAP INC,1640000,1640000,33.8M,33.8M,NEW,0.96%
64110L106,NFLX,NETFLIX INC,29993,29993,27.97M,27.97M,NEW,0.79%
026874784,AIG,AMERICAN INTL GROUP INC,825298,310100,71.75M,26.96M,+60.2%,2%
649445400,FLG,FLAGSTAR FINANCIAL INC,2017300,2017300,23.44M,23.44M,NEW,0.66%
122017106,BURL,BURLINGTON STORES INC,332500,97200,79.24M,23.17M,+41.3%,2.2%
87043Q108,SG,SWEETGREEN INC,846847,846847,21.19M,21.19M,NEW,0.6%
90353T100,UBER,UBER TECHNOLOGIES INC,264145,264145,19.25M,19.25M,NEW,0.55%
58733R102,MELI,MERCADOLIBRE INC,14374,7998,28.04M,15.6M,+125.4%,0.8%
04911A107,AUB,ATLANTIC UN BANKSHARES CORP,488900,488900,15.22M,15.22M,NEW,0.43%
03831W108,APP,APPLOVIN CORP,469244,46802,124.34M,12.4M,+11.1%,3.5%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,1116477,190377,36.53M,6.23M,+20.6%,1%
21873S108,CRWV,COREWEAVE INC,150000,150000,5.56M,5.56M,NEW,0.16%
146869102,CVNA,CARVANA CO,281493,21895,58.85M,4.58M,+8.4%,1.7%
878742204,TECK,TECK RESOURCES LTD,122619,122619,4.47M,4.47M,NEW,0.13%
92333F101,VG,VENTURE GLOBAL INC,430000,430000,4.43M,4.43M,NEW,0.13%
78781J109,SAIL,SAILPOINT INC,182400,182400,3.42M,3.42M,NEW,0.1%
72703H101,PLNT,PLANET FITNESS INC,1713869,0,165.58M,0,NO CHANGE,4.7%
084670108,BRKA,BERKSHIRE HATHAWAY INC DEL,1,0,798.44K,0,NO CHANGE,0.02%
89400J107,TRU,TRANSUNION,903800,-6900,75.01M,-572.63K,-0.8%,2.1%
Q4982L109,IREN,IREN LIMITED,413100,-206600,2.52M,-1.26M,-33.3%,0.07%
023135106,AMZN,AMAZON COM INC,825961,-10739,157.15M,-2.04M,-1.3%,4.5%
00724F101,ADBE,ADOBE INC,29100,-7450,11.16M,-2.86M,-20.4%,0.32%
21037T109,CEG,CONSTELLATION ENERGY CORP,0,-17100,0,-3.83M,CLOSE,0%
339750101,FND,FLOOR & DECOR HLDGS INC,0,-45000,0,-4.49M,CLOSE,0%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,1959035,-94000,117.31M,-5.63M,-4.6%,3.3%
882681109,TXRH,TEXAS ROADHOUSE INC,632225,-34153,105.35M,-5.69M,-5.1%,3%
88339J105,TTD,THE TRADE DESK INC,0,-49900,0,-5.86M,CLOSE,0%
116794108,BRKR,BRUKER CORP,938563,-153165,39.18M,-6.39M,-14%,1.1%
097023105,BA,BOEING CO,0,-38800,0,-6.87M,CLOSE,0%
G3643J108,FLUT,FLUTTER ENTMT PLC,526799,-40001,116.71M,-8.86M,-7.1%,3.3%
806407102,HSIC,HENRY SCHEIN INC,1485323,-152485,101.73M,-10.44M,-9.3%,2.9%
437076102,HD,HOME DEPOT INC,0,-40700,0,-15.83M,CLOSE,0%
G93A5A101,VIK,VIKING HOLDINGS LTD,67600,-461400,2.69M,-18.34M,-87.2%,0.08%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,553347,-302728,44.66M,-24.43M,-35.4%,1.3%
871607107,SNPS,SYNOPSYS INC,103903,-59300,44.56M,-25.43M,-36.3%,1.3%
