CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
71385M107,PRM,PERIMETER SOLUTIONS INC,315150,315150,3.17M,3.17M,NEW,1.7%
594918104,MSFT,MICROSOFT CORP,110696,4755,41.55M,1.78M,+4.5%,21.8%
30303M102,META,META PLATFORMS INC,58412,2340,33.67M,1.35M,+4.2%,17.7%
98138H101,WDAY,WORKDAY INC-CLASS A,66171,2870,15.45M,670.23K,+4.5%,8.1%
79466L302,CRM,SALESFORCE INC,50693,2185,13.6M,586.37K,+4.5%,7.2%
023135106,AMZN,AMAZON.COM INC,50860,1992,9.68M,379K,+4.1%,5.1%
58733R102,MELI,MERCADOLIBRE INC,3958,170,7.72M,331.65K,+4.5%,4.1%
893641100,TDG,TRANSDIGM GROUP INC,206,206,284.96K,284.96K,NEW,0.15%
922475108,VEEV,VEEVA SYSTEMS INC-CLASS A,0,-1000,0,-210.25K,CLOSE,0%
92826C839,V,VISA INC-CLASS A SHARES,16504,-2738,5.78M,-959.56K,-14.2%,3%
02079K305,GOOGL,ALPHABET INC-CL A,131581,-7260,20.35M,-1.12M,-5.2%,10.7%
25809K105,DASH,DOORDASH INC - A,80854,-6970,14.78M,-1.27M,-7.9%,7.8%
M7S64H106,MNDY,MONDAY.COM LTD,99530,-5255,24.2M,-1.28M,-5%,12.7%
292812104,ENFN,ENFUSION INC - CLASS A,0,-339982,0,-3.5M,CLOSE,0%
Total,,,,,190.25M,213.4K,+0.1%,100%
