CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
922908363,VOO,VANGUARD INDEX FDS,144475,2278,74.25M,1.17M,+1.6%,31.6%
04010L103,ARCC,ARES CAPITAL CORP,44569,44569,987.65K,987.65K,NEW,0.42%
69121K104,OBDC,BLUE OWL CAPITAL CORPOR,66679,66679,977.51K,977.51K,NEW,0.42%
031162100,AMGN,AMGEN INC,734,734,228.68K,228.68K,NEW,0.1%
053015103,ADP,AUTOMATIC DATA PROCESSI,675,675,206.23K,206.23K,NEW,0.09%
037833100,AAPL,APPLE INC,58032,665,12.89M,147.72K,+1.2%,5.5%
921943858,VEA,VANGUARD TAX-MANAGED FD,90065,2367,4.58M,120.31K,+2.7%,1.9%
46625H100,JPM,JPMORGAN CHASE & CO.,8689,478,2.13M,117.25K,+5.8%,0.91%
46432F842,IEFA,ISHARES TR,167287,1500,12.66M,113.47K,+0.9%,5.4%
594918104,MSFT,MICROSOFT CORP,5674,263,2.13M,98.73K,+4.9%,0.91%
38147N285,GSINX,GOLDMAN SACHS TR II,61057,2937,1.29M,61.91K,+5.1%,0.55%
670100205,NVO,NOVO-NORDISK A S,4095,885,284.36K,61.45K,+27.6%,0.12%
438516106,HON,HONEYWELL INTL INC,2924,200,619.16K,42.35K,+7.3%,0.26%
75513E101,RTX,RTX CORPORATION,3096,290,410.1K,38.41K,+10.3%,0.17%
58933Y105,MRK,MERCK & CO INC,3880,386,348.27K,34.65K,+11%,0.15%
464287465,EFA,ISHARES TR,14921,400,1.22M,32.69K,+2.8%,0.52%
166764100,CVX,CHEVRON CORP NEW,2040,186,341.27K,31.12K,+10%,0.15%
580135101,MCD,MCDONALDS CORP,2168,96,677.22K,29.99K,+4.6%,0.29%
654106103,NKE,NIKE INC,8760,448,556.08K,28.44K,+5.4%,0.24%
464287507,IJH,ISHARES TR,22111,465,1.29M,27.13K,+2.1%,0.55%
20825C104,COP,CONOCOPHILLIPS,10227,225,1.07M,23.63K,+2.2%,0.46%
512807306,LRCX,LAM RESEARCH CORP,11420,290,830.23K,21.08K,+2.6%,0.35%
74340W103,PLD,PROLOGIS INC.,6651,187,743.51K,20.9K,+2.9%,0.32%
30303M102,META,META PLATFORMS INC,1458,29,840.33K,16.71K,+2%,0.36%
235851102,DHR,DANAHER CORPORATION,3714,63,761.37K,12.91K,+1.7%,0.32%
67066G104,NVDA,NVIDIA CORPORATION,514071,58,55.72M,6.29K,+0%,23.7%
023135106,AMZN,AMAZON COM INC,2988,31,568.5K,5.9K,+1%,0.24%
98978V103,ZTS,ZOETIS INC,4435,30,730.22K,4.94K,+0.7%,0.31%
084670702,BRKB,BERKSHIRE HATHAWAY INC,535,9,284.93K,4.79K,+1.7%,0.12%
02079K305,GOOGL,ALPHABET INC,2918,30,451.24K,4.64K,+1%,0.19%
92826C839,V,VISA INC,1186,12,415.64K,4.21K,+1%,0.18%
863667101,SYK,STRYKER CORPORATION,642,5,238.98K,1.86K,+0.8%,0.1%
20030N101,CMCSA,COMCAST CORP NEW,6320,38,233.21K,1.4K,+0.6%,0.1%
595017104,MCHP,MICROCHIP TECHNOLOGY IN,5736,28,277.68K,1.36K,+0.5%,0.12%
502431109,LHX,L3HARRIS TECHNOLOGIES I,2064,1,432.01K,209.31,+0%,0.18%
78462F103,SPY,SPDR S&P 500 ETF TR,6811,0,3.81M,0,NO CHANGE,1.6%
371927104,GEL,GENESIS ENERGY L P,200000,0,3.14M,0,NO CHANGE,1.3%
315911750,FXAIX,FIDELITY CONCORD STR TR,6889,0,1.35M,0,NO CHANGE,0.57%
363576109,AJG,GALLAGHER ARTHUR J & CO,2459,0,848.95K,0,NO CHANGE,0.36%
464287614,IWF,ISHARES TR,1067,0,385.56K,0,NO CHANGE,0.16%
046353108,AZN,ASTRAZENECA PLC,4170,0,306.5K,0,NO CHANGE,0.13%
921908844,VIG,VANGUARD SPECIALIZED FD,1453,0,281.87K,0,NO CHANGE,0.12%
713448108,PEP,PEPSICO INC,1788,0,268.09K,0,NO CHANGE,0.11%
26614N102,DD,DUPONT DE NEMOURS INC,3314,0,247.49K,0,NO CHANGE,0.11%
464287598,IWD,ISHARES TR,1144,0,215.25K,0,NO CHANGE,0.09%
02079K107,GOOG,ALPHABET INC,1549,-1,242K,-156.23,-0.1%,0.1%
911312106,UPS,UNITED PARCEL SERVICE I,1949,-7,214.37K,-769.93,-0.4%,0.09%
032654105,ADI,ANALOG DEVICES INC,2129,-5,429.36K,-1.01K,-0.2%,0.18%
G8994E103,TT,TRANE TECHNOLOGIES PLC,2258,-3,760.76K,-1.01K,-0.1%,0.32%
G1151C101,ACN,ACCENTURE PLC IRELAND,1013,-4,316.1K,-1.25K,-0.4%,0.13%
532457108,LLY,ELI LILLY & CO,1512,-2,1.25M,-1.65K,-0.1%,0.53%
949746101,WFC,WELLS FARGO CO NEW,7258,-39,521.05K,-2.8K,-0.5%,0.22%
244199105,DE,DEERE & CO,9128,-11,4.28M,-5.16K,-0.1%,1.8%
55354G100,MSCI,MSCI INC,1548,-11,875.39K,-6.22K,-0.7%,0.37%
57636Q104,MA,MASTERCARD INCORPORATED,1941,-12,1.06M,-6.58K,-0.6%,0.45%
65339F101,NEE,NEXTERA ENERGY INC,13545,-124,960.2K,-8.79K,-0.9%,0.41%
482480100,KLAC,KLA CORP,1502,-15,1.02M,-10.2K,-1%,0.43%
464287309,IVW,ISHARES TR,2980,-122,276.63K,-11.33K,-3.9%,0.12%
780259305,SHEL,SHELL PLC,4249,-160,311.37K,-11.72K,-3.6%,0.13%
149123101,CAT,CATERPILLAR INC,2797,-36,922.45K,-11.87K,-1.3%,0.39%
060505104,BAC,BANK AMERICA CORP,6897,-327,287.81K,-13.65K,-4.5%,0.12%
855244109,SBUX,STARBUCKS CORP,39219,-143,3.85M,-14.03K,-0.4%,1.6%
872540109,TJX,TJX COS INC NEW,8709,-151,1.06M,-18.39K,-1.7%,0.45%
461202103,INTU,INTUIT,1383,-31,849.15K,-19.03K,-2.2%,0.36%
693475105,PNC,PNC FINL SVCS GROUP INC,1478,-115,259.79K,-20.21K,-7.2%,0.11%
22160K105,COST,COSTCO WHSL CORP NEW,1246,-27,1.18M,-25.54K,-2.1%,0.5%
68389X105,ORCL,ORACLE CORP,7619,-201,1.07M,-28.1K,-2.6%,0.45%
617446448,MS,MORGAN STANLEY,8970,-244,1.05M,-28.47K,-2.6%,0.45%
002824100,ABT,ABBOTT LABS,5014,-231,665.11K,-30.64K,-4.4%,0.28%
478160104,JNJ,JOHNSON & JOHNSON,4329,-194,717.92K,-32.17K,-4.3%,0.31%
91324P102,UNH,UNITEDHEALTH GROUP INC,1600,-64,838K,-33.52K,-3.8%,0.36%
437076102,HD,HOME DEPOT INC,4401,-116,1.61M,-42.51K,-2.6%,0.69%
742718109,PG,PROCTER AND GAMBLE CO,4506,-274,767.91K,-46.7K,-5.7%,0.33%
375558103,GILD,GILEAD SCIENCES INC,3505,-471,392.74K,-52.78K,-11.8%,0.17%
464287622,IWB,ISHARES TR,15380,-301,4.72M,-92.33K,-1.9%,2%
4812C0530,SEEGX,JPMORGAN TR II,0,-2558,0,-203.94K,CLOSE,0%
291011104,EMR,EMERSON ELEC CO,0,-1668,0,-206.71K,CLOSE,0%
30231G102,XOM,EXXON MOBIL CORP,21937,-1785,2.61M,-212.29K,-7.5%,1.1%
902973304,USB,US BANCORP DEL,0,-4839,0,-231.45K,CLOSE,0%
464287499,IWR,ISHARES TR,82962,-4505,7.06M,-383.24K,-5.2%,3%
Total,,,,,234.93M,-13.61M,-5.5%,100%
