CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
25459Y694,FAS,DIREXION SHS ETF TR,102119,102119,16.15M,16.15M,NEW,6.2%
25460G153,DPST,DIREXION SHS ETF TR,99897,99897,8.65M,8.65M,NEW,3.3%
770700102,HOOD,ROBINHOOD MKTS INC,78947,78947,3.29M,3.29M,NEW,1.3%
803054204,SAP,SAP SE,4794,4794,1.29M,1.29M,NEW,0.49%
79466L302,CRM,SALESFORCE INC,51851,4585,13.91M,1.23M,+9.7%,5.3%
565394103,CART,MAPLEBEAR INC,161736,18679,6.45M,745.11K,+13.1%,2.5%
16679L109,CHWY,CHEWY INC,163731,20016,5.32M,650.72K,+13.9%,2%
29103K100,FLD,FOLD HLDGS INC,78883,78883,489.07K,489.07K,NEW,0.19%
57636Q104,MA,MASTERCARD INCORPORATED,34423,0,18.87M,0,NO CHANGE,7.2%
594918104,MSFT,MICROSOFT CORP,40843,0,15.33M,0,NO CHANGE,5.9%
037833100,AAPL,APPLE INC,61806,0,13.73M,0,NO CHANGE,5.3%
032095101,APH,AMPHENOL CORP NEW,140206,0,9.2M,0,NO CHANGE,3.5%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,13927,0,6.93M,0,NO CHANGE,2.7%
67000B104,NOVT,NOVANTA INC,53301,0,6.82M,0,NO CHANGE,2.6%
04302A104,AIP,ARTERIS INC,293973,0,2.03M,0,NO CHANGE,0.78%
902673102,UFPT,UFP TECHNOLOGIES INC,7955,0,1.6M,0,NO CHANGE,0.62%
92537N108,VRT,VERTIV HOLDINGS CO,161278,-3467,11.64M,-250.32K,-2.1%,4.5%
90138F102,TWLO,TWILIO INC,74598,-3085,7.3M,-302.05K,-4%,2.8%
023135106,AMZN,AMAZON COM INC,45254,-2437,8.61M,-463.66K,-5.1%,3.3%
039653100,ACA,ARCOSA INC,0,-10374,0,-1M,CLOSE,0%
M6372Q113,KRNT,KORNIT DIGITAL LTD,0,-35690,0,-1.1M,CLOSE,0%
92826C839,V,VISA INC,45489,-3980,15.94M,-1.39M,-8%,6.1%
90353T100,UBER,UBER TECHNOLOGIES INC,157970,-24606,11.51M,-1.79M,-13.5%,4.4%
302081104,EXLS,EXLSERVICE HOLDINGS INC,93276,-50536,4.4M,-2.39M,-35.1%,1.7%
141788109,CARG,CARGURUS INC,0,-76169,0,-2.78M,CLOSE,0%
705573103,PEGA,PEGASYSTEMS INC,0,-30450,0,-2.84M,CLOSE,0%
369604301,GE,GE AEROSPACE,62061,-15811,12.42M,-3.16M,-20.3%,4.8%
36828A101,GEV,GE VERNOVA INC,54439,-11770,16.62M,-3.59M,-17.8%,6.4%
888787108,TOST,TOAST INC,0,-121619,0,-4.43M,CLOSE,0%
53263P105,LMB,LIMBACH HLDGS INC,0,-52385,0,-4.48M,CLOSE,0%
30303M102,META,META PLATFORMS INC,25192,-7835,14.52M,-4.52M,-23.7%,5.6%
67066G104,NVDA,NVIDIA CORPORATION,90475,-45416,9.81M,-4.92M,-33.4%,3.8%
M98068105,WIX,WIX COM LTD,0,-24793,0,-5.32M,CLOSE,0%
81684M104,SMLR,SEMLER SCIENTIFIC INC,0,-119722,0,-6.46M,CLOSE,0%
21044C107,ROAD,CONSTRUCTION PARTNERS INC,0,-76790,0,-6.79M,CLOSE,0%
199908104,FIX,COMFORT SYS USA INC,0,-16155,0,-6.85M,CLOSE,0%
859241101,STRL,STERLING INFRASTRUCTURE INC,0,-44760,0,-7.54M,CLOSE,0%
92840M102,VST,VISTRA CORP,0,-58289,0,-8.04M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,27881,-15001,15.34M,-8.25M,-35%,5.9%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,13656,-53320,2.27M,-8.85M,-79.6%,0.87%
090043100,BILL,BILL HOLDINGS INC,0,-146366,0,-12.4M,CLOSE,0%
04010E109,AGX,ARGAN INC,0,-117384,0,-16.09M,CLOSE,0%
Total,,,,,260.44M,-93.53M,-35.9%,100%
