CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
934423104,WBD,WARNER BROS DISCOVERY INC,1881636,1881636,20.19M,20.19M,NEW,2.5%
974155103,WING,WINGSTOP INC,88352,88352,19.93M,19.93M,NEW,2.4%
254687106,DIS,DISNEY WALT CO,407120,140102,40.18M,13.83M,+52.5%,4.9%
698884103,PAR,PAR TECHNOLOGY CORP,189734,189734,11.64M,11.64M,NEW,1.4%
926400102,VSCO,VICTORIAS SECRET AND CO,1077551,527416,20.02M,9.8M,+95.9%,2.5%
20717M103,CFLT,CONFLUENT INC,312848,312848,7.33M,7.33M,NEW,0.9%
070830104,BBWI,BATH & BODY WORKS INC,417552,239809,12.66M,7.27M,+134.9%,1.6%
16119P108,CHTR,CHARTER COMMUNICATIONS INC N,97962,12174,36.1M,4.49M,+14.2%,4.4%
74736L109,QTWO,Q2 HLDGS INC,272850,54613,21.83M,4.37M,+25%,2.7%
22266T109,CPNG,COUPANG INC,1212357,136046,26.59M,2.98M,+12.6%,3.3%
05368X102,AVDX,AVIDXCHANGE HOLDINGS INC,3396880,165731,28.81M,1.41M,+5.1%,3.5%
338307101,FIVN,FIVE9 INC,705063,50889,19.14M,1.38M,+7.8%,2.3%
922280102,VRNS,VARONIS SYS INC,619690,21419,25.07M,866.4K,+3.6%,3.1%
63947X101,NCNO,NCINO INC,410929,26690,11.29M,733.17K,+6.9%,1.4%
929740108,WAB,WABTEC,116024,2207,21.04M,400.24K,+1.9%,2.6%
742718109,PG,PROCTER AND GAMBLE CO,23454,1901,4M,323.97K,+8.8%,0.49%
57667L107,MTCH,MATCH GROUP INC NEW,135073,5802,4.21M,181.02K,+4.5%,0.52%
743315103,PGR,PROGRESSIVE CORP,13062,561,3.7M,158.77K,+4.5%,0.45%
518439104,EL,LAUDER ESTEE COS INC,52695,2266,3.48M,149.56K,+4.5%,0.43%
92826C839,V,VISA INC,8485,369,2.97M,129.32K,+4.5%,0.36%
57636Q104,MA,MASTERCARD INCORPORATED,5218,220,2.86M,120.59K,+4.4%,0.35%
29977A105,EVR,EVERCORE INC,13839,594,2.76M,118.63K,+4.5%,0.34%
535919401,LGFA,LIONS GATE ENTMNT CORP,514292,-14971,4.55M,-132.49K,-2.8%,0.56%
535919500,LGFB,LIONS GATE ENTMNT CORP,820978,-29772,6.5M,-235.79K,-3.5%,0.8%
25809K105,DASH,DOORDASH INC,227245,-6034,41.53M,-1.1M,-2.6%,5.1%
98850P109,YUMC,YUM CHINA HLDGS INC,290984,-24634,15.15M,-1.28M,-7.8%,1.9%
89677Q107,TCOM,TRIP COM GROUP LTD,275849,-21846,17.54M,-1.39M,-7.3%,2.1%
30303M102,META,META PLATFORMS INC,2574,-2932,1.48M,-1.69M,-53.3%,0.18%
780087102,RY,ROYAL BK CDA,0,-20960,0,-2.53M,CLOSE,0%
697435105,PANW,PALO ALTO NETWORKS INC,106131,-15366,18.11M,-2.62M,-12.6%,2.2%
277432100,EMN,EASTMAN CHEM CO,0,-32128,0,-2.93M,CLOSE,0%
830566105,SKX,SKECHERS U S A INC,450739,-65268,25.59M,-3.71M,-12.6%,3.1%
056752108,BIDU,BAIDU INC,0,-46304,0,-3.9M,CLOSE,0%
M7S64H106,MNDY,MONDAY COM LTD,93183,-17379,22.66M,-4.23M,-15.7%,2.8%
22160N109,CSGP,COSTAR GROUP INC,96629,-77239,7.66M,-6.12M,-44.4%,0.94%
023135106,AMZN,AMAZON COM INC,165457,-39868,31.48M,-7.59M,-19.4%,3.9%
26142V105,DKNG,DRAFTKINGS INC NEW,635836,-232326,21.12M,-7.72M,-26.8%,2.6%
364760108,GAP,GAP INC,408478,-492941,8.42M,-10.16M,-54.7%,1%
58733R102,MELI,MERCADOLIBRE INC,17851,-5772,34.82M,-11.26M,-24.4%,4.3%
49271V100,KDP,KEURIG DR PEPPER INC,393776,-347439,13.48M,-11.89M,-46.9%,1.7%
77543R102,ROKU,ROKU INC,378918,-202465,26.69M,-14.26M,-34.8%,3.3%
02079K305,GOOGL,ALPHABET INC,9468,-92558,1.46M,-14.31M,-90.7%,0.18%
87256C101,TKO,TKO GROUP HOLDINGS INC,308921,-94788,47.21M,-14.48M,-23.5%,5.8%
98311A105,WH,WYNDHAM HOTELS & RESORTS INC,119470,-162708,10.81M,-14.73M,-57.7%,1.3%
H5919C104,ONON,ON HLDG AG,0,-276571,0,-15.15M,CLOSE,0%
90353T100,UBER,UBER TECHNOLOGIES INC,312188,-235995,22.75M,-17.19M,-43.1%,2.8%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,9794591,-4142801,44.37M,-18.77M,-29.7%,5.4%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,84905,-39355,46.7M,-21.65M,-31.7%,5.7%
Total,,,,,815.88M,-137.24M,-14.4%,100%
