CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
11135F101,AVGO,BROADCOM INC,3885260,2451000,650.51M,410.37M,+170.9%,1.5%
79466L302,CRM,SALESFORCE INC,1630000,1479700,437.43M,397.09M,+984.5%,0.98%
75886F107,REGN,REGENERON PHARMACEUTICALS,553800,553800,351.24M,351.24M,NEW,0.79%
101137107,BSX,BOSTON SCIENTIFIC CORP,4205960,3450700,424.3M,348.11M,+456.9%,0.96%
46120E602,ISRG,INTUITIVE SURGICAL INC,699900,576800,346.64M,285.67M,+468.6%,0.78%
808513105,SCHW,SCHWAB CHARLES CORP,4872095,3452400,381.39M,270.25M,+243.2%,0.86%
670100205,NVO,NOVO-NORDISK A S,4856800,3835100,337.26M,266.31M,+375.4%,0.76%
20825C104,COP,CONOCOPHILLIPS,2086378,1987878,219.11M,208.77M,+2018.2%,0.49%
20030N101,CMCSA,COMCAST CORP NEW,6061300,5637700,223.66M,208.03M,+1330.9%,0.5%
48203R104,JNPR,JUNIPER NETWORKS INC,5890900,5548900,213.19M,200.81M,+1622.5%,0.48%
55354G100,MSCI,MSCI INC,762700,337200,431.31M,190.69M,+79.2%,0.97%
00724F101,ADBE,ADOBE INC,1382900,493900,530.38M,189.43M,+55.6%,1.2%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,2256500,2102400,190.45M,177.44M,+1364.3%,0.43%
67066G104,NVDA,NVIDIA CORPORATION,10752000,1586300,1.17B,171.92M,+17.3%,2.6%
573874104,MRVL,MARVELL TECHNOLOGY INC,3065072,2590800,188.72M,159.52M,+546.3%,0.42%
366651107,IT,GARTNER INC,524900,378200,220.32M,158.75M,+257.8%,0.5%
G0250X107,AMCR,AMCOR PLC,18303000,16060800,177.54M,155.79M,+716.3%,0.4%
007903107,AMD,ADVANCED MICRO DEVICES INC,1504640,1504640,154.59M,154.59M,NEW,0.35%
040413205,ANET,ARISTA NETWORKS INC,2226600,1829500,172.52M,141.75M,+460.7%,0.39%
