CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78409V104,SPGI,S&P GLOBAL INC,1755098,0,891.77M,0,NO CHANGE,20.3%
57636Q104,MA,MASTERCARD INCORPORATED,1484772,0,813.83M,0,NO CHANGE,18.5%
615369105,MCO,MOODYS CORP,1314144,0,611.98M,0,NO CHANGE,13.9%
92826C839,V,VISA INC,912017,0,319.63M,0,NO CHANGE,7.3%
N07059210,ASML,ASML HOLDING N V,125627,0,83.24M,0,NO CHANGE,1.9%
294429105,EFX,EQUIFAX INC,144000,0,35.07M,0,NO CHANGE,0.8%
55354G100,MSCI,MSCI INC,59700,0,33.76M,0,NO CHANGE,0.77%
303250104,FICO,FAIR ISAAC CORP,768422,-15700,1.42B,-28.95M,-2%,32.3%
461202103,INTU,INTUIT,297360,-104921,182.58M,-64.42M,-26.1%,4.2%
Total,,,,,4.39B,-150.84M,-3.3%,100%
