CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
04626A103,ALAB,ASTERA LABS INC,11981,11981,714.91K,714.91K,NEW,0.33%
693475105,PNC,PNC FINL SVCS GROUP INC,3855,3855,677.59K,677.59K,NEW,0.31%
92537N108,VRT,VERTIV HOLDINGS CO,11485,8705,829.22K,628.5K,+313.1%,0.38%
464287523,SOXX,ISHARES TR,2776,2776,522.36K,522.36K,NEW,0.24%
00214Q401,ARKW,ARK ETF TR,20333,5281,1.92M,499.95K,+35.1%,0.89%
381430438,GSEW,GOLDMAN SACHS ETF TR,5729,5729,435.63K,435.63K,NEW,0.2%
464287796,IYE,ISHARES TR,24981,8168,1.23M,402.68K,+48.6%,0.57%
88160R101,TSLA,TESLA INC,17829,1160,4.62M,300.63K,+7%,2.1%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,5869,5869,274.73K,274.73K,NEW,0.13%
21037T109,CEG,CONSTELLATION ENERGY CORP,1343,1343,270.79K,270.79K,NEW,0.13%
92790A850,PCLO,VIRTUS ETF TR II,9221,9221,229.93K,229.93K,NEW,0.11%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,4321,4321,223.74K,223.74K,NEW,0.1%
020002101,ALL,ALLSTATE CORP,1017,1017,210.59K,210.59K,NEW,0.1%
30303M102,META,META PLATFORMS INC,2630,315,1.52M,181.54K,+13.6%,0.7%
166764100,CVX,CHEVRON CORP NEW,14463,1061,2.42M,177.49K,+7.9%,1.1%
149123101,CAT,CATERPILLAR INC,3521,514,1.16M,169.52K,+17.1%,0.54%
46090E103,QQQ,INVESCO QQQ TR,36483,342,17.11M,160.37K,+0.9%,7.9%
464285204,IAU,ISHARES GOLD TR,204605,2203,12.06M,129.89K,+1.1%,5.6%
11135F101,AVGO,BROADCOM INC,10364,617,1.74M,103.3K,+6.3%,0.8%
33733F101,FAD,FIRST TR MULTI CAP GROWTH AL,22954,754,2.97M,97.54K,+3.4%,1.4%
247361702,DAL,DELTA AIR LINES INC DEL,7657,2148,333.85K,93.65K,+39%,0.15%
18915M107,NET,CLOUDFLARE INC,4259,710,479.95K,80.01K,+20%,0.22%
038222105,AMAT,APPLIED MATLS INC,10567,481,1.53M,69.8K,+4.8%,0.71%
35953D104,FUBO,FUBOTV INC,18300,18300,53.44K,53.44K,NEW,0.02%
697435105,PANW,PALO ALTO NETWORKS INC,9032,301,1.54M,51.36K,+3.4%,0.71%
00214Q203,ARKQ,ARK ETF TR,16671,525,1.1M,34.79K,+3.3%,0.51%
33737M102,FNY,FIRST TR EXCHANGE-TRADED ALP,36353,429,2.72M,32.12K,+1.2%,1.3%
931142103,WMT,WALMART INC,15870,364,1.39M,31.95K,+2.3%,0.65%
464287614,IWF,ISHARES TR,1425,79,514.55K,28.53K,+5.9%,0.24%
81730H109,S,SENTINELONE INC,16365,1569,297.52K,28.52K,+10.6%,0.14%
595112103,MU,MICRON TECHNOLOGY INC,8994,328,781.5K,28.5K,+3.8%,0.36%
023135106,AMZN,AMAZON COM INC,32865,139,6.25M,26.45K,+0.4%,2.9%
464287788,IYF,ISHARES TR,9100,223,1.03M,25.17K,+2.5%,0.48%
92343V104,VZ,VERIZON COMMUNICATIONS INC,11195,529,507.81K,24K,+5%,0.24%
46625H100,JPM,JPMORGAN CHASE & CO.,11910,92,2.92M,22.57K,+0.8%,1.4%
464287663,IUSV,ISHARES TR,39815,230,3.67M,21.23K,+0.6%,1.7%
911312106,UPS,UNITED PARCEL SERVICE INC,6184,166,680.17K,18.26K,+2.8%,0.32%
464288851,IEO,ISHARES TR,16506,193,1.56M,18.25K,+1.2%,0.72%
742718109,PG,PROCTER AND GAMBLE CO,2519,101,429.29K,17.21K,+4.2%,0.2%
22160K105,COST,COSTCO WHSL CORP NEW,3139,14,2.97M,13.24K,+0.4%,1.4%
437076102,HD,HOME DEPOT INC,6506,36,2.38M,13.19K,+0.6%,1.1%
02079K107,GOOG,ALPHABET INC,19024,78,2.97M,12.19K,+0.4%,1.4%
38141G104,GS,GOLDMAN SACHS GROUP INC,1143,18,624.41K,9.83K,+1.6%,0.29%
922908736,VUG,VANGUARD INDEX FDS,2046,16,758.7K,5.93K,+0.8%,0.35%
132061201,SYLD,CAMBRIA ETF TR,8485,92,541.36K,5.87K,+1.1%,0.25%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,5481,40,313.19K,2.29K,+0.7%,0.15%
025816109,AXP,AMERICAN EXPRESS CO,1221,1,328.41K,268.96,+0.1%,0.15%
78467X109,DIA,SPDR DOW JONES INDL AVERAGE,2777,0,1.17M,0,NO CHANGE,0.54%
464288570,DSI,ISHARES TR,10805,0,1.11M,0,NO CHANGE,0.51%
824348106,SHW,SHERWIN WILLIAMS CO,1636,0,571.27K,0,NO CHANGE,0.26%
760759100,RSG,REPUBLIC SVCS INC,2305,0,558.18K,0,NO CHANGE,0.26%
78463V107,GLD,SPDR GOLD TR,1804,0,519.8K,0,NO CHANGE,0.24%
94106L109,WM,WASTE MGMT INC DEL,2055,0,475.75K,0,NO CHANGE,0.22%
464287754,IYJ,ISHARES TR,3321,0,432.33K,0,NO CHANGE,0.2%
464287838,IYM,ISHARES TR,2559,0,344.95K,0,NO CHANGE,0.16%
464287598,IWD,ISHARES TR,1751,0,329.47K,0,NO CHANGE,0.15%
086516101,BBY,BEST BUY INC,4000,0,294.44K,0,NO CHANGE,0.14%
002824100,ABT,ABBOTT LABS,2205,0,292.49K,0,NO CHANGE,0.14%
464288729,EXI,ISHARES TR,1984,0,288.43K,0,NO CHANGE,0.13%
464287341,IXC,ISHARES TR,6151,0,258.77K,0,NO CHANGE,0.12%
452308109,ITW,ILLINOIS TOOL WKS INC,1000,0,248.01K,0,NO CHANGE,0.11%
907818108,UNP,UNION PAC CORP,1009,0,238.37K,0,NO CHANGE,0.11%
464287150,ITOT,ISHARES TR,1752,0,213.76K,0,NO CHANGE,0.1%
464287507,IJH,ISHARES TR,21262,-8,1.24M,-466.8,-0%,0.57%
464288760,ITA,ISHARES TR,3930,-8,601.68K,-1.22K,-0.2%,0.28%
75513E101,RTX,RTX CORPORATION,4295,-13,568.92K,-1.72K,-0.3%,0.26%
46138G698,RWL,INVESCO EXCH TRADED FD TR II,52071,-18,5.17M,-1.79K,-0%,2.4%
81762P102,NOW,SERVICENOW INC,595,-3,473.7K,-2.39K,-0.5%,0.22%
464287689,IWV,ISHARES TR,2655,-9,843.33K,-2.86K,-0.3%,0.39%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,1854,-16,359.66K,-3.1K,-0.9%,0.17%
02079K305,GOOGL,ALPHABET INC,3652,-23,564.73K,-3.56K,-0.6%,0.26%
92826C839,V,VISA INC,4257,-11,1.49M,-3.85K,-0.3%,0.69%
33733E302,FDN,FIRST TR EXCHANGE-TRADED FD,33320,-18,7.4M,-4K,-0.1%,3.4%
17275R102,CSCO,CISCO SYS INC,5504,-67,339.65K,-4.13K,-1.2%,0.16%
007903107,AMD,ADVANCED MICRO DEVICES INC,10292,-50,1.06M,-5.14K,-0.5%,0.49%
084670702,BRKB,BERKSHIRE HATHAWAY INC DEL,1639,-12,872.9K,-6.39K,-0.7%,0.4%
00287Y109,ABBV,ABBVIE INC,4255,-32,891.45K,-6.7K,-0.7%,0.41%
922908744,VTV,VANGUARD INDEX FDS,6550,-39,1.13M,-6.74K,-0.6%,0.52%
46120E602,ISRG,INTUITIVE SURGICAL INC,2040,-19,1.01M,-9.41K,-0.9%,0.47%
G66721104,NCLH,NORWEGIAN CRUISE LINE HLDG L,10400,-500,197.18K,-9.48K,-4.6%,0.09%
79466L302,CRM,SALESFORCE INC,7547,-45,2.03M,-12.08K,-0.6%,0.94%
46432F842,IEFA,ISHARES TR,9763,-180,738.54K,-13.62K,-1.8%,0.34%
461202103,INTU,INTUIT,542,-23,332.78K,-14.12K,-4.1%,0.15%
00724F101,ADBE,ADOBE INC,595,-38,228.2K,-14.57K,-6%,0.11%
871829107,SYY,SYSCO CORP,8025,-196,602.16K,-14.71K,-2.4%,0.28%
464287481,IWP,ISHARES TR,8896,-126,1.05M,-14.8K,-1.4%,0.48%
922908769,VTI,VANGUARD INDEX FDS,964,-58,265.03K,-15.95K,-5.7%,0.12%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,24897,-233,2.1M,-19.67K,-0.9%,0.97%
86627T108,SMMT,SUMMIT THERAPEUTICS INC,96283,-1100,1.86M,-21.22K,-1.1%,0.86%
345370860,F,FORD MTR CO,12200,-2200,122.37K,-22.07K,-15.3%,0.06%
025072604,AVEM,AMERICAN CENTY ETF TR,98820,-375,5.95M,-22.56K,-0.4%,2.8%
464287879,IJS,ISHARES TR,9571,-283,932.98K,-27.59K,-2.9%,0.43%
82509L107,SHOP,SHOPIFY INC,10279,-305,993.77K,-29.49K,-2.9%,0.46%
143658300,CCL,CARNIVAL CORP,27975,-1520,546.35K,-29.69K,-5.2%,0.25%
464287671,IUSG,ISHARES TR,8320,-274,1.06M,-34.82K,-3.2%,0.49%
78462F103,SPY,SPDR S&P 500 ETF TR,4998,-64,2.8M,-35.8K,-1.3%,1.3%
92206C664,VTWO,VANGUARD SCOTTSDALE FDS,40589,-717,3.27M,-57.83K,-1.7%,1.5%
172967424,C,CITIGROUP INC,3486,-983,247.5K,-69.79K,-22%,0.11%
35671D857,FCX,FREEPORT-MCMORAN INC,17410,-1874,659.15K,-70.95K,-9.7%,0.31%
921946406,VYM,VANGUARD WHITEHALL FDS,30299,-593,3.91M,-76.47K,-1.9%,1.8%
532457108,LLY,ELI LILLY & CO,1247,-100,1.03M,-82.59K,-7.4%,0.48%
464287804,IJR,ISHARES TR,26894,-797,2.81M,-83.34K,-2.9%,1.3%
464286426,EEMA,ISHARES INC,13611,-1277,1.01M,-94.58K,-8.6%,0.47%
464287200,IVV,ISHARES TR,18646,-191,10.48M,-107.32K,-1%,4.9%
05946K101,BBVA,BANCO BILBAO VIZCAYA ARGENTA,0,-11086,0,-107.76K,CLOSE,0%
478160104,JNJ,JOHNSON & JOHNSON,2815,-712,466.84K,-118.08K,-20.2%,0.22%
46429B697,USMV,ISHARES TR,29615,-1299,2.77M,-121.66K,-4.2%,1.3%
67066G104,NVDA,NVIDIA CORPORATION,181810,-1492,19.7M,-161.7K,-0.8%,9.1%
594972408,MSTR,MICROSTRATEGY INC,2940,-630,847.51K,-181.61K,-17.6%,0.39%
550021109,LULU,LULULEMON ATHLETICA INC,0,-567,0,-216.83K,CLOSE,0%
949746101,WFC,WELLS FARGO CO NEW,3677,-3037,264K,-218.05K,-45.2%,0.12%
464287655,IWM,ISHARES TR,0,-993,0,-219.41K,CLOSE,0%
46222L108,IONQ,IONQ INC,0,-5600,0,-233.91K,CLOSE,0%
30231G102,XOM,EXXON MOBIL CORP,26432,-2131,3.14M,-253.44K,-7.5%,1.5%
343412102,FLR,FLUOR CORP NEW,0,-5537,0,-273.08K,CLOSE,0%
91324P102,UNH,UNITEDHEALTH GROUP INC,2234,-544,1.17M,-284.88K,-19.6%,0.54%
025072885,AVUS,AMERICAN CENTY ETF TR,12264,-3204,1.13M,-295.99K,-20.7%,0.52%
037833100,AAPL,APPLE INC,52883,-1449,11.75M,-321.87K,-2.7%,5.4%
594918104,MSFT,MICROSOFT CORP,21954,-990,8.24M,-371.64K,-4.3%,3.8%
47103U845,JAAA,JANUS DETROIT STR TR,0,-10379,0,-526.32K,CLOSE,0%
N07059210,ASML,ASML HOLDING N V,0,-1318,0,-913.48K,CLOSE,0%
767204100,RIO,RIO TINTO PLC,0,-16812,0,-988.74K,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,0,-7599,0,-1.5M,CLOSE,0%
Total,,,,,215.9M,-15.83M,-6.8%,100%
